"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:GYAHL","Aishalton",,"unlcdf:4",,"unlcdc:GY",,,"GYAHL"
"unlcd:GYANT","Adventure",,"unlcdf:1",,"unlcdc:GY","7.0833335","-58.483334","GYANT"
"unlcd:GYAVE","Agricola Village",,"unlcdf:6","unlcds:GYDE","unlcdc:GY","6.4666667","-58.166668","GYAVE"
"unlcd:GYBAR","Bartica",,"unlcdf:6","unlcds:GYUD","unlcdc:GY","5.7833333","-57.633335","GYBAR"
"unlcd:GYBCG","Bemichi",,"unlcdf:4",,"unlcdc:GY",,,"GYBCG"
"unlcd:GYBMJ","Baramita",,"unlcdf:4",,"unlcdc:GY",,,"GYBMJ"
"unlcd:GYBOU","Bourda",,"unlcdf:3","unlcds:GYDE","unlcdc:GY","6.8166666","-58.15","GYBOU"
"unlcd:GYCAY","Cayenne",,"unlcdf:3",,"unlcdc:GY","4.9333334","-52.316666","GYCAY"
"unlcd:GYDMD","Diamond",,"unlcdf:3","unlcds:GYES","unlcdc:GY","6.7166667","-58.183334","GYDMD"
"unlcd:GYEKE","Ekereku",,"unlcdf:4",,"unlcdc:GY",,,"GYEKE"
"unlcd:GYEVR","Everton",,"unlcdf:1, unlcdf:3, unlcdf:6","unlcds:GYDE","unlcdc:GY","6.9166665","-58.333332","GYEVR"
"unlcd:GYGEO","Georgetown",,"unlcdf:1, unlcdf:4, unlcdf:5",,"unlcdc:GY",,,"GYGEO"
"unlcd:GYGFO","Bartica",,"unlcdf:1, unlcdf:4",,"unlcdc:GY",,,"GYGFO"
"unlcd:GYGUY","Enmore",,"unlcdf:3","unlcds:GYDE","unlcdc:GY","6.7666664","-57.983334","GYGUY"
"unlcd:GYIMB","Imbaimadai",,"unlcdf:4",,"unlcdc:GY",,,"GYIMB"
"unlcd:GYKAI","Kaieteur",,"unlcdf:4",,"unlcdc:GY",,,"GYKAI"
"unlcd:GYKAR","Kamarang",,"unlcdf:4",,"unlcdc:GY",,,"GYKAR"
"unlcd:GYKKG","Konawaruk",,"unlcdf:4",,"unlcdc:GY",,,"GYKKG"
"unlcd:GYKPG","Kurupung",,"unlcdf:4",,"unlcdc:GY",,,"GYKPG"
"unlcd:GYKRG","Karasabai",,"unlcdf:4",,"unlcdc:GY",,,"GYKRG"
"unlcd:GYKRM","Karanambo",,"unlcdf:4",,"unlcdc:GY",,,"GYKRM"
"unlcd:GYKTO","Kato",,"unlcdf:4",,"unlcdc:GY",,,"GYKTO"
"unlcd:GYLDN","Linden",,"unlcdf:1",,"unlcdc:GY","6.0","-58.283333","GYLDN"
"unlcd:GYLTM","Lethem",,"unlcdf:4",,"unlcdc:GY",,,"GYLTM"
"unlcd:GYLUB","Lumid Pau",,"unlcdf:4",,"unlcdc:GY",,,"GYLUB"
"unlcd:GYMHA","Mahdia",,"unlcdf:4",,"unlcdc:GY",,,"GYMHA"
"unlcd:GYMKZ","Mackenzie",,"unlcdf:2, unlcdf:3, unlcdf:6",,"unlcdc:GY","6.0","-58.283333","GYMKZ"
"unlcd:GYMWJ","Matthews Ridge",,"unlcdf:4",,"unlcdc:GY",,,"GYMWJ"
"unlcd:GYMYM","Monkey Mountain",,"unlcdf:4",,"unlcdc:GY",,,"GYMYM"
"unlcd:GYNAI","Annai",,"unlcdf:4",,"unlcdc:GY",,,"GYNAI"
"unlcd:GYNAM","New Amsterdam",,"unlcdf:1, unlcdf:4",,"unlcdc:GY",,,"GYNAM"
"unlcd:GYOGL","Ogle",,"unlcdf:4",,"unlcdc:GY",,,"GYOGL"
"unlcd:GYORJ","Orinduik",,"unlcdf:4",,"unlcdc:GY",,,"GYORJ"
"unlcd:GYPIQ","Pipillipai",,"unlcdf:4",,"unlcdc:GY",,,"GYPIQ"
"unlcd:GYPKM","Port Kaituma",,"unlcdf:4",,"unlcdc:GY",,,"GYPKM"
"unlcd:GYPMT","Paramakotoi",,"unlcdf:4",,"unlcdc:GY",,,"GYPMT"
"unlcd:GYPRR","Paruima",,"unlcdf:4",,"unlcdc:GY",,,"GYPRR"
"unlcd:GYROS","Rosignol",,"unlcdf:6","unlcds:GYMA","unlcdc:GY","6.2833333","-57.533333","GYROS"
"unlcd:GYSDC","Sandcreek",,"unlcdf:4",,"unlcdc:GY",,,"GYSDC"
"unlcd:GYSKM","Skeldon",,"unlcdf:4",,"unlcdc:GY",,,"GYSKM"
"unlcd:GYTHI","Thimery",,"unlcdf:5",,"unlcdc:GY",,,"GYTHI"
"unlcd:GYUSI","Mabaruma",,"unlcdf:4",,"unlcdc:GY",,,"GYUSI"
"unlcd:GYVEG","Maikwak",,"unlcdf:4",,"unlcdc:GY",,,"GYVEG"
