"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:HK8ST","Sha Tau Kok",,"unlcdf:3",,"unlcdc:HK","22.55","114.21667","HK8ST"
"unlcd:HK8TT","Tai Tam",,"unlcdf:3",,"unlcdc:HK","22.216667","114.21667","HK8TT"
"unlcd:HK9CK","Cha Kwo Ling",,"unlcdf:3",,"unlcdc:HK","22.3","114.23333","HK9CK"
"unlcd:HK9FL","Fanling",,"unlcdf:3",,"unlcdc:HK","22.5","114.13333","HK9FL"
"unlcd:HK9HH","Hang Hau Town",,"unlcdf:3",,"unlcdc:HK","22.316668","114.26667","HK9HH"
"unlcd:HK9HT","Hok Tsui Wan",,"unlcdf:3",,"unlcdc:HK","22.216667","114.25","HK9HT"
"unlcd:HK9HV","Happy Valley",,"unlcdf:3",,"unlcdc:HK","22.266666","114.183334","HK9HV"
"unlcd:HK9KT","Kennedy Town",,"unlcdf:3",,"unlcdc:HK","22.283333","114.11667","HK9KT"
"unlcd:HK9LM","Lok Ma Chau",,"unlcdf:3",,"unlcdc:HK","22.516666","114.083336","HK9LM"
"unlcd:HK9LT","Lam Tei",,"unlcdf:3",,"unlcdc:HK","22.416666","113.98333","HK9LT"
"unlcd:HK9LY","Lei Yue Mun",,"unlcdf:3",,"unlcdc:HK","22.283333","114.23333","HK9LY"
"unlcd:HK9ML","Ma Liu Shui",,"unlcdf:3",,"unlcdc:HK","22.416666","114.21667","HK9ML"
"unlcd:HK9MO","Ma On Shan Tsuen",,"unlcdf:3",,"unlcdc:HK","22.4","114.23333","HK9MO"
"unlcd:HK9NC","Ngau Chi Wan",,"unlcdf:3",,"unlcdc:HK","22.333334","114.2","HK9NC"
"unlcd:HK9RP","Repulse Bay",,"unlcdf:3",,"unlcdc:HK","22.233334","114.2","HK9RP"
"unlcd:HK9SK","Sai Kung",,"unlcdf:3",,"unlcdc:HK","22.383333","114.26667","HK9SK"
"unlcd:HK9SP","San Po Kong",,"unlcdf:3",,"unlcdc:HK","22.333334","114.2","HK9SP"
"unlcd:HK9ST","Sham Tseng",,"unlcdf:3",,"unlcdc:HK","22.333334","114.05","HK9ST"
"unlcd:HK9TH","Tai Hang",,"unlcdf:3",,"unlcdc:HK","22.466667","114.15","HK9TH"
"unlcd:HK9TK","Ting Kau",,"unlcdf:3",,"unlcdc:HK","22.366667","114.083336","HK9TK"
"unlcd:HK9TT","Tai Mong Tsai",,"unlcdf:3",,"unlcdc:HK","22.4","114.3","HK9TT"
