"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:HN4IS","Isleta",,"unlcdf:3","unlcds:HNCL","unlcdc:HN","15.566667","-86.166664","HN4IS"
"unlcd:HN4NC","Namasigue",,"unlcdf:3","unlcds:HNCH","unlcdc:HN","13.2","-87.13333","HN4NC"
"unlcd:HNAHS","Auas",,"unlcdf:3, unlcdf:4","unlcds:HNGD","unlcdc:HN","15.483334","-84.333336","HNAHS"
"unlcd:HNAMP","Amapala",,"unlcdf:1",,"unlcdc:HN",,,"HNAMP"
"unlcd:HNART","Amarateca",,"unlcdf:3",,"unlcdc:HN","14.233334","-87.36667","HNART"
"unlcd:HNAW4","Apacilagua",,"unlcdf:3","unlcds:HNCH","unlcdc:HN","13.466666","-87.066666","HNAW4"
"unlcd:HNAZA","Arizona",,"unlcdf:3","unlcds:HNAT","unlcdc:HN","15.633333","-87.316666","HNAZA"
"unlcd:HNAZC","Azacuapla",,"unlcdf:6",,"unlcdc:HN","14.266666","-88.75","HNAZC"
"unlcd:HNBHG","Brus Laguna",,"unlcdf:4",,"unlcdc:HN",,,"HNBHG"
"unlcd:HNBJA","Rio Bijao",,"unlcdf:6",,"unlcdc:HN","15.716666","-87.933334","HNBJA"
"unlcd:HNBRC","Baracoa",,"unlcdf:3","unlcds:HNCR","unlcdc:HN","15.766666","-87.85","HNBRC"
"unlcd:HNBUF","Búfalo","Bufalo","unlcdf:3, unlcdf:6","unlcds:HNCR","unlcdc:HN","15.383333","-88.0","HNBUF"
"unlcd:HNBVA","Buena Vista",,"unlcdf:3","unlcds:HNCP","unlcdc:HN","15.0","-88.933334","HNBVA"
"unlcd:HNCAA","Catacamas",,"unlcdf:4",,"unlcdc:HN",,,"HNCAA"
"unlcd:HNCDD","Cauquira",,"unlcdf:4",,"unlcdc:HN",,,"HNCDD"
"unlcd:HNCFR","Cofradia",,"unlcdf:3","unlcds:HNCR","unlcdc:HN","15.4","-88.15","HNCFR"
"unlcd:HNCHA","Chamelecón","Chamelecon","unlcdf:6","unlcds:HNCR","unlcdc:HN","15.433333","-88.01667","HNCHA"
"unlcd:HNCHI","Chichicaste",,"unlcdf:3","unlcds:HNLP","unlcdc:HN","14.316667","-87.916664","HNCHI"
"unlcd:HNCHO","Choloma",,"unlcdf:3",,"unlcdc:HN",,,"HNCHO"
"unlcd:HNCHT","Choluteca",,"unlcdf:3",,"unlcdc:HN","13.283334","-87.183334","HNCHT"
"unlcd:HNCHU","Chumbagua",,"unlcdf:3","unlcds:HNSB","unlcdc:HN","15.233334","-88.5","HNCHU"
"unlcd:HNCMY","Comayagua",,"unlcdf:3, unlcdf:4",,"unlcdc:HN","14.45","-87.63333","HNCMY"
"unlcd:HNCOF","Cofradía","Cofradia","unlcdf:3","unlcds:HNOL","unlcdc:HN","14.866667","-86.03333","HNCOF"
"unlcd:HNCOM","Comayagüela","Comayaguela","unlcdf:3",,"unlcdc:HN","14.083333","-87.2","HNCOM"
"unlcd:HNCOR","Concordia",,"unlcdf:3","unlcds:HNIN","unlcdc:HN","14.1","-88.3","HNCOR"
"unlcd:HNCTG","Marcovia",,"unlcdf:3","unlcds:HNCH","unlcdc:HN","13.283334","-87.3","HNCTG"
"unlcd:HNCUL","Cuyamel",,"unlcdf:6","unlcds:HNCR","unlcdc:HN","15.666667","-88.2","HNCUL"
"unlcd:HNCUY","Cuyamapa",,"unlcdf:3","unlcds:HNYO","unlcdc:HN","15.283334","-87.48333","HNCUY"
"unlcd:HNCYL","Coyoles",,"unlcdf:4",,"unlcdc:HN",,,"HNCYL"
"unlcd:HNDNL","Danlí","Danli","unlcdf:3",,"unlcdc:HN","14.033334","-86.566666","HNDNL"
"unlcd:HNECH","El Chile",,"unlcdf:3","unlcds:HNCR","unlcdc:HN","15.8","-87.88333","HNECH"
"unlcd:HNEDQ","Erandique",,"unlcdf:4",,"unlcdc:HN",,,"HNEDQ"
"unlcd:HNELC","El Calán","El Calan","unlcdf:3","unlcds:HNCR","unlcdc:HN","15.383333","-88.01667","HNELC"
"unlcd:HNELR","El Porvenir",,"unlcdf:3","unlcds:HNCH","unlcdc:HN","13.333333","-87.05","HNELR"
"unlcd:HNEMO","El Mochito",,"unlcdf:3","unlcds:HNSB","unlcdc:HN","14.866667","-88.083336","HNEMO"
"unlcd:HNENO","El Negrito",,"unlcdf:3","unlcds:HNYO","unlcdc:HN","15.316667","-87.7","HNENO"
"unlcd:HNENQ","Coronel E Soto Cano Ab",,"unlcdf:4",,"unlcdc:HN",,,"HNENQ"
