"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:HR2HZ","Vojnic",,"unlcdf:3","unlcds:HR03","unlcdc:HR","45.316666","15.683333","HR2HZ"
"unlcd:HR9SA","Velika Mlaka",,"unlcdf:1, unlcdf:3","unlcds:HR21","unlcdc:HR","45.733334","16.016666","HR9SA"
"unlcd:HRALJ","Aljmas",,"unlcdf:1, unlcdf:3",,"unlcdc:HR","45.533333","18.95","HRALJ"
"unlcd:HRANA","ANA",,"unlcdf:7",,"unlcdc:HR","44.683334","13.266666","HRANA"
"unlcd:HRANN","ANNAMARIA A",,"unlcdf:7",,"unlcdc:HR","44.366665","13.366667","HRANN"
"unlcd:HRATL","Antenal",,"unlcdf:1, unlcdf:3",,"unlcdc:HR","45.316666","13.55","HRATL"
"unlcd:HRBAK","Bakar",,"unlcdf:1, unlcdf:2, unlcdf:3","unlcds:HR08","unlcdc:HR","45.3","14.516666","HRBAK"
"unlcd:HRBAL","Bale",,"unlcdf:3","unlcds:HR18","unlcdc:HR","45.033333","13.783334","HRBAL"
"unlcd:HRBAS","Baska",,"unlcdf:1, unlcdf:3","unlcds:HR08","unlcdc:HR","44.966667","14.75","HRBAS"
"unlcd:HRBAT","Batina",,"unlcdf:1, unlcdf:3, unlcdf:B","unlcds:HR14","unlcdc:HR","45.866665","18.866667","HRBAT"
"unlcd:HRBBJ","Bibinje",,"unlcdf:3","unlcds:HR13","unlcdc:HR","44.066666","15.283334","HRBBJ"
"unlcd:HRBCA","Belica",,"unlcdf:6","unlcds:HR20","unlcdc:HR","46.4","16.516666","HRBCA"
"unlcd:HRBDN","Bedenica",,"unlcdf:3","unlcds:HR01","unlcdc:HR","46.033333","16.233334","HRBDN"
"unlcd:HRBEL","Belgrad",,"unlcdf:6",,"unlcdc:HR","45.216667","14.733334","HRBEL"
"unlcd:HRBEN","Benicanci",,"unlcdf:3","unlcds:HR14","unlcdc:HR","45.633335","18.166666","HRBEN"
"unlcd:HRBJE","Bjelovar",,"unlcdf:2, unlcdf:3","unlcds:HR07","unlcdc:HR","45.9","16.833334","HRBJE"
"unlcd:HRBJN","Boljun",,"unlcdf:3","unlcds:HR18","unlcdc:HR","45.3","14.116667","HRBJN"
"unlcd:HRBKC","Bedekovcina",,"unlcdf:2, unlcdf:3","unlcds:HR02","unlcdc:HR","46.033333","15.983334","HRBKC"
"unlcd:HRBLA","Blato",,"unlcdf:3","unlcds:HR19","unlcdc:HR","42.933334","16.783333","HRBLA"
"unlcd:HRBLC","Belisce",,"unlcdf:1, unlcdf:3",,"unlcdc:HR","45.7","18.416666","HRBLC"
"unlcd:HRBLE","Blace",,"unlcdf:1, unlcdf:3",,"unlcdc:HR","43.016666","17.483334","HRBLE"
"unlcd:HRBLN","Beletinec",,"unlcdf:6",,"unlcdc:HR","46.216667","16.316668","HRBLN"
"unlcd:HRBNM","Biograd na Moru",,"unlcdf:1, unlcdf:3",,"unlcdc:HR","43.933334","15.45","HRBNM"
"unlcd:HRBOL","Bol",,"unlcdf:1, unlcdf:3",,"unlcdc:HR","43.266666","16.65","HRBOL"
"unlcd:HRBOR","Borovo",,"unlcdf:1, unlcdf:3",,"unlcdc:HR","45.366665","18.966667","HRBOR"
"unlcd:HRBOT","Botovo",,"unlcdf:2, unlcdf:3, unlcdf:B",,"unlcdc:HR","46.216667","16.916666","HRBOT"
