"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:HTACA","Les Cayes",,"unlcdf:1","unlcds:HTSD","unlcdc:HT",,,"HTACA"
"unlcd:HTCAP","Cap-Haïtien","Cap-Haitien","unlcdf:1, unlcdf:4",,"unlcdc:HT","19.75","-72.2","HTCAP"
"unlcd:HTCDB","Croix des Bouquets",,"unlcdf:3","unlcds:HTOU","unlcdc:HT","18.566668","-72.21667","HTCDB"
"unlcd:HTCRC","Caracol",,"unlcdf:1, unlcdf:3, unlcdf:6",,"unlcdc:HT","19.683332","-72.01667","HTCRC"
"unlcd:HTFDB","Fond-des-Blancs",,"unlcdf:3","unlcds:HTSD","unlcdc:HT","18.283333","-73.13333","HTFDB"
"unlcd:HTFLI","Fort Liberte",,"unlcdf:1","unlcds:HTNE","unlcdc:HT",,,"HTFLI"
"unlcd:HTFOM","Fond Mombin",,"unlcdf:1","unlcds:HTOU","unlcdc:HT",,,"HTFOM"
"unlcd:HTGVS","Gonaïves","Gonaives","unlcdf:1","unlcds:HTAR","unlcdc:HT",,,"HTGVS"
"unlcd:HTHI5","Hincha",,"unlcdf:3","unlcds:HTCE","unlcdc:HT","19.15","-72.01667","HTHI5"
"unlcd:HTJAK","Jacmel",,"unlcdf:1, unlcdf:4","unlcds:HTSE","unlcdc:HT",,,"HTJAK"
"unlcd:HTJEE","Jérémie","Jeremie","unlcdf:1, unlcdf:4","unlcds:HTGA","unlcdc:HT",,,"HTJEE"
"unlcd:HTLAB","Labadie",,"unlcdf:3","unlcds:HTAR","unlcdc:HT","19.516666","-72.48333","HTLAB"
"unlcd:HTLEO","Leogane",,"unlcdf:6","unlcds:HTOU","unlcdc:HT","18.5","-72.63333","HTLEO"
"unlcd:HTLFF","Lafiteau",,"unlcdf:1, unlcdf:3","unlcds:HTOU","unlcdc:HT","18.683332","-72.35","HTLFF"
"unlcd:HTMAR","Martinique",,"unlcdf:3","unlcds:HTND","unlcdc:HT","19.816668","-72.53333","HTMAR"
"unlcd:HTMIR","Miragoane",,"unlcdf:1","unlcds:HTNI","unlcdc:HT",,,"HTMIR"
"unlcd:HTOOU","Carrefour",,"unlcdf:3","unlcds:HTOU","unlcdc:HT","18.533333","-72.4","HTOOU"
"unlcd:HTPAP","Port-au-Prince",,"unlcdf:1, unlcdf:4, unlcdf:5","unlcds:HTOU","unlcdc:HT",,,"HTPAP"
"unlcd:HTPDP","Port de Paix",,"unlcdf:3","unlcds:HTNO","unlcdc:HT",,,"HTPDP"
"unlcd:HTPEG","Petit Goâve","Petit Goave","unlcdf:1","unlcds:HTOU","unlcdc:HT","18.433332","-72.86667","HTPEG"
"unlcd:HTPET","Pétion-Ville","Petion-Ville","unlcdf:3","unlcds:HTNE","unlcdc:HT","18.516666","-72.28333","HTPET"
"unlcd:HTPLH","Lafito Port",,"unlcdf:1","unlcds:HTOU","unlcdc:HT","18.683332","-72.35","HTPLH"
"unlcd:HTPTY","Poty",,"unlcdf:3","unlcds:HTSD","unlcdc:HT","18.333334","-74.083336","HTPTY"
"unlcd:HTSMC","Baie de Saint-Marc",,"unlcdf:1","unlcds:HTAR","unlcdc:HT","19.116667","-72.7","HTSMC"
"unlcd:HTSTO","Santo",,"unlcdf:6","unlcds:HTOU","unlcdc:HT","18.483334","-72.48333","HTSTO"
"unlcd:HTTAB","Tabarre",,"unlcdf:3","unlcds:HTOU","unlcdc:HT","18.583334","-72.26667","HTTAB"
"unlcd:HTTRG","Turgeau",,"unlcdf:6","unlcds:HTOU","unlcdc:HT","18.533333","-72.316666","HTTRG"
"unlcd:HTTTY","Ti Tanyin",,"unlcdf:3","unlcds:HTOU","unlcdc:HT","18.716667","-72.35","HTTTY"
