"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:HU2AZ","Türje","Turje","unlcdf:3","unlcds:HUZA","unlcdc:HU","46.983334","17.1","HU2AZ"
"unlcd:HU2NJ","Cibakháza","Cibakhaza","unlcdf:3","unlcds:HUJN","unlcdc:HU","46.966667","20.2","HU2NJ"
"unlcd:HU2ZS","Máriapócs","Mariapocs","unlcdf:3","unlcds:HUSZ","unlcdc:HU","47.883335","22.033333","HU2ZS"
"unlcd:HU4PS","Petnehaza",,"unlcdf:3","unlcds:HUSZ","unlcdc:HU","48.066666","22.083334","HU4PS"
"unlcd:HU4TS","Tornyospalca",,"unlcdf:3","unlcds:HUSZ","unlcdc:HU","48.266666","22.183332","HU4TS"
"unlcd:HU5OS","Ostffyasszonyfa",,"unlcdf:3","unlcds:HUVA","unlcdc:HU","47.316666","17.05","HU5OS"
"unlcd:HU5TP","Tapioszecso",,"unlcdf:3","unlcds:HUPE","unlcdc:HU","47.45","19.6","HU5TP"
"unlcd:HU8SZ","Szentmártonkáta","Szentmartonkata","unlcdf:3","unlcds:HUPE","unlcdc:HU","47.45","19.7","HU8SZ"
"unlcd:HU8TW","Csót","Csot","unlcdf:3","unlcds:HUVE","unlcdc:HU","47.366665","17.616667","HU8TW"
"unlcd:HU9SE","Sellye",,"unlcdf:3","unlcds:HUBA","unlcdc:HU","45.866665","17.833334","HU9SE"
"unlcd:HUA5A","Tass",,"unlcdf:3","unlcds:HUBK","unlcdc:HU","47.016666","19.033333","HUA5A"
"unlcd:HUA8Y","Annavolgy",,"unlcdf:3","unlcds:HUKE","unlcdc:HU","47.7","18.666666","HUA8Y"
"unlcd:HUAAA","Szalkszentmarton",,"unlcdf:3","unlcds:HUBK","unlcdc:HU","46.966667","19.016666","HUAAA"
"unlcd:HUABA","Aba",,"unlcdf:3","unlcds:HUFE","unlcdc:HU","47.033333","18.516666","HUABA"
"unlcd:HUABB","Abasár","Abasar","unlcdf:3","unlcds:HUHE","unlcdc:HU","47.8","20.0","HUABB"
"unlcd:HUABD","Abod",,"unlcdf:3","unlcds:HUBZ","unlcdc:HU","48.383335","20.783333","HUABD"
"unlcd:HUABK","Abadszalok",,"unlcdf:6","unlcds:HUJN","unlcdc:HU","47.466667","20.616667","HUABK"
