"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:IE7CM","Castledermot",,"unlcdf:3","unlcds:IEKE","unlcdc:IE","52.9","-6.8333335","IE7CM"
"unlcd:IEABB","Abbeyleix",,"unlcdf:3",,"unlcdc:IE",,,"IEABB"
"unlcd:IEABY","Athboy",,"unlcdf:3",,"unlcdc:IE","53.616665","-6.9166665","IEABY"
"unlcd:IEACH","Ardcath",,"unlcdf:3",,"unlcdc:IE","53.6","-6.383333","IEACH"
"unlcd:IEACN","Achonry",,"unlcdf:3","unlcds:IESO","unlcdc:IE","54.066666","-8.666667","IEACN"
"unlcd:IEADA","Adare",,"unlcdf:3","unlcds:IELK","unlcdc:IE","52.566666","-8.783334","IEADA"
"unlcd:IEAHL","Aherla",,"unlcdf:3","unlcds:IECO","unlcdc:IE","51.85","-8.733334","IEAHL"
"unlcd:IEALQ","Alexandra Quay",,"unlcdf:1",,"unlcdc:IE",,,"IEALQ"
"unlcd:IEANN","Annagassan",,"unlcdf:3","unlcds:IELH","unlcdc:IE","53.883335","-6.3333335","IEANN"
"unlcd:IEANT","Annacarty",,"unlcdf:3","unlcds:IETA","unlcdc:IE","52.566666","-8.116667","IEANT"
"unlcd:IEARA","Ardara",,"unlcdf:3",,"unlcdc:IE",,,"IEARA"
"unlcd:IEARD","Ardmore",,"unlcdf:1, unlcdf:3","unlcds:IEWD","unlcdc:IE","51.95","-7.7166667","IEARD"
"unlcd:IEARE","Ardee",,"unlcdf:3","unlcds:IELH","unlcdc:IE","53.85","-6.5333333","IEARE"
"unlcd:IEARH","Arklow Head (Ie009)",,"unlcdf:1","unlcds:IEWW","unlcdc:IE",,,"IEARH"
"unlcd:IEARK","Arklow",,"unlcdf:1",,"unlcdc:IE",,,"IEARK"
"unlcd:IEARN","Ardfinnan",,"unlcdf:3","unlcds:IETA","unlcdc:IE","52.3","-7.866667","IEARN"
"unlcd:IEARO","Alexandra Road Oil",,"unlcdf:1",,"unlcdc:IE",,,"IEARO"
"unlcd:IEART","Ardfert",,"unlcdf:3","unlcds:IEKY","unlcdc:IE","52.316666","-9.783334","IEART"
"unlcd:IEARY","Athenry",,"unlcdf:3",,"unlcdc:IE","53.283333","-8.733334","IEARY"
"unlcd:IEASD","Ashford",,"unlcdf:3","unlcds:IEWW","unlcdc:IE","53.0","-6.116667","IEASD"
"unlcd:IEASH","Ashbourne",,"unlcdf:3",,"unlcdc:IE",,,"IEASH"
"unlcd:IEASK","Askeaton",,"unlcdf:3",,"unlcdc:IE",,,"IEASK"
"unlcd:IEATE","Athleague",,"unlcdf:3","unlcds:IERN","unlcdc:IE","53.566666","-8.25","IEATE"
"unlcd:IEATH","Athlone",,"unlcdf:5",,"unlcdc:IE",,,"IEATH"
