"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:IL2LL","Eliad",,"unlcdf:3",,"unlcdc:IL","32.8","35.733334","IL2LL"
"unlcd:IL8UH","Gush Halav",,"unlcdf:1, unlcdf:3","unlcds:ILZ","unlcdc:IL","33.166668","35.433334","IL8UH"
"unlcd:ILABB","Alonei Abba",,"unlcdf:3","unlcds:ILZ","unlcdc:IL","32.716667","35.166668","ILABB"
"unlcd:ILABU","Abu Ghosh",,"unlcdf:3","unlcds:ILJM","unlcdc:IL","31.8","35.1","ILABU"
"unlcd:ILACR","Acre",,"unlcdf:1",,"unlcdc:IL",,,"ILACR"
"unlcd:ILADI","Adanim",,"unlcdf:3","unlcds:ILM","unlcdc:IL","32.133335","34.9","ILADI"
"unlcd:ILADM","Adam",,"unlcdf:3, unlcdf:B",,"unlcdc:IL",,,"ILADM"
"unlcd:ILAFU","Afula",,"unlcdf:3",,"unlcdc:IL","32.6","35.283333","ILAFU"
"unlcd:ILAHG","Alon Hagalil",,"unlcdf:3","unlcds:ILZ","unlcdc:IL","32.75","35.216667","ILAHG"
"unlcd:ILAIM","Alonim",,"unlcdf:3","unlcds:ILZ","unlcdc:IL","32.716667","35.133335","ILAIM"
"unlcd:ILAKK","Akko",,"unlcdf:1, unlcdf:3","unlcds:ILZ","unlcdc:IL","32.916668","35.066666","ILAKK"
"unlcd:ILAKL","Ashkelon",,"unlcdf:1",,"unlcdc:IL",,,"ILAKL"
"unlcd:ILALN","Alenbi",,"unlcdf:3, unlcdf:B",,"unlcdc:IL",,,"ILALN"
"unlcd:ILALU","Alumot",,"unlcdf:3","unlcds:ILZ","unlcdc:IL","32.7","35.533333","ILALU"
"unlcd:ILALV","Ayalon Valley",,"unlcdf:2, unlcdf:3","unlcds:ILJM","unlcdc:IL","31.833334","35.016666","ILALV"
"unlcd:ILAMD","Ami'Ad",,"unlcdf:3","unlcds:ILZ","unlcdc:IL","32.916668","35.533333","ILAMD"
"unlcd:ILAMI","Amir",,"unlcdf:3",,"unlcdc:IL","33.183334","35.633335","ILAMI"
"unlcd:ILAMM","Amminadav",,"unlcdf:3","unlcds:ILJM","unlcdc:IL","31.75","35.133335","ILAMM"
"unlcd:ILAMR","Amirim",,"unlcdf:3","unlcds:ILZ","unlcdc:IL","32.933334","35.45","ILAMR"
"unlcd:ILARB","Arbel",,"unlcdf:3","unlcds:ILZ","unlcdc:IL","32.8","35.483334","ILARB"
"unlcd:ILARV","Arava",,"unlcdf:3, unlcdf:B",,"unlcdc:IL",,,"ILARV"
"unlcd:ILAS2","Mishor Adumim",,"unlcdf:1, unlcdf:6","unlcds:ILM","unlcdc:IL","31.783333","35.316666","ILAS2"
"unlcd:ILASA","Ashalim",,"unlcdf:3","unlcds:ILD","unlcdc:IL","30.95","34.7","ILASA"
"unlcd:ILASB","Ashdod Bonded Air",,"unlcdf:6","unlcds:ILD","unlcdc:IL","31.816668","34.65","ILASB"
"unlcd:ILASF","Ashdod Fridenson",,"unlcdf:6","unlcds:ILD","unlcdc:IL","31.816668","34.65","ILASF"
"unlcd:ILASH","Ashdod",,"unlcdf:1",,"unlcdc:IL",,,"ILASH"
"unlcd:ILASL","Ashdod Logisticare",,"unlcdf:6","unlcds:ILD","unlcdc:IL","31.8","34.65","ILASL"
"unlcd:ILASM","Ashdod Granaries",,"unlcdf:6","unlcds:ILD","unlcdc:IL","31.816668","34.65","ILASM"
"unlcd:ILAST","Ashdod Southport",,"unlcdf:1","unlcds:ILD","unlcdc:IL","31.816668","34.65","ILAST"
"unlcd:ILASU","Arsuf",,"unlcdf:3","unlcds:ILTA","unlcdc:IL","32.183334","34.8","ILASU"
"unlcd:ILATT","Atlit",,"unlcdf:3","unlcds:ILHA","unlcdc:IL","32.683334","34.933334","ILATT"
"unlcd:ILAVG","Avigdor",,"unlcdf:3","unlcds:ILD","unlcdc:IL","31.7","34.733334","ILAVG"
"unlcd:ILAVI","Avihayil",,"unlcdf:3","unlcds:ILM","unlcdc:IL","32.35","34.866665","ILAVI"
"unlcd:ILAYA","Ayanot",,"unlcdf:3","unlcds:ILTA","unlcdc:IL","31.9","34.766666","ILAYA"
"unlcd:ILAYL","Ashdot Ya'Akov Ihud",,"unlcdf:3","unlcds:ILZ","unlcdc:IL","32.65","35.566666","ILAYL"
