"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:IM7MI","Maughold",,"unlcdf:3",,"unlcdc:IM","54.3","-4.3166666","IM7MI"
"unlcd:IMBRI","Bride",,"unlcdf:6",,"unlcdc:IM","54.383335","-4.383333","IMBRI"
"unlcd:IMCTN","Castletown",,"unlcdf:1, unlcdf:3",,"unlcdc:IM","54.083332","-4.65","IMCTN"
"unlcd:IMDGS","Douglas",,"unlcdf:1, unlcdf:3",,"unlcdc:IM","54.166668","-4.483333","IMDGS"
"unlcd:IMIOM","Ronaldsway Apt",,"unlcdf:4",,"unlcdc:IM","54.25","-4.5","IMIOM"
"unlcd:IMJBY","Jurby",,"unlcdf:3",,"unlcdc:IM","54.35","-4.5333333","IMJBY"
"unlcd:IMKIR","Kirkmichale",,"unlcdf:3",,"unlcdc:IM","54.283333","-4.5833335","IMKIR"
"unlcd:IMOHN","Onchan",,"unlcdf:3",,"unlcdc:IM","54.183334","-4.45","IMOHN"
"unlcd:IMPEL","Peel",,"unlcdf:1, unlcdf:3",,"unlcdc:IM","54.216667","-4.7666664","IMPEL"
"unlcd:IMPSM","Port Saint Mary",,"unlcdf:1",,"unlcdc:IM","54.066666","-4.7333336","IMPSM"
"unlcd:IMRAM","Ramsey",,"unlcdf:1, unlcdf:3",,"unlcdc:IM","54.316666","-4.383333","IMRAM"
"unlcd:IMSAN","Santon",,"unlcdf:1, unlcdf:6",,"unlcdc:IM","54.116665","-4.5833335","IMSAN"
