"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:IN5PA","Paneli",,"unlcdf:3","unlcds:INGJ","unlcdc:IN","21.866667","70.15","IN5PA"
"unlcd:IN9BH","Bhimasar",,"unlcdf:3","unlcds:INGJ","unlcdc:IN","23.533333","70.86667","IN9BH"
"unlcd:INABD","Adilabad",,"unlcdf:3","unlcds:INAP","unlcdc:IN","19.666666","78.53333","INABD"
"unlcd:INABG","Alibag",,"unlcdf:1","unlcds:INMH","unlcdc:IN",,,"INABG"
"unlcd:INABH","Abohar",,"unlcdf:3","unlcds:INPB","unlcdc:IN","30.15","74.183334","INABH"
"unlcd:INABN","Ambernath",,"unlcdf:3",,"unlcdc:IN","19.2","73.183334","INABN"
"unlcd:INABU","Abu Road",,"unlcdf:2, unlcdf:3","unlcds:INRJ","unlcdc:IN","24.483334","72.78333","INABU"
"unlcd:INACH","Achra",,"unlcdf:1","unlcds:INMH","unlcdc:IN",,,"INACH"
"unlcd:INACK","Acharapakkam",,"unlcdf:3","unlcds:INTN","unlcdc:IN","12.383333","79.8","INACK"
"unlcd:INACT","Ambala Cantonment",,"unlcdf:6","unlcds:INHR","unlcdc:IN","30.6","77.4","INACT"
"unlcd:INADC","Ccipl-SEZ/Ahmadabad",,"unlcdf:6","unlcds:INGJ","unlcdc:IN","23.033333","72.61667","INADC"
"unlcd:INADE","Andheri East",,"unlcdf:2, unlcdf:3","unlcds:INMH","unlcdc:IN","19.116667","72.833336","INADE"
"unlcd:INADG","Gipl-SEZ/Ahmadabad",,"unlcdf:6","unlcds:INGJ","unlcdc:IN","23.033333","72.61667","INADG"
"unlcd:INADI","Androth Is",,"unlcdf:1","unlcds:INLD","unlcdc:IN",,,"INADI"
"unlcd:INADK","Adambakkam",,"unlcdf:6","unlcds:INTN","unlcdc:IN","12.983334","80.2","INADK"
"unlcd:INADL","Adimali",,"unlcdf:6",,"unlcdc:IN","10.0","76.95","INADL"
"unlcd:INADM","Mrpl-SEZ/Ahmadabad",,"unlcdf:6","unlcds:INGJ","unlcdc:IN","23.033333","72.61667","INADM"
"unlcd:INADP","Adipur",,"unlcdf:3","unlcds:INJK","unlcdc:IN","34.266666","74.48333","INADP"
"unlcd:INADR","Cgrpl-SEZ/Ahmadabad",,"unlcdf:6","unlcds:INGJ","unlcdc:IN","23.033333","72.61667","INADR"
"unlcd:INADY","Adyar",,"unlcdf:6","unlcds:INTN","unlcdc:IN","13.0","80.25","INADY"
"unlcd:INAGA","Agucha",,"unlcdf:3","unlcds:INRJ","unlcdc:IN","25.816668","74.71667","INAGA"
"unlcd:INAGR","Agra",,"unlcdf:4, unlcdf:6","unlcds:INUP","unlcdc:IN",,,"INAGR"
"unlcd:INAGU","Alangulam",,"unlcdf:3","unlcds:INTN","unlcdc:IN","8.866667","77.5","INAGU"
"unlcd:INAGX","Agatti Island",,"unlcdf:4",,"unlcdc:IN",,,"INAGX"
"unlcd:INAII","IGGSL SEZ/Thane",,"unlcdf:6","unlcds:INMH","unlcdc:IN","19.2","72.96667","INAII"
"unlcd:INAIK","Ibrahimpur Icd/Khurja",,"unlcdf:6","unlcds:INUP","unlcdc:IN","28.266666","77.86667","INAIK"
"unlcd:INAIR","SPPL SEZ/Thane",,"unlcdf:3, unlcdf:6","unlcds:INMH","unlcdc:IN","19.2","72.96667","INAIR"
"unlcd:INAIS","Amini Island",,"unlcdf:1","unlcds:INLD","unlcdc:IN","11.116667","72.73333","INAIS"
"unlcd:INAJE","Welspun Anjar-SEZ/Anjar",,"unlcdf:6","unlcds:INGJ","unlcdc:IN","23.133333","70.01667","INAJE"
"unlcd:INAJI","Ajmer",,"unlcdf:3","unlcds:INRJ","unlcdc:IN","26.45","74.63333","INAJI"
"unlcd:INAJL","Aizawl",,"unlcdf:4",,"unlcdc:IN",,,"INAJL"
"unlcd:INAJM","Mundra Port SEZ",,"unlcdf:6","unlcds:INGJ","unlcdc:IN","22.85","69.73333","INAJM"
"unlcd:INAKB","BIACPL SEZ/Visakhapatnam",,"unlcdf:6","unlcds:INAP","unlcdc:IN","17.7","83.3","INAKB"
"unlcd:INAKD","Akola",,"unlcdf:4",,"unlcdc:IN",,,"INAKD"
"unlcd:INAKM","Adakamaranahalli",,"unlcdf:3","unlcds:INKA","unlcdc:IN","13.066667","77.433334","INAKM"
"unlcd:INAKP","APIICL SEZ/Visakhapatnam",,"unlcdf:6","unlcds:INAP","unlcdc:IN","17.7","83.3","INAKP"
"unlcd:INAKR","RPCIPL SEZ/Visakhapatnam",,"unlcdf:6","unlcds:INAP","unlcdc:IN","17.7","83.3","INAKR"
"unlcd:INAKV","Ankleshwar",,"unlcdf:2, unlcdf:3, unlcdf:6","unlcds:INGJ","unlcdc:IN","21.6","73.0","INAKV"
"unlcd:INALA","Alang SBY",,"unlcdf:1, unlcdf:2",,"unlcdc:IN",,,"INALA"
"unlcd:INALF","Alleppey",,"unlcdf:1","unlcds:INKL","unlcdc:IN","9.483334","76.316666","INALF"
"unlcd:INALG","Aligarh",,"unlcdf:3","unlcds:INUP","unlcdc:IN","27.883333","78.066666","INALG"
"unlcd:INALI","Alirajpur",,"unlcdf:3","unlcds:INMP","unlcdc:IN","22.3","74.35","INALI"
"unlcd:INALP","Alpl Cfs/Dadri",,"unlcdf:6","unlcds:INUP","unlcdc:IN","28.566668","77.55","INALP"
"unlcd:INALW","Alwar",,"unlcdf:3, unlcdf:6","unlcds:INRJ","unlcdc:IN","27.566668","76.6","INALW"
"unlcd:INAMB","Ambad",,"unlcdf:6","unlcds:INMH","unlcdc:IN","19.616667","75.8","INAMB"
"unlcd:INAMD","Ahmedabad",,"unlcdf:2, unlcdf:3, unlcdf:4, unlcdf:6","unlcds:INGJ","unlcdc:IN","23.033333","72.61667","INAMD"
"unlcd:INAMG","Amingaon (Gauhati)",,"unlcdf:6","unlcds:INAS","unlcdc:IN",,,"INAMG"
"unlcd:INAMI","Andorth Is",,"unlcdf:1","unlcds:INLD","unlcdc:IN",,,"INAMI"
"unlcd:INAMR","Ambatturai (Ambathurai)",,"unlcdf:6","unlcds:INTN","unlcdc:IN","10.266666","77.933334","INAMR"
"unlcd:INAMT","Amethi",,"unlcdf:3","unlcds:INUP","unlcdc:IN","26.15","81.816666","INAMT"
"unlcd:INANA","Ana",,"unlcdf:3","unlcds:INRJ","unlcdc:IN","25.283333","73.48333","INANA"
"unlcd:INANG","Anijengo",,"unlcdf:1","unlcds:INKL","unlcdc:IN",,,"INANG"
"unlcd:INANL","Arnala",,"unlcdf:1","unlcds:INMH","unlcdc:IN",,,"INANL"
"unlcd:INANO","Angul",,"unlcdf:3","unlcds:INOR","unlcdc:IN","20.85","85.1","INANO"
