"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:IQABG","Abu Gharib",,"unlcdf:3","unlcds:IQDQ","unlcdc:IQ","31.1","46.033333","IQABG"
"unlcd:IQABL","Arbil",,"unlcdf:6","unlcds:IQAR","unlcdc:IQ","36.183334","44.0","IQABL"
"unlcd:IQABU","Abu Ghraib",,"unlcdf:3","unlcds:IQBG","unlcdc:IQ","33.283333","44.05","IQABU"
"unlcd:IQADW","Ad Dawrah",,"unlcdf:3","unlcds:IQBG","unlcdc:IQ","33.25","44.383335","IQADW"
"unlcd:IQALF","Abu Al Fulus",,"unlcdf:1",,"unlcdc:IQ",,,"IQALF"
"unlcd:IQALK","Abu Al Khasib",,"unlcdf:3",,"unlcdc:IQ",,,"IQALK"
"unlcd:IQAMA","Amara (Al-Amarah)",,"unlcdf:0",,"unlcdc:IQ",,,"IQAMA"
"unlcd:IQANJ","An Najaf",,"unlcdf:3",,"unlcdc:IQ","31.983334","44.333332","IQANJ"
"unlcd:IQAQY","Al Qayyarah",,"unlcdf:3","unlcds:IQNI","unlcdc:IQ","35.8","43.283333","IQAQY"
"unlcd:IQARK","Arak",,"unlcdf:0",,"unlcdc:IQ",,,"IQARK"
"unlcd:IQASD","Al Asad",,"unlcdf:1, unlcdf:3",,"unlcdc:IQ","33.783333","42.433334","IQASD"
"unlcd:IQB9T","Musayyib",,"unlcdf:3","unlcds:IQBB","unlcdc:IQ","32.766666","44.283333","IQB9T"
"unlcd:IQBA4","Mafraq Ash Shuaybah",,"unlcdf:2, unlcdf:3","unlcds:IQBA","unlcdc:IQ","30.466667","47.65","IQBA4"
"unlcd:IQBAI","Bayji",,"unlcdf:3","unlcds:IQSD","unlcdc:IQ","34.916668","43.483334","IQBAI"
"unlcd:IQBAL","Balad",,"unlcdf:2, unlcdf:3","unlcds:IQSD","unlcdc:IQ","34.0","44.133335","IQBAL"
"unlcd:IQBAQ","Ba'qubah",,"unlcdf:2, unlcdf:3","unlcds:IQDI","unlcdc:IQ","33.75","44.633335","IQBAQ"
"unlcd:IQBBB","Babil",,"unlcdf:3","unlcds:IQBB","unlcdc:IQ","32.533333","44.416668","IQBBB"
"unlcd:IQBGW","Baghdåd","Baghdad","unlcdf:1, unlcdf:2, unlcdf:3, unlcdf:4, unlcdf:5","unlcds:IQBG","unlcdc:IQ","33.333332","44.383335","IQBGW"
"unlcd:IQBMN","Bamerny",,"unlcdf:4",,"unlcdc:IQ","37.1","43.266666","IQBMN"
"unlcd:IQBSH","Bashur Airfield",,"unlcdf:3, unlcdf:4",,"unlcdc:IQ","36.533333","44.35","IQBSH"
"unlcd:IQBSR","Basra",,"unlcdf:1","unlcds:IQBA","unlcdc:IQ",,,"IQBSR"
"unlcd:IQCBC","Camp Bucca",,"unlcdf:3","unlcds:IQBA","unlcdc:IQ","30.066668","47.883335","IQCBC"
"unlcd:IQCHA","Chamchamal",,"unlcdf:3","unlcds:IQSU","unlcdc:IQ","35.533333","44.816666","IQCHA"
"unlcd:IQDHK","Duhok",,"unlcdf:3","unlcds:IQDA","unlcdc:IQ","37.1","43.816666","IQDHK"
"unlcd:IQDIW","Diwaniyah",,"unlcdf:0",,"unlcdc:IQ",,,"IQDIW"
"unlcd:IQDOK","Dohuk",,"unlcdf:0",,"unlcdc:IQ",,,"IQDOK"
"unlcd:IQDQR","Dhi Qar",,"unlcdf:6","unlcds:IQMU","unlcdc:IQ","31.45","45.1","IQDQR"
"unlcd:IQEBL","Erbil International Apt",,"unlcdf:3, unlcdf:4, unlcdf:5",,"unlcdc:IQ","36.233334","43.95","IQEBL"
"unlcd:IQFAL","Falluja",,"unlcdf:0",,"unlcdc:IQ",,,"IQFAL"
"unlcd:IQFAO","Fao",,"unlcdf:1",,"unlcdc:IQ",,,"IQFAO"
"unlcd:IQHAF","H1 Airfield",,"unlcdf:3, unlcdf:4",,"unlcdc:IQ","33.816666","41.433334","IQHAF"
"unlcd:IQHIL","Al Hillah",,"unlcdf:1","unlcds:IQBB","unlcdc:IQ","32.483334","44.433334","IQHIL"
"unlcd:IQHIT","Hit",,"unlcdf:0",,"unlcdc:IQ",,,"IQHIT"
"unlcd:IQHND","Hindiya",,"unlcdf:0",,"unlcdc:IQ",,,"IQHND"
"unlcd:IQIDQ","Hasan Al Baghdadi",,"unlcdf:3","unlcds:IQDQ","unlcdc:IQ","31.283333","46.1","IQIDQ"
"unlcd:IQIKD","Iskandariyha",,"unlcdf:1",,"unlcdc:IQ",,,"IQIKD"
"unlcd:IQIRB","Irbil",,"unlcdf:2, unlcdf:3",,"unlcdc:IQ","36.166668","44.0","IQIRB"
"unlcd:IQISU","Sulaymaniyah International Airport",,"unlcdf:4","unlcds:IQSU","unlcdc:IQ","35.55","45.3","IQISU"
"unlcd:IQKAB","Khan al Baghdadi",,"unlcdf:2, unlcdf:3",,"unlcdc:IQ","33.833332","42.55","IQKAB"
"unlcd:IQKAR","Karbala",,"unlcdf:1",,"unlcdc:IQ",,,"IQKAR"
"unlcd:IQKAZ","Khor al Zubair",,"unlcdf:1",,"unlcdc:IQ",,,"IQKAZ"
"unlcd:IQKFA","Kufa",,"unlcdf:0",,"unlcdc:IQ",,,"IQKFA"
"unlcd:IQKHA","Khor Al Amaya",,"unlcdf:1",,"unlcdc:IQ",,,"IQKHA"
"unlcd:IQKIK","Kirkuk",,"unlcdf:1",,"unlcdc:IQ",,,"IQKIK"
"unlcd:IQKUT","Al Kut",,"unlcdf:0",,"unlcdc:IQ",,,"IQKUT"
"unlcd:IQMAB","Basrah Oil Terminal",,"unlcdf:1","unlcds:IQBA","unlcdc:IQ","29.75","48.833332","IQMAB"
"unlcd:IQMAN","Mandali",,"unlcdf:1",,"unlcdc:IQ",,,"IQMAN"
"unlcd:IQNAM","New Al Muthana Air Base",,"unlcdf:3, unlcdf:4","unlcds:IQBG","unlcdc:IQ","33.266666","44.233334","IQNAM"
"unlcd:IQNAS","Najat",,"unlcdf:1",,"unlcdc:IQ",,,"IQNAS"
"unlcd:IQNJF","Najaf",,"unlcdf:1, unlcdf:3, unlcdf:4","unlcds:IQNA","unlcdc:IQ","31.983334","44.3","IQNJF"
"unlcd:IQNMA","Nahr an Nu'maniyah",,"unlcdf:3","unlcds:IQDQ","unlcdc:IQ","30.966667","46.266666","IQNMA"
"unlcd:IQNRH","An Nasiriyah",,"unlcdf:3","unlcds:IQDQ","unlcdc:IQ","31.033333","46.266666","IQNRH"
"unlcd:IQNSR","Nasiriyah",,"unlcdf:1, unlcdf:3",,"unlcdc:IQ","31.05","46.25","IQNSR"
"unlcd:IQOSM","Mosul (Ak Mawsil)",,"unlcdf:1, unlcdf:3","unlcds:IQNI","unlcdc:IQ","36.166668","42.583332","IQOSM"
"unlcd:IQRMD","Ramadi",,"unlcdf:0",,"unlcdc:IQ",,,"IQRMD"
"unlcd:IQRTM","Ratawi",,"unlcdf:0",,"unlcdc:IQ",,,"IQRTM"
"unlcd:IQSAF","Safwan",,"unlcdf:3","unlcds:IQBA","unlcdc:IQ","30.1","47.716667","IQSAF"
"unlcd:IQSAM","Samarra'",,"unlcdf:1","unlcds:IQSD","unlcdc:IQ","34.2","43.866665","IQSAM"
"unlcd:IQSBA","Ash Shu'aybah",,"unlcdf:3","unlcds:IQBA","unlcdc:IQ","30.4","47.6","IQSBA"
"unlcd:IQSHT","Shaykh Hantush",,"unlcdf:3","unlcds:IQQA","unlcdc:IQ","32.333332","44.916668","IQSHT"
"unlcd:IQSMW","Samawa (As-Samawah)",,"unlcdf:0",,"unlcdc:IQ",,,"IQSMW"
"unlcd:IQSYH","Sulaymaniyah",,"unlcdf:3",,"unlcdc:IQ",,,"IQSYH"
"unlcd:IQTAF","Tal Afar",,"unlcdf:3","unlcds:IQNI","unlcdc:IQ","36.366665","42.45","IQTAF"
"unlcd:IQTAL","Ali Air Base",,"unlcdf:3, unlcdf:4",,"unlcdc:IQ","30.933332","46.083332","IQTAL"
"unlcd:IQTJI","Taji",,"unlcdf:1, unlcdf:3",,"unlcdc:IQ","33.516666","44.266666","IQTJI"
"unlcd:IQTKT","Tikrit",,"unlcdf:0",,"unlcdc:IQ",,,"IQTKT"
"unlcd:IQTLL","Tallil",,"unlcdf:3, unlcdf:4",,"unlcdc:IQ","30.933332","46.083332","IQTLL"
"unlcd:IQTQD","Al Taqaddum",,"unlcdf:1, unlcdf:3",,"unlcdc:IQ","33.333332","43.583332","IQTQD"
"unlcd:IQUQR","Umm Qasr Port",,"unlcdf:1, unlcdf:2, unlcdf:3","unlcds:IQBA","unlcdc:IQ","30.033333","47.933334","IQUQR"
"unlcd:IQUZA","Al 'Uzayr",,"unlcdf:3","unlcds:IQMA","unlcdc:IQ","31.333334","47.416668","IQUZA"
"unlcd:IQWST","Wasit",,"unlcdf:6","unlcds:IQQA","unlcdc:IQ","32.383335","45.216667","IQWST"
"unlcd:IQZAO","Zakho",,"unlcdf:1, unlcdf:3",,"unlcdc:IQ","37.133335","42.7","IQZAO"
"unlcd:IQZUB","Al Zuwayr",,"unlcdf:3","unlcds:IQQA","unlcdc:IQ","31.816668","44.9","IQZUB"
