"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:IRABD","Abadan",,"unlcdf:1, unlcdf:4, unlcdf:5",,"unlcdc:IR",,,"IRABD"
"unlcd:IRABR","Abhar",,"unlcdf:6","unlcds:IR19","unlcdc:IR","36.133335","49.216667","IRABR"
"unlcd:IRACP","Sahand",,"unlcdf:4",,"unlcdc:IR","37.333332","46.116665","IRACP"
"unlcd:IRACZ","Zabol",,"unlcdf:4",,"unlcdc:IR",,,"IRACZ"
"unlcd:IRADU","Ardabil",,"unlcdf:4",,"unlcdc:IR",,,"IRADU"
"unlcd:IRAEU","Abu Musa",,"unlcdf:4","unlcds:IR22","unlcdc:IR","25.9","54.983334","IRAEU"
"unlcd:IRAFZ","Sabzevar National",,"unlcdf:4",,"unlcdc:IR","36.166668","57.583332","IRAFZ"
"unlcd:IRAHR","Ahar",,"unlcdf:3","unlcds:IR03","unlcdc:IR","38.466667","47.05","IRAHR"
"unlcd:IRAKW","Aghajari",,"unlcdf:4",,"unlcdc:IR","37.5","45.966667","IRAKW"
"unlcd:IRAMD","Bandar Amirabad",,"unlcdf:1, unlcdf:2, unlcdf:3, unlcdf:5, unlcdf:6","unlcds:IR21","unlcdc:IR","36.783333","53.35","IRAMD"
"unlcd:IRAMP","Amir Abad Pt",,"unlcdf:1","unlcds:IR21","unlcdc:IR","36.083332","52.366665","IRAMP"
"unlcd:IRAMR","Amara",,"unlcdf:0",,"unlcdc:IR",,,"IRAMR"
"unlcd:IRARA","Arak",,"unlcdf:3","unlcds:IR00","unlcdc:IR","34.083332","49.683334","IRARA"
"unlcd:IRASA","Asaluyeh",,"unlcdf:1, unlcdf:3","unlcds:IR18","unlcdc:IR","27.466667","52.6","IRASA"
"unlcd:IRASR","Astara",,"unlcdf:0",,"unlcdc:IR",,,"IRASR"
"unlcd:IRAWZ","Ahwaz",,"unlcdf:4",,"unlcdc:IR",,,"IRAWZ"
"unlcd:IRAZD","Yazd",,"unlcdf:1, unlcdf:4",,"unlcdc:IR",,,"IRAZD"
"unlcd:IRBAH","Bandar Assaluyeh",,"unlcdf:1",,"unlcdc:IR",,,"IRBAH"
"unlcd:IRBAJ","Bajgiran",,"unlcdf:5",,"unlcdc:IR",,,"IRBAJ"
"unlcd:IRBAM","Amirabad",,"unlcdf:1","unlcds:IR06","unlcdc:IR","26.85","54.366665","IRBAM"
"unlcd:IRBAZ","Bandar-e Anzali",,"unlcdf:1","unlcds:IR01","unlcdc:IR","37.466667","49.466667","IRBAZ"
