"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:ISAEY","Akureyri Apt",,"unlcdf:4",,"unlcdc:IS",,,"ISAEY"
"unlcd:ISAKR","Akranes",,"unlcdf:1",,"unlcdc:IS",,,"ISAKR"
"unlcd:ISAKU","Akureyri",,"unlcdf:1",,"unlcdc:IS",,,"ISAKU"
"unlcd:ISASS","Arskogssandur",,"unlcdf:1",,"unlcdc:IS","65.933334","-18.366667","ISASS"
"unlcd:ISBAK","Bakkafjördur","Bakkafjordur","unlcdf:1",,"unlcdc:IS","66.03333","-14.8","ISBAK"
"unlcd:ISBGJ","Borgarfjørdur eystri","Borgarfjordur eystri","unlcdf:1",,"unlcdc:IS",,,"ISBGJ"
"unlcd:ISBIL","Bildudalur - høfn","Bildudalur - hofn","unlcdf:1",,"unlcdc:IS",,,"ISBIL"
"unlcd:ISBIU","Bildudalur Apt",,"unlcdf:4",,"unlcdc:IS",,,"ISBIU"
"unlcd:ISBLO","Blonduos",,"unlcdf:1, unlcdf:4",,"unlcdc:IS",,,"ISBLO"
"unlcd:ISBOI","Bordeyri",,"unlcdf:1",,"unlcdc:IS",,,"ISBOI"
"unlcd:ISBOL","Bolungarvik",,"unlcdf:1, unlcdf:3, unlcdf:4",,"unlcdc:IS","66.13333","-23.25","ISBOL"
"unlcd:ISBOR","Borgarnes",,"unlcdf:1",,"unlcdc:IS",,,"ISBOR"
"unlcd:ISBRE","Breiddalsvik",,"unlcdf:1",,"unlcdc:IS",,,"ISBRE"
"unlcd:ISBRJ","Brjánslækur","Brjanslakur","unlcdf:1","unlcds:IS3","unlcdc:IS","65.53333","-23.2","ISBRJ"
"unlcd:ISBUD","Budardalur",,"unlcdf:1, unlcdf:3","unlcds:IS3","unlcdc:IS","65.11667","-21.766666","ISBUD"
"unlcd:ISDAL","Dalvík","Dalvik","unlcdf:1",,"unlcdc:IS","65.96667","-18.533333","ISDAL"
"unlcd:ISDJU","Djúpivogur","Djupivogur","unlcdf:1, unlcdf:4",,"unlcdc:IS","64.65","-14.283334","ISDJU"
"unlcd:ISDPV","Djupavik",,"unlcdf:1",,"unlcdc:IS",,,"ISDPV"
"unlcd:ISDRA","Drangsnes",,"unlcdf:1",,"unlcdc:IS",,,"ISDRA"
"unlcd:ISEFJ","Eskifjørdur Apt","Eskifjordur Apt","unlcdf:4",,"unlcdc:IS",,,"ISEFJ"
"unlcd:ISEGS","Egilsstadir",,"unlcdf:4",,"unlcdc:IS",,,"ISEGS"
"unlcd:ISESK","Eskifjørdur - høfn","Eskifjordur - hofn","unlcdf:1",,"unlcdc:IS",,,"ISESK"
"unlcd:ISFAG","Fagurholsmyri",,"unlcdf:4",,"unlcdc:IS",,,"ISFAG"
"unlcd:ISFAS","Faskrudsfjørdur","Faskrudsfjordur","unlcdf:1, unlcdf:4",,"unlcdc:IS",,,"ISFAS"
"unlcd:ISFEY","Flatey",,"unlcdf:1","unlcds:IS3","unlcdc:IS","65.36667","-22.933332","ISFEY"
"unlcd:ISFLA","Flateyri",,"unlcdf:1",,"unlcdc:IS",,,"ISFLA"
"unlcd:ISFLI","Flateyri Apt",,"unlcdf:4",,"unlcdc:IS",,,"ISFLI"
"unlcd:ISGJR","Gjogur",,"unlcdf:4",,"unlcdc:IS",,,"ISGJR"
