"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:JO8AJ","Al Jizah",,"unlcdf:3","unlcds:JOAM","unlcdc:JO","31.7","35.95","JO8AJ"
"unlcd:JOAAQ","Al Azraq",,"unlcdf:3","unlcds:JOAZ","unlcdc:JO","31.9","36.883335","JOAAQ"
"unlcd:JOAJL","Ajloun",,"unlcdf:3","unlcds:JOAJ","unlcdc:JO","32.333332","35.716667","JOAJL"
"unlcd:JOAKM","Al Karamah",,"unlcdf:3","unlcds:JOBA","unlcdc:JO","31.95","35.566666","JOAKM"
"unlcd:JOAMM","Amman",,"unlcdf:4, unlcdf:5",,"unlcdc:JO",,,"JOAMM"
"unlcd:JOAQB","'Aqaba",,"unlcdf:1, unlcdf:3",,"unlcdc:JO","29.516666","35.0","JOAQB"
"unlcd:JOAQJ","Al 'Aqabah",,"unlcdf:1, unlcdf:4",,"unlcdc:JO","29.533333","35.0","JOAQJ"
"unlcd:JOARM","Ar Ramtha",,"unlcdf:3","unlcds:JOIR","unlcdc:JO","32.55","36.0","JOARM"
"unlcd:JOASA","As Samra'",,"unlcdf:3",,"unlcdc:JO","31.366667","35.75","JOASA"
"unlcd:JOASF","As Safi",,"unlcdf:3","unlcds:JOKA","unlcdc:JO","31.033333","35.466667","JOASF"
"unlcd:JODAH","Abu Alandah",,"unlcdf:1, unlcdf:6","unlcds:JOAM","unlcdc:JO","31.9","35.966667","JODAH"
"unlcd:JODUL","Ad-Dulayl",,"unlcdf:3","unlcds:JOAZ","unlcdc:JO","32.116665","36.266666","JODUL"
"unlcd:JOFUH","Al Fuhays",,"unlcdf:3",,"unlcdc:JO","32.016666","35.766666","JOFUH"
"unlcd:JOIHS","Sheikh Hussein Bridge",,"unlcdf:B","unlcds:JOIR","unlcdc:JO","32.483334","35.566666","JOIHS"
"unlcd:JOJAR","Jerash",,"unlcdf:3","unlcds:JOJA","unlcdc:JO","32.266666","35.883335","JOJAR"
"unlcd:JOKAR","Al-Karak",,"unlcdf:3","unlcds:JOKA","unlcdc:JO","31.183332","35.7","JOKAR"
"unlcd:JOKHB","King Hussein Bridge",,"unlcdf:3","unlcds:JOBA","unlcdc:JO","31.866667","35.533333","JOKHB"
"unlcd:JOMPQ","Ma'an",,"unlcdf:4",,"unlcdc:JO","30.2","35.733334","JOMPQ"
"unlcd:JOOMF","Mafruq",,"unlcdf:4",,"unlcdc:JO","32.333332","36.233334","JOOMF"
"unlcd:JOPHN","Prince Hasan Air Base",,"unlcdf:3, unlcdf:4","unlcds:JOMA","unlcdc:JO","32.166668","37.15","JOPHN"
"unlcd:JOQIR","Irbid",,"unlcdf:3",,"unlcdc:JO",,,"JOQIR"
"unlcd:JOQMD","Madaba",,"unlcdf:4",,"unlcdc:JO","31.716667","35.8","JOQMD"
"unlcd:JOQMO","Qir Moav",,"unlcdf:6","unlcds:JOKA","unlcdc:JO","31.183332","35.7","JOQMO"
"unlcd:JOSAH","Sahab",,"unlcdf:3","unlcds:JOAM","unlcdc:JO","31.866667","36.0","JOSAH"
"unlcd:JOSHO","Shoubak",,"unlcdf:3","unlcds:JOMN","unlcdc:JO","30.516666","35.55","JOSHO"
"unlcd:JOSLT","Al Salt",,"unlcdf:3","unlcds:JOBA","unlcdc:JO","32.016666","35.716667","JOSLT"
"unlcd:JOTFH","At Tafilah",,"unlcdf:3","unlcds:JOAT","unlcdc:JO","30.833334","35.6","JOTFH"
"unlcd:JOZAR","Az Zarqa'",,"unlcdf:3",,"unlcdc:JO","32.083332","36.1","JOZAR"
"unlcd:JOZFZ","Zarka Free Zone",,"unlcdf:6",,"unlcdc:JO","32.083332","36.1","JOZFZ"
