"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:KEARI","Athi River",,"unlcdf:3","unlcds:KE22","unlcdc:KE","-1.45","36.983334","KEARI"
"unlcd:KEASV","Amboseli",,"unlcdf:4",,"unlcdc:KE",,,"KEASV"
"unlcd:KEBMQ","Bamburi",,"unlcdf:4",,"unlcdc:KE",,,"KEBMQ"
"unlcd:KEBUN","Bungoma",,"unlcdf:6","unlcds:KE03","unlcdc:KE","0.56666666","34.566666","KEBUN"
"unlcd:KEBUS","Busia",,"unlcdf:3","unlcds:KE04","unlcdc:KE","0.46666667","34.1","KEBUS"
"unlcd:KEDDB","Dadaab",,"unlcdf:3","unlcds:KE07","unlcdc:KE","0.05","40.316666","KEDDB"
"unlcd:KEEDL","Eldoret",,"unlcdf:4",,"unlcdc:KE",,,"KEEDL"
"unlcd:KEEMB","Embakasi",,"unlcdf:0",,"unlcdc:KE",,,"KEEMB"
"unlcd:KEEYS","Eliye Springs",,"unlcdf:4",,"unlcdc:KE",,,"KEEYS"
"unlcd:KEFER","Fergusons Gulf",,"unlcdf:4",,"unlcdc:KE",,,"KEFER"
"unlcd:KEGAS","Garissa",,"unlcdf:4",,"unlcdc:KE",,,"KEGAS"
"unlcd:KEGIL","Gilgil",,"unlcdf:3","unlcds:KE31","unlcdc:KE","-0.21666667","36.266666","KEGIL"
"unlcd:KEHOA","Hola",,"unlcdf:4",,"unlcdc:KE",,,"KEHOA"
"unlcd:KEILU","Kilaguni",,"unlcdf:4",,"unlcdc:KE",,,"KEILU"
"unlcd:KEISL","Isiolo",,"unlcdf:3","unlcds:KE09","unlcdc:KE","0.35","37.583332","KEISL"
"unlcd:KEKAJ","Kajiado",,"unlcdf:3",,"unlcdc:KE","-1.8333333","36.783333","KEKAJ"
"unlcd:KEKAK","Kakamega",,"unlcdf:3",,"unlcdc:KE","0.26666668","34.733334","KEKAK"
"unlcd:KEKAP","Kapsowar",,"unlcdf:3",,"unlcdc:KE","0.98333335","35.566666","KEKAP"
"unlcd:KEKEY","Kericho",,"unlcdf:4",,"unlcdc:KE",,,"KEKEY"
"unlcd:KEKIA","Kiambu",,"unlcdf:3","unlcds:KE13","unlcdc:KE","-1.1666666","36.833332","KEKIA"
"unlcd:KEKIL","Kilindini",,"unlcdf:1",,"unlcdc:KE",,,"KEKIL"
"unlcd:KEKIS","Kisumu",,"unlcdf:1, unlcdf:4",,"unlcdc:KE",,,"KEKIS"
"unlcd:KEKIT","Kitui",,"unlcdf:3","unlcds:KE18","unlcdc:KE","-1.3666667","38.016666","KEKIT"
"unlcd:KEKIU","Kiunga",,"unlcdf:4",,"unlcdc:KE",,,"KEKIU"
"unlcd:KEKKM","Kakuma",,"unlcdf:3","unlcds:KE10","unlcdc:KE","3.7166667","34.866665","KEKKM"
"unlcd:KEKLF","Kilifi",,"unlcdf:3","unlcds:KE14","unlcdc:KE","-3.6333332","39.85","KEKLF"
"unlcd:KEKLK","Kalokol",,"unlcdf:4",,"unlcdc:KE",,,"KEKLK"
"unlcd:KEKRV","Kerio Valley",,"unlcdf:4",,"unlcdc:KE",,,"KEKRV"
"unlcd:KEKTL","Kitale",,"unlcdf:4",,"unlcdc:KE",,,"KEKTL"
"unlcd:KEKWY","Kiwayu",,"unlcdf:4",,"unlcdc:KE",,,"KEKWY"
"unlcd:KELAU","Lamu",,"unlcdf:1, unlcdf:4",,"unlcdc:KE",,,"KELAU"
"unlcd:KELBK","Liboi",,"unlcdf:4",,"unlcdc:KE",,,"KELBK"
"unlcd:KELBN","Lake Baringo",,"unlcdf:4",,"unlcdc:KE",,,"KELBN"
"unlcd:KELIM","Limuru",,"unlcdf:3","unlcds:KE13","unlcdc:KE","-1.1","36.65","KELIM"
"unlcd:KELKG","Lokichoggio",,"unlcdf:4",,"unlcdc:KE",,,"KELKG"
"unlcd:KELKU","Lake Rudolf",,"unlcdf:4",,"unlcdc:KE",,,"KELKU"
"unlcd:KELOK","Lodwar",,"unlcdf:4",,"unlcdc:KE",,,"KELOK"
"unlcd:KELOY","Loyangalani",,"unlcdf:4",,"unlcdc:KE",,,"KELOY"
"unlcd:KELRV","Lokichar",,"unlcdf:3","unlcds:KE14","unlcdc:KE","2.3833332","35.65","KELRV"
"unlcd:KELTK","Loitokitok",,"unlcdf:5","unlcds:KE10","unlcdc:KE","-2.9166667","37.5","KELTK"
"unlcd:KELUN","Lunga Lunga",,"unlcdf:5","unlcds:KE19","unlcdc:KE","-4.55","39.116665","KELUN"
"unlcd:KEMAC","Machakos",,"unlcdf:3","unlcds:KE22","unlcdc:KE","-1.5166667","37.266666","KEMAC"
"unlcd:KEMAL","Malaba",,"unlcdf:2, unlcdf:3",,"unlcdc:KE","0.6166667","34.266666","KEMAL"
"unlcd:KEMBA","Mombasa",,"unlcdf:1, unlcdf:4, unlcdf:5",,"unlcdc:KE",,,"KEMBA"
"unlcd:KEMER","Meru",,"unlcdf:3","unlcds:KE26","unlcdc:KE","0.5","37.65","KEMER"
"unlcd:KEMGI","Migori",,"unlcdf:5","unlcds:KE27","unlcdc:KE","-1.0666667","34.283333","KEMGI"
