"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:KHBBM","Battambang",,"unlcdf:4",,"unlcdc:KH",,,"KHBBM"
"unlcd:KHBVT","Bavet",,"unlcdf:3","unlcds:KH20","unlcdc:KH","11.066667","106.13333","KHBVT"
"unlcd:KHCHE","Cheko",,"unlcdf:1",,"unlcdc:KH",,,"KHCHE"
"unlcd:KHKKO","Kas Kong",,"unlcdf:1",,"unlcdc:KH",,,"KHKKO"
"unlcd:KHKKZ","Koh Kong",,"unlcdf:4",,"unlcdc:KH",,,"KHKKZ"
"unlcd:KHKMT","Kampot",,"unlcdf:4",,"unlcdc:KH",,,"KHKMT"
"unlcd:KHKOS","Kâmpóng Saôm","Kampong Saom","unlcdf:1, unlcdf:3, unlcdf:4, unlcdf:7",,"unlcdc:KH","10.6","103.51667","KHKOS"
"unlcd:KHKPC","Kâmpóng Cham","Kampong Cham","unlcdf:6","unlcds:KH3","unlcdc:KH","12.0","105.45","KHKPC"
"unlcd:KHKTI","Kratie",,"unlcdf:4",,"unlcdc:KH",,,"KHKTI"
"unlcd:KHKZC","Kâmpóng Chhnang","Kampong Chhnang","unlcdf:4",,"unlcdc:KH","12.25","104.666664","KHKZC"
"unlcd:KHKZD","Krâkôr","Krakor","unlcdf:4",,"unlcdc:KH","12.533334","104.2","KHKZD"
"unlcd:KHKZK","Kompong Thom",,"unlcdf:4",,"unlcdc:KH",,,"KHKZK"
"unlcd:KHMMT","Mémót","Memot","unlcdf:3","unlcds:KH3","unlcdc:KH","11.816667","106.183334","KHMMT"
"unlcd:KHMWV","Mundulkiri",,"unlcdf:4",,"unlcdc:KH",,,"KHMWV"
"unlcd:KHOMY","Oddor Meanche",,"unlcdf:4",,"unlcdc:KH",,,"KHOMY"
"unlcd:KHPAI","Pailin",,"unlcdf:4",,"unlcdc:KH",,,"KHPAI"
"unlcd:KHPNH","Phnom Penh",,"unlcdf:1, unlcdf:4, unlcdf:5",,"unlcdc:KH",,,"KHPNH"
"unlcd:KHPPT","Poipet (Paôy Pêt)","Poipet (Paoy Pet)","unlcdf:2, unlcdf:3",,"unlcdc:KH","13.65","102.55","KHPPT"
"unlcd:KHPUS","Pursat",,"unlcdf:6","unlcds:KH15","unlcdc:KH","12.533334","103.916664","KHPUS"
"unlcd:KHRBE","Ratanakiri",,"unlcdf:4",,"unlcdc:KH",,,"KHRBE"
"unlcd:KHREP","Siem Reap",,"unlcdf:4",,"unlcdc:KH",,,"KHREP"
"unlcd:KHSRE","Sre Ambel",,"unlcdf:3","unlcds:KH9","unlcdc:KH","11.116667","103.76667","KHSRE"
"unlcd:KHSVR","Svay Rieng",,"unlcdf:4",,"unlcdc:KH",,,"KHSVR"
"unlcd:KHSVY","Phumi Svay Rolum",,"unlcdf:3","unlcds:KH20","unlcdc:KH","11.266666","105.816666","KHSVY"
"unlcd:KHTKH","Ta Khmau",,"unlcdf:1","unlcds:KH12","unlcdc:KH","11.483334","104.95","KHTKH"
"unlcd:KHTNX","Stung Treng",,"unlcdf:4",,"unlcdc:KH",,,"KHTNX"
