"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:KIAAK","Aranuka",,"unlcdf:4",,"unlcdc:KI",,,"KIAAK"
"unlcd:KIABF","Abaiang",,"unlcdf:4",,"unlcdc:KI",,,"KIABF"
"unlcd:KIAEA","Abemama",,"unlcdf:4",,"unlcdc:KI",,,"KIAEA"
"unlcd:KIAIS","Arorae Island",,"unlcdf:4",,"unlcdc:KI",,,"KIAIS"
"unlcd:KIBBG","Butaritari",,"unlcdf:4",,"unlcdc:KI",,,"KIBBG"
"unlcd:KIBEZ","Beru",,"unlcdf:4",,"unlcdc:KI",,,"KIBEZ"
"unlcd:KIBIR","Birnie Island",,"unlcdf:1","unlcds:KIP","unlcdc:KI","-3.5833333","-171.51666","KIBIR"
"unlcd:KICIS","Canton Island",,"unlcdf:4",,"unlcdc:KI",,,"KICIS"
"unlcd:KICXI","Christmas Island",,"unlcdf:4",,"unlcdc:KI",,,"KICXI"
"unlcd:KIEBI","Enderbury Island",,"unlcdf:1","unlcds:KIP","unlcdc:KI","-3.15","-171.08333","KIEBI"
"unlcd:KIFIS","Fanning Islands",,"unlcdf:1",,"unlcdc:KI",,,"KIFIS"
"unlcd:KIHUL","Hull Island",,"unlcdf:1","unlcds:KIP","unlcdc:KI","-4.5166664","-172.18333","KIHUL"
"unlcd:KIKUC","Kuria",,"unlcdf:4",,"unlcdc:KI",,,"KIKUC"
"unlcd:KIMCK","Mckean Island",,"unlcdf:1","unlcds:KIP","unlcdc:KI","-3.5833333","-174.11667","KIMCK"
"unlcd:KIMNK","Maiana",,"unlcdf:4",,"unlcdc:KI",,,"KIMNK"
"unlcd:KIMTK","Makin Island",,"unlcdf:4",,"unlcdc:KI",,,"KIMTK"
"unlcd:KIMZK","Marakei",,"unlcdf:4",,"unlcdc:KI",,,"KIMZK"
"unlcd:KINIG","Nikunau",,"unlcdf:4",,"unlcdc:KI",,,"KINIG"
"unlcd:KINIK","Nikumaroro",,"unlcdf:1","unlcds:KIP","unlcdc:KI","-4.6833334","-174.51666","KINIK"
"unlcd:KINON","Nonouti",,"unlcdf:4",,"unlcdc:KI",,,"KINON"
"unlcd:KIOOT","Onotoa",,"unlcdf:4",,"unlcdc:KI",,,"KIOOT"
"unlcd:KIPHO","Phoenix Islands",,"unlcdf:1",,"unlcdc:KI",,,"KIPHO"
"unlcd:KISYI","Sydney Island",,"unlcdf:1","unlcds:KIP","unlcdc:KI","-4.4666667","-171.25","KISYI"
"unlcd:KITBF","Tabiteuea North",,"unlcdf:4",,"unlcdc:KI",,,"KITBF"
"unlcd:KITMN","Tamana Island",,"unlcdf:4",,"unlcdc:KI",,,"KITMN"
"unlcd:KITNQ","Teraina",,"unlcdf:4",,"unlcdc:KI",,,"KITNQ"
"unlcd:KITNV","Tabuaeran",,"unlcdf:4",,"unlcdc:KI",,,"KITNV"
"unlcd:KITRW","Tarawa",,"unlcdf:1, unlcdf:4",,"unlcdc:KI",,,"KITRW"
"unlcd:KITSU","Tabiteuea South",,"unlcdf:4",,"unlcdc:KI",,,"KITSU"
"unlcd:KIWNI","Washington Islands",,"unlcdf:1",,"unlcdc:KI",,,"KIWNI"
