"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:KPCCD","Tanyang",,"unlcdf:6",,"unlcdc:KP","36.983334","128.35","KPCCD"
"unlcd:KPCHO","Chongjin",,"unlcdf:1","unlcds:KP09","unlcdc:KP",,,"KPCHO"
"unlcd:KPFNJ","Pyongyang",,"unlcdf:4, unlcdf:5",,"unlcdc:KP",,,"KPFNJ"
"unlcd:KPGEN","Gensan",,"unlcdf:1",,"unlcdc:KP",,,"KPGEN"
"unlcd:KPHAE","Haeju",,"unlcdf:1","unlcds:KP05","unlcdc:KP",,,"KPHAE"
"unlcd:KPHGM","Hungnam",,"unlcdf:1","unlcds:KP08","unlcdc:KP",,,"KPHGM"
"unlcd:KPKSN","Kaesong",,"unlcdf:2, unlcdf:3",,"unlcdc:KP",,,"KPKSN"
"unlcd:KPNAM","Nampo",,"unlcdf:1, unlcdf:2, unlcdf:3","unlcds:KP14","unlcdc:KP",,,"KPNAM"
"unlcd:KPODA","Odaejin",,"unlcdf:1",,"unlcdc:KP","41.383335","129.75","KPODA"
"unlcd:KPPNG","Panjang",,"unlcdf:2, unlcdf:3",,"unlcdc:KP","38.5","125.083336","KPPNG"
"unlcd:KPREM","Bumpyo (Rempo)",,"unlcdf:0",,"unlcdc:KP",,,"KPREM"
"unlcd:KPRIW","Riwon",,"unlcdf:1",,"unlcdc:KP","40.316666","128.63333","KPRIW"
"unlcd:KPRJN","Rajin (Najin)",,"unlcdf:1, unlcdf:2, unlcdf:3","unlcds:KP13","unlcdc:KP","42.216667","130.28334","KPRJN"
"unlcd:KPSAM","Samcha do",,"unlcdf:1",,"unlcdc:KP","39.4","124.71667","KPSAM"
"unlcd:KPSGN","Songnim",,"unlcdf:1","unlcds:KP06","unlcdc:KP","38.766666","125.583336","KPSGN"
"unlcd:KPSGO","Songdo",,"unlcdf:3","unlcds:KP05","unlcdc:KP","38.383335","125.6","KPSGO"
"unlcd:KPSII","Sinuiju",,"unlcdf:2, unlcdf:3",,"unlcdc:KP",,,"KPSII"
"unlcd:KPSIN","Sinpo",,"unlcdf:1",,"unlcdc:KP","40.066666","128.26666","KPSIN"
"unlcd:KPSON","Songjin",,"unlcdf:1",,"unlcdc:KP",,,"KPSON"
"unlcd:KPTCH","Tanchon",,"unlcdf:1","unlcds:KP08","unlcdc:KP","40.416668","128.93333","KPTCH"
"unlcd:KPWON","Wonsan",,"unlcdf:1","unlcds:KP07","unlcdc:KP",,,"KPWON"
