"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:KRADG","Andong",,"unlcdf:2, unlcdf:3","unlcds:KR47","unlcdc:KR","36.55","128.71666","KRADG"
"unlcd:KRANJ","Anjeong",,"unlcdf:1","unlcds:KR48","unlcdc:KR","34.95","128.43333","KRANJ"
"unlcd:KRANY","Anyang",,"unlcdf:2, unlcdf:3","unlcds:KR41","unlcdc:KR","37.383335","126.916664","KRANY"
"unlcd:KRASA","Asan",,"unlcdf:2, unlcdf:3","unlcds:KR44","unlcdc:KR","36.783333","127.0","KRASA"
"unlcd:KRASG","Anseong",,"unlcdf:2, unlcdf:3","unlcds:KR41","unlcdc:KR","37.0","127.26667","KRASG"
"unlcd:KRASN","Ansan",,"unlcdf:2, unlcdf:3","unlcds:KR41","unlcdc:KR","37.316666","126.816666","KRASN"
"unlcd:KRAWL","Aewol",,"unlcdf:1","unlcds:KR49","unlcdc:KR","33.45","126.316666","KRAWL"
"unlcd:KRBAA","BALAN/Hwaseoung",,"unlcdf:3","unlcds:KR41","unlcdc:KR","37.466667","126.85","KRBAA"
"unlcd:KRBAN","Buan-gun",,"unlcdf:2, unlcdf:3","unlcds:KR45","unlcdc:KR","35.716667","126.73333","KRBAN"
"unlcd:KRBCN","Bucheon",,"unlcdf:2, unlcdf:3","unlcds:KR41","unlcdc:KR","37.5","126.75","KRBCN"
"unlcd:KRBDE","Bongdong-eup/Wanju-gun",,"unlcdf:3, unlcdf:6","unlcds:KR45","unlcdc:KR","35.933334","127.15","KRBDE"
"unlcd:KRBEN","Boeun-gun",,"unlcdf:2, unlcdf:3","unlcds:KR43","unlcdc:KR","36.483334","127.71667","KRBEN"
"unlcd:KRBHA","Bonghwa-gun",,"unlcdf:2, unlcdf:3","unlcds:KR47","unlcdc:KR","36.233334","128.71666","KRBHA"
"unlcd:KRBIN","Biin",,"unlcdf:1","unlcds:KR44","unlcdc:KR","36.116665","126.48333","KRBIN"
"unlcd:KRBJG","Busanjin-Gu",,"unlcdf:1, unlcdf:3","unlcds:KR26","unlcdc:KR","35.15","129.05","KRBJG"
"unlcd:KRBJJ","Bukjeju-gun",,"unlcdf:3","unlcds:KR49","unlcdc:KR","33.483334","126.5","KRBJJ"
"unlcd:KRBNP","Busan New Port",,"unlcdf:1","unlcds:KR26","unlcdc:KR","35.083332","128.81667","KRBNP"
"unlcd:KRBOR","Boryeong",,"unlcdf:1, unlcdf:2, unlcdf:3","unlcds:KR44","unlcdc:KR","36.316666","126.5","KRBOR"
"unlcd:KRBSG","Boseong-gun",,"unlcdf:2, unlcdf:3","unlcds:KR46","unlcdc:KR","34.766666","127.8","KRBSG"
"unlcd:KRBUK","Bupyong/Incheon",,"unlcdf:1, unlcdf:2, unlcdf:3","unlcds:KR28","unlcdc:KR","37.5","129.13333","KRBUK"
"unlcd:KRBYO","Buyeo-gun",,"unlcdf:2, unlcdf:3","unlcds:KR44","unlcdc:KR","36.266666","126.9","KRBYO"
"unlcd:KRCDO","Cheongdo-gun",,"unlcdf:2, unlcdf:3","unlcds:KR47","unlcdc:KR","35.633335","128.73334","KRCDO"
"unlcd:KRCGK","Chilgok-gun",,"unlcdf:2, unlcdf:3","unlcds:KR47","unlcdc:KR","35.983334","128.4","KRCGK"
"unlcd:KRCGY","Chungyang",,"unlcdf:1","unlcds:KR30","unlcdc:KR",,,"KRCGY"
"unlcd:KRCHA","Jeju",,"unlcdf:1, unlcdf:3, unlcdf:4","unlcds:KR49","unlcdc:KR","33.5","126.51667","KRCHA"
"unlcd:KRCHC","Chuncheon",,"unlcdf:2, unlcdf:3","unlcds:KR42","unlcdc:KR","37.866665","127.75","KRCHC"
"unlcd:KRCHF","Jinhae",,"unlcdf:1, unlcdf:2, unlcdf:3, unlcdf:4","unlcds:KR48","unlcdc:KR","35.133335","128.65","KRCHF"
"unlcd:KRCHG","Janghang/Seocheon-gun",,"unlcdf:1","unlcds:KR44","unlcdc:KR","36.0","126.683334","KRCHG"
"unlcd:KRCHI","Chonui/Yeongi-gun",,"unlcdf:2, unlcdf:3, unlcdf:6","unlcds:KR44","unlcdc:KR","36.666668","127.2","KRCHI"
"unlcd:KRCHN","Chonju",,"unlcdf:2, unlcdf:3, unlcdf:4","unlcds:KR45","unlcdc:KR","35.816666","127.13333","KRCHN"
"unlcd:KRCHO","Cheonan",,"unlcdf:2, unlcdf:3","unlcds:KR44","unlcdc:KR","36.8","127.15","KRCHO"
"unlcd:KRCHU","Chungju",,"unlcdf:2, unlcdf:3","unlcds:KR43","unlcdc:KR","36.966667","127.916664","KRCHU"
"unlcd:KRCHW","Changwon",,"unlcdf:2, unlcdf:3","unlcds:KR48","unlcdc:KR","35.216667","128.66667","KRCHW"
"unlcd:KRCJA","Chuja",,"unlcdf:1","unlcds:KR49","unlcdc:KR","33.95","126.3","KRCJA"
"unlcd:KRCJJ","Cheongju Apt",,"unlcdf:3, unlcdf:4","unlcds:KR43","unlcdc:KR","36.7","127.48333","KRCJJ"
"unlcd:KRCNG","Changnyeong-gun",,"unlcdf:2, unlcdf:3","unlcds:KR48","unlcdc:KR","35.533333","128.48334","KRCNG"
"unlcd:KRCOG","Ch'Ongdo",,"unlcdf:3","unlcds:KR47","unlcdc:KR","35.633335","128.73334","KRCOG"
"unlcd:KRCOJ","Cheongju",,"unlcdf:2, unlcdf:3","unlcds:KR43","unlcdc:KR","36.633335","127.48333","KRCOJ"
"unlcd:KRCSG","Cheongsong-gun",,"unlcdf:2, unlcdf:3","unlcds:KR47","unlcdc:KR","36.433334","129.41667","KRCSG"
"unlcd:KRCWN","Cheorwon-gun",,"unlcdf:2, unlcdf:3","unlcds:KR42","unlcdc:KR","38.25","127.21667","KRCWN"
"unlcd:KRCWO","Cheongwon-gun",,"unlcdf:2, unlcdf:3","unlcds:KR43","unlcdc:KR","36.633335","127.48333","KRCWO"
"unlcd:KRCWR","Ch'irwon",,"unlcdf:3","unlcds:KR48","unlcdc:KR","35.3","128.51666","KRCWR"
"unlcd:KRCYG","Cheongyang-gun",,"unlcdf:2, unlcdf:3","unlcds:KR44","unlcdc:KR","36.45","126.8","KRCYG"
"unlcd:KRDBL","Daebul/Yeongam-gun",,"unlcdf:1, unlcdf:2, unlcdf:3","unlcds:KR46","unlcdc:KR","34.75","126.433334","KRDBL"
"unlcd:KRDCN","Daecheon",,"unlcdf:1","unlcds:KR44","unlcdc:KR","36.316666","126.5","KRDCN"
"unlcd:KRDDC","Dongducheon",,"unlcdf:2, unlcdf:3","unlcds:KR41","unlcdc:KR","37.9","127.55","KRDDC"
"unlcd:KRDDO","Dokdo",,"unlcdf:1","unlcds:KR47","unlcdc:KR","37.233334","131.85","KRDDO"
"unlcd:KRDGU","Tongdaemun-Gu",,"unlcdf:6","unlcds:KR11","unlcdc:KR","-37.566666","127.03333","KRDGU"
"unlcd:KRDHS","Daeheuksando",,"unlcdf:1","unlcds:KR46","unlcdc:KR","34.683334","125.433334","KRDHS"
"unlcd:KRDRS","Dorasan/Paju",,"unlcdf:2, unlcdf:3","unlcds:KR41","unlcdc:KR","37.75","126.76667","KRDRS"
"unlcd:KRDSG","Dalseong-gun/Daegu",,"unlcdf:2, unlcdf:3","unlcds:KR27","unlcdc:KR","35.816666","128.55","KRDSG"
