"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:KWABD","Al 'Abdaliyah",,"unlcdf:3",,"unlcdc:KW","29.05","47.733334","KWABD"
"unlcd:KWAHJ","Ahmed Al Jaber",,"unlcdf:3",,"unlcdc:KW","28.933332","47.783333","KWAHJ"
"unlcd:KWAIS","Ali al Salem AB",,"unlcdf:3",,"unlcdc:KW","29.333334","47.516666","KWAIS"
"unlcd:KWALF","Al Farwaniyah",,"unlcdf:3","unlcds:KWKU","unlcdc:KW","29.266666","47.95","KWALF"
"unlcd:KWALR","Ra's al Ard",,"unlcdf:6",,"unlcdc:KW","29.35","48.083332","KWALR"
"unlcd:KWCAJ","Camp Arifjan",,"unlcdf:3",,"unlcdc:KW","28.9","48.183334","KWCAJ"
"unlcd:KWCBG","Camp Buehring",,"unlcdf:3, unlcdf:4","unlcds:KWJA","unlcdc:KW","29.7","47.433334","KWCBG"
"unlcd:KWDOH","Doha",,"unlcdf:1","unlcds:KWKU","unlcdc:KW","29.383333","47.8","KWDOH"
"unlcd:KWFIN","Fintas",,"unlcdf:3","unlcds:KWAH","unlcdc:KW","29.166666","48.116665","KWFIN"
"unlcd:KWHAW","Awalli",,"unlcdf:6",,"unlcdc:KW","29.316668","48.016666","KWHAW"
"unlcd:KWHMD","Ahmadi",,"unlcdf:6",,"unlcdc:KW","29.066668","48.083332","KWHMD"
"unlcd:KWHWI","Hawalli",,"unlcdf:3","unlcds:KWHA","unlcdc:KW","29.333334","48.033333","KWHWI"
"unlcd:KWJBD","Jebel Dhana",,"unlcdf:1",,"unlcdc:KW",,,"KWJBD"
"unlcd:KWKFZ","Kaifan",,"unlcdf:6",,"unlcdc:KW","29.333334","47.966667","KWKFZ"
"unlcd:KWKHT","As Sulaybikhat",,"unlcdf:1, unlcdf:3","unlcds:KWAH","unlcdc:KW",,,"KWKHT"
"unlcd:KWKWI","Kuwait",,"unlcdf:1, unlcdf:4, unlcdf:5",,"unlcdc:KW",,,"KWKWI"
"unlcd:KWKWM","Khor al Mufatta",,"unlcdf:1",,"unlcdc:KW",,,"KWKWM"
"unlcd:KWMAM","Mina Alo Manti",,"unlcdf:0",,"unlcdc:KW",,,"KWMAM"
"unlcd:KWMEA","Mina' al Ahmadi",,"unlcdf:1",,"unlcdc:KW","29.066668","48.15","KWMEA"
"unlcd:KWMIB","Mina' 'Abd Allah",,"unlcdf:1",,"unlcdc:KW","29.016666","48.166668","KWMIB"
"unlcd:KWMIS","Mina Saud",,"unlcdf:1",,"unlcdc:KW","28.766666","48.466667","KWMIS"
"unlcd:KWMZR","Mina Al Zour",,"unlcdf:1","unlcds:KWAH","unlcdc:KW","28.716667","48.4","KWMZR"
"unlcd:KWRUM","Rumaithiya",,"unlcdf:3",,"unlcdc:KW","29.316668","48.516666","KWRUM"
"unlcd:KWSAA","Shuaiba",,"unlcdf:1, unlcdf:3, unlcdf:6",,"unlcdc:KW","29.033333","48.133335","KWSAA"
"unlcd:KWSAF","Safat",,"unlcdf:0",,"unlcdc:KW",,,"KWSAF"
"unlcd:KWSAL","As Salimiyah",,"unlcdf:1, unlcdf:3",,"unlcdc:KW","29.333334","48.083332","KWSAL"
"unlcd:KWSMY","Salmiya",,"unlcdf:1","unlcds:KWHA","unlcdc:KW","29.333334","48.083332","KWSMY"
"unlcd:KWSUL","Sulaibiya",,"unlcdf:3","unlcds:KWJA","unlcdc:KW","29.283333","47.816666","KWSUL"
"unlcd:KWSWK","Shuwaikh",,"unlcdf:1",,"unlcdc:KW","29.35","47.933334","KWSWK"
"unlcd:KWSYA","As Sabahiyah",,"unlcdf:3",,"unlcdc:KW","29.1","48.1","KWSYA"
"unlcd:KWWAF","Al Wafrah",,"unlcdf:3",,"unlcdc:KW","28.55","47.833332","KWWAF"
