"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:KZAAU","Aktau",,"unlcdf:1, unlcdf:2, unlcdf:4","unlcds:KZ47","unlcdc:KZ","43.65","51.15","KZAAU"
"unlcd:KZABE","Aktobe",,"unlcdf:3",,"unlcdc:KZ",,,"KZABE"
"unlcd:KZAGY","Aqtoghay",,"unlcdf:3","unlcds:KZ63","unlcdc:KZ","46.95","79.666664","KZAGY"
"unlcd:KZAKS","Aksay",,"unlcdf:3",,"unlcdc:KZ","36.166668","69.166664","KZAKS"
"unlcd:KZAKX","Aqtöbe (Aktyubinsk)","Aqtobe (Aktyubinsk)","unlcdf:2, unlcdf:3, unlcdf:4","unlcds:KZ15","unlcdc:KZ","50.283333","57.166668","KZAKX"
"unlcd:KZALA","Almaty",,"unlcdf:2, unlcdf:4, unlcdf:5","unlcds:KZ75","unlcdc:KZ","43.25","76.95","KZALA"
"unlcd:KZALS","Alashankou",,"unlcdf:2, unlcdf:3",,"unlcdc:KZ","45.2","82.6","KZALS"
"unlcd:KZARY","Arys",,"unlcdf:2, unlcdf:3",,"unlcdc:KZ","42.433334","68.8","KZARY"
"unlcd:KZASA","Assa",,"unlcdf:3","unlcds:KZ31","unlcdc:KZ","43.016666","71.166664","KZASA"
"unlcd:KZASK","Aksukent",,"unlcdf:2, unlcdf:3","unlcds:KZ61","unlcdc:KZ","42.416668","69.833336","KZASK"
"unlcd:KZAST","Nur-Sultan",,"unlcdf:4, unlcdf:5",,"unlcdc:KZ",,,"KZAST"
"unlcd:KZATX","Atbasar",,"unlcdf:4",,"unlcdc:KZ",,,"KZATX"
"unlcd:KZAYK","Arkalyk",,"unlcdf:4",,"unlcdc:KZ",,,"KZAYK"
"unlcd:KZBAH","Balkhash",,"unlcdf:3","unlcds:KZ35","unlcdc:KZ","46.833332","74.98333","KZBAH"
"unlcd:KZBKL","Beskol",,"unlcdf:2, unlcdf:3","unlcds:KZ19","unlcdc:KZ","54.766666","69.1","KZBKL"
"unlcd:KZBKZ","Baikonur",,"unlcdf:2, unlcdf:3, unlcdf:4, unlcdf:6","unlcds:KZ11","unlcdc:KZ",,,"KZBKZ"
"unlcd:KZBTN","Bautino",,"unlcdf:1, unlcdf:6",,"unlcdc:KZ","44.533333","50.25","KZBTN"
"unlcd:KZBXH","Balhash",,"unlcdf:4",,"unlcdc:KZ",,,"KZBXH"
"unlcd:KZBXJ","Burundai",,"unlcdf:4",,"unlcdc:KZ",,,"KZBXJ"
"unlcd:KZCIT","Shimkent",,"unlcdf:3, unlcdf:4",,"unlcdc:KZ",,,"KZCIT"
"unlcd:KZDMB","Zhambyl",,"unlcdf:4",,"unlcdc:KZ",,,"KZDMB"
"unlcd:KZDOS","Dosytk",,"unlcdf:2","unlcds:KZ75","unlcdc:KZ","45.25","82.48333","KZDOS"
"unlcd:KZDZH","Dzhambul",,"unlcdf:3","unlcds:KZ31","unlcdc:KZ","42.9","71.36667","KZDZH"
"unlcd:KZDZN","Zhezkazgan",,"unlcdf:4",,"unlcdc:KZ",,,"KZDZN"
"unlcd:KZEIK","Esik",,"unlcdf:3","unlcds:KZ75","unlcdc:KZ","43.35","77.45","KZEIK"
"unlcd:KZEIL","Esil",,"unlcdf:3","unlcds:KZ11","unlcdc:KZ","51.383335","67.11667","KZEIL"
"unlcd:KZEKB","Ekibastuz",,"unlcdf:4",,"unlcdc:KZ",,,"KZEKB"
"unlcd:KZEMB","Emba",,"unlcdf:3","unlcds:KZ15","unlcdc:KZ","48.816666","58.133335","KZEMB"
"unlcd:KZGUW","Atyrau (ex Guryev)",,"unlcdf:2, unlcdf:4",,"unlcdc:KZ",,,"KZGUW"
"unlcd:KZHOR","Horgos",,"unlcdf:2, unlcdf:3, unlcdf:5, unlcdf:6",,"unlcdc:KZ",,,"KZHOR"
"unlcd:KZHRC","Zhairem",,"unlcdf:4",,"unlcdc:KZ",,,"KZHRC"
"unlcd:KZKGF","Karaganda",,"unlcdf:2, unlcdf:3, unlcdf:4","unlcds:KZ35","unlcdc:KZ","49.833332","73.166664","KZKGF"
"unlcd:KZKHR","Khromtau",,"unlcdf:3","unlcds:KZ15","unlcdc:KZ","50.25","58.433334","KZKHR"
"unlcd:KZKKO","Akkol'",,"unlcdf:3","unlcds:KZ11","unlcdc:KZ","51.983334","70.933334","KZKKO"
"unlcd:KZKOR","Kordai",,"unlcdf:5",,"unlcdc:KZ",,,"KZKOR"
"unlcd:KZKOV","Kökshetau","Kokshetau","unlcdf:2, unlcdf:3, unlcdf:4",,"unlcdc:KZ","53.266666","69.38333","KZKOV"
"unlcd:KZKPC","Kapchagay",,"unlcdf:3","unlcds:KZ19","unlcdc:KZ","43.883335","77.833336","KZKPC"
"unlcd:KZKSN","Kostanay",,"unlcdf:4",,"unlcdc:KZ",,,"KZKSN"
"unlcd:KZKTO","Karaton",,"unlcdf:3","unlcds:KZ23","unlcdc:KZ","46.366665","53.516666","KZKTO"
"unlcd:KZKUL","Kul'sary",,"unlcdf:2, unlcdf:3",,"unlcdc:KZ","46.95","54.016666","KZKUL"
"unlcd:KZKUR","Kuryk",,"unlcdf:3","unlcds:KZ23","unlcdc:KZ","43.2","51.65","KZKUR"
"unlcd:KZKYH","Kandyagash",,"unlcdf:3","unlcds:KZ15","unlcdc:KZ","49.466667","57.416668","KZKYH"
"unlcd:KZKZO","Kzyl-Orda",,"unlcdf:4",,"unlcdc:KZ",,,"KZKZO"
"unlcd:KZLAX","Ridder",,"unlcdf:3","unlcds:KZ63","unlcdc:KZ","50.35","83.5","KZLAX"
"unlcd:KZLKK","Lisakovsk",,"unlcdf:3",,"unlcdc:KZ",,,"KZLKK"
"unlcd:KZMAM","Mamlyutka",,"unlcdf:3","unlcds:KZ59","unlcdc:KZ","54.933334","68.53333","KZMAM"
"unlcd:KZMAN","Mankent",,"unlcdf:3","unlcds:KZ59","unlcdc:KZ","42.416668","69.833336","KZMAN"
"unlcd:KZMDT","Madeniet",,"unlcdf:3","unlcds:KZ63","unlcdc:KZ","47.866665","78.61667","KZMDT"
"unlcd:KZNOA","Novaya Shul'ba",,"unlcdf:3","unlcds:KZ63","unlcdc:KZ","50.533333","81.316666","KZNOA"
"unlcd:KZNOV","Novoyamyshevo",,"unlcdf:3, unlcdf:4",,"unlcdc:KZ","51.916668","77.316666","KZNOV"
"unlcd:KZOTE","Otegen Batyr",,"unlcdf:3","unlcds:KZ75","unlcdc:KZ","43.333332","77.05","KZOTE"
"unlcd:KZPLX","Semey (Semipalatinsk)",,"unlcdf:3, unlcdf:4","unlcds:KZ63","unlcdc:KZ","50.4","80.21667","KZPLX"
"unlcd:KZPPK","Petropavlovsk",,"unlcdf:3","unlcds:KZ59","unlcdc:KZ","54.866665","69.15","KZPPK"
"unlcd:KZPWQ","Pavlodar",,"unlcdf:3, unlcdf:4","unlcds:KZ55","unlcdc:KZ","52.0","76.0","KZPWQ"
"unlcd:KZQSY","Qulsary",,"unlcdf:3","unlcds:KZ23","unlcdc:KZ","46.983334","54.016666","KZQSY"
