"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:LAAOU","Attopeu",,"unlcdf:3, unlcdf:4",,"unlcdc:LA","14.816667","106.816666","LAAOU"
"unlcd:LABTN","Boten",,"unlcdf:2, unlcdf:3","unlcds:LALM","unlcdc:LA","21.166666","101.666664","LABTN"
"unlcd:LADSH","Danesavan",,"unlcdf:3","unlcds:LASV","unlcdc:LA","16.616667","106.583336","LADSH"
"unlcd:LAGT9","Ban Thanalèng","Ban Thanaleng","unlcdf:3","unlcds:LAVT","unlcdc:LA","17.883333","102.71667","LAGT9"
"unlcd:LAHHP","Hin Hoeup",,"unlcdf:3","unlcds:LAVI","unlcdc:LA","18.616667","102.316666","LAHHP"
"unlcd:LAHNK","Ban Houaynamleuk",,"unlcdf:3","unlcds:LABL","unlcdc:LA","18.366667","103.11667","LAHNK"
"unlcd:LAHOE","Houeisay",,"unlcdf:3, unlcdf:4",,"unlcdc:LA","20.25","100.433334","LAHOE"
"unlcd:LAKOG","Khong",,"unlcdf:4",,"unlcdc:LA",,,"LAKOG"
"unlcd:LAKTH","Kenthao",,"unlcdf:3","unlcds:LAXA","unlcdc:LA","17.716667","101.38333","LAKTH"
"unlcd:LALLY","Lalay",,"unlcdf:3","unlcds:LASL","unlcdc:LA","16.3","106.95","LALLY"
"unlcd:LALPQ","Luang Prabang",,"unlcdf:2, unlcdf:3, unlcdf:4",,"unlcdc:LA","19.883333","102.2","LALPQ"
"unlcd:LALTY","Lantouy",,"unlcdf:3","unlcds:LAPH","unlcdc:LA","22.466667","101.7","LALTY"
"unlcd:LALXG","Luang Namtha",,"unlcdf:3, unlcdf:4",,"unlcdc:LA","20.966667","101.38333","LALXG"
"unlcd:LAMGN","Muang Ngeun",,"unlcdf:3","unlcds:LAXA","unlcdc:LA","19.6","101.1","LAMGN"
"unlcd:LANEU","Sam Neua",,"unlcdf:3, unlcdf:4",,"unlcdc:LA","20.4","104.03333","LANEU"
"unlcd:LANKM","Namkan",,"unlcdf:3","unlcds:LAXI","unlcdc:LA","19.45","104.066666","LANKM"
"unlcd:LANMO","Nameo",,"unlcdf:3","unlcds:LAHO","unlcdc:LA","20.283333","104.61667","LANMO"
"unlcd:LANNK","Nongnokkhian",,"unlcdf:3","unlcds:LAAT","unlcdc:LA","13.916667","106.01667","LANNK"
"unlcd:LANPH","Naphao",,"unlcdf:3","unlcds:LAKH","unlcdc:LA","17.65","105.75","LANPH"
"unlcd:LANPO","Namphao",,"unlcdf:3","unlcds:LABL","unlcdc:LA","18.366667","105.15","LANPO"
"unlcd:LANTY","Nateuy",,"unlcdf:2, unlcdf:3, unlcdf:6","unlcds:LALM","unlcdc:LA","21.05","101.63333","LANTY"
"unlcd:LAODY","Oudomxay",,"unlcdf:2, unlcdf:3, unlcdf:4",,"unlcdc:LA","20.666666","101.98333","LAODY"
"unlcd:LAOUI","Ban Houei",,"unlcdf:4",,"unlcdc:LA",,,"LAOUI"
