"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:LIBAZ","Balzers",,"unlcdf:3",,"unlcdc:LI","47.066666","9.5","LIBAZ"
"unlcd:LIESC","Eschen",,"unlcdf:3",,"unlcdc:LI","47.2","9.516666","LIESC"
"unlcd:LIGAM","Gamprin-Bendern",,"unlcdf:3",,"unlcdc:LI",,,"LIGAM"
"unlcd:LIMAU","Mauren",,"unlcdf:3",,"unlcdc:LI","47.216667","9.533334","LIMAU"
"unlcd:LINEN","Nendeln",,"unlcdf:3","unlcds:LI01","unlcdc:LI","47.2","9.55","LINEN"
"unlcd:LIPLK","Planken",,"unlcdf:3","unlcds:LI05","unlcdc:LI","47.183334","9.533334","LIPLK"
"unlcd:LIRGL","Ruggell",,"unlcdf:3",,"unlcdc:LI","47.233334","9.516666","LIRGL"
"unlcd:LISCH","Schaanwald",,"unlcdf:3, unlcdf:B",,"unlcdc:LI","47.216667","9.566667","LISCH"
"unlcd:LISCN","Schaan",,"unlcdf:2, unlcdf:3",,"unlcdc:LI","47.166668","9.5","LISCN"
"unlcd:LITES","Triesen",,"unlcdf:3",,"unlcdc:LI",,,"LITES"
"unlcd:LIVDZ","Vaduz",,"unlcdf:3",,"unlcdc:LI","47.15","9.533334","LIVDZ"
