"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:LKABA","Andiambalama",,"unlcdf:6",,"unlcdc:LK","7.1833334","79.9","LKABA"
"unlcd:LKADP","Anuradhapura",,"unlcdf:4",,"unlcdc:LK",,,"LKADP"
"unlcd:LKAGA","Agalawatta",,"unlcdf:3","unlcds:LK1","unlcdc:LK","6.5333333","80.15","LKAGA"
"unlcd:LKAMP","Amparai",,"unlcdf:4",,"unlcdc:LK","7.3333335","81.61667","LKAMP"
"unlcd:LKANG","Angoda",,"unlcdf:3","unlcds:LK11","unlcdc:LK","6.9333334","79.916664","LKANG"
"unlcd:LKATA","Attanagalla",,"unlcdf:3","unlcds:LK1","unlcdc:LK","7.1","80.11667","LKATA"
"unlcd:LKATT","Attidiya",,"unlcdf:6",,"unlcdc:LK","6.8333335","79.88333","LKATT"
"unlcd:LKAVI","Avissawella",,"unlcdf:2, unlcdf:3, unlcdf:7",,"unlcdc:LK","6.95","80.21667","LKAVI"
"unlcd:LKAZX","Dekatana",,"unlcdf:3","unlcds:LK1","unlcdc:LK","6.9666667","80.05","LKAZX"
"unlcd:LKBAN","Bandaragama",,"unlcdf:3","unlcds:LK1","unlcdc:LK","6.7","79.98333","LKBAN"
"unlcd:LKBAT","Battaramulla",,"unlcdf:3","unlcds:LK1","unlcdc:LK","6.9","79.916664","LKBAT"
"unlcd:LKBIY","Biyagama",,"unlcdf:3","unlcds:LK12","unlcdc:LK","6.9333334","79.98333","LKBIY"
"unlcd:LKBJT","Bentota River Apt",,"unlcdf:4",,"unlcdc:LK","6.4166665","79.98333","LKBJT"
"unlcd:LKBLA","Badulla",,"unlcdf:3","unlcds:LK3","unlcdc:LK","6.1666665","80.53333","LKBLA"
"unlcd:LKBRW","Beruwala",,"unlcdf:1",,"unlcdc:LK",,,"LKBRW"
"unlcd:LKBTC","Batticoloa",,"unlcdf:1, unlcdf:4",,"unlcdc:LK",,,"LKBTC"
"unlcd:LKBTW","Bataduwa",,"unlcdf:6",,"unlcdc:LK","6.2166667","80.1","LKBTW"
"unlcd:LKBUT","Bulathsinhala",,"unlcdf:3","unlcds:LK1","unlcdc:LK","6.65","80.166664","LKBUT"
"unlcd:LKBWT","Bogahawatta",,"unlcdf:6",,"unlcdc:LK","7.3","80.166664","LKBWT"
"unlcd:LKCMB","Colombo",,"unlcdf:1, unlcdf:2, unlcdf:3, unlcdf:4, unlcdf:5","unlcds:LK11","unlcdc:LK","6.9166665","79.85","LKCMB"
"unlcd:LKDBU","Dambulu Oya Tank Apt",,"unlcdf:4",,"unlcdc:LK","7.85","80.65","LKDBU"
"unlcd:LKDEH","Dehiwala",,"unlcdf:3","unlcds:LK1","unlcdc:LK","6.85","79.85","LKDEH"
"unlcd:LKDEK","Dekantana",,"unlcdf:3",,"unlcdc:LK",,,"LKDEK"
"unlcd:LKDIV","Divulapitiya",,"unlcdf:3","unlcds:LK1","unlcdc:LK","7.2166667","80.083336","LKDIV"
"unlcd:LKDIW","Dickwella Mawella Lagoon Apt",,"unlcdf:4",,"unlcdc:LK","6.9666667","81.0","LKDIW"
"unlcd:LKDMB","Dambadure",,"unlcdf:6",,"unlcdc:LK","7.116667","79.88333","LKDMB"
"unlcd:LKDMP","Dampelessa",,"unlcdf:3","unlcds:LK61","unlcdc:LK","7.65","80.38333","LKDMP"
"unlcd:LKDOD","Dodangoda",,"unlcdf:3","unlcds:LK1","unlcdc:LK","6.5333333","80.4","LKDOD"
"unlcd:LKDOM","Dompe",,"unlcdf:3","unlcds:LK1","unlcdc:LK","6.95","80.51667","LKDOM"
"unlcd:LKENA","Enderamulla",,"unlcdf:6",,"unlcdc:LK","7.0","79.9","LKENA"
"unlcd:LKGAL","Galle",,"unlcdf:1",,"unlcdc:LK",,,"LKGAL"
"unlcd:LKGAM","Gampaha",,"unlcdf:3","unlcds:LK1","unlcdc:LK","7.883333","79.98333","LKGAM"
"unlcd:LKGKD","Galkanda",,"unlcdf:3","unlcds:LK71","unlcdc:LK","7.65","80.36667","LKGKD"
"unlcd:LKGLY","Gelioya",,"unlcdf:3","unlcds:LK21","unlcdc:LK","7.2","80.6","LKGLY"
"unlcd:LKGMA","Ganemulla",,"unlcdf:6","unlcds:LK12","unlcdc:LK","7.0666666","79.95","LKGMA"
"unlcd:LKGOR","Gorakana",,"unlcdf:6",,"unlcdc:LK","6.7666664","79.9","LKGOR"
"unlcd:LKGOY","Gal Oya",,"unlcdf:4",,"unlcdc:LK",,,"LKGOY"
"unlcd:LKGPL","Gampola",,"unlcdf:6",,"unlcdc:LK","8.05","80.183334","LKGPL"
"unlcd:LKHAN","Hanwella",,"unlcdf:3","unlcds:LK2","unlcdc:LK","7.35","80.86667","LKHAN"
"unlcd:LKHAT","Hatton",,"unlcdf:2, unlcdf:3",,"unlcdc:LK","6.883333","80.583336","LKHAT"
"unlcd:LKHBA","Hambantota",,"unlcdf:1",,"unlcdc:LK","6.116667","81.11667","LKHBA"
"unlcd:LKHDL","Hendala",,"unlcdf:6",,"unlcdc:LK","6.9833336","79.86667","LKHDL"
"unlcd:LKHET","Hettimulla",,"unlcdf:6",,"unlcdc:LK","7.266667","-80.083336","LKHET"
"unlcd:LKHIM","Hingurakgoda",,"unlcdf:4",,"unlcdc:LK","8.016666","80.95","LKHIM"
