"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:LRBYL","Bella Yella",,"unlcdf:4",,"unlcdc:LR",,,"LRBYL"
"unlcd:LRCMT","Cape Mount",,"unlcdf:1",,"unlcdc:LR",,,"LRCMT"
"unlcd:LRCPA","Cape Palmas",,"unlcdf:1, unlcdf:4",,"unlcdc:LR",,,"LRCPA"
"unlcd:LRFIM","Fimibo",,"unlcdf:1",,"unlcdc:LR",,,"LRFIM"
"unlcd:LRFOY","Foya",,"unlcdf:4",,"unlcdc:LR",,,"LRFOY"
"unlcd:LRGBS","Grand Bassa",,"unlcdf:1",,"unlcdc:LR",,,"LRGBS"
"unlcd:LRGRC","Grand Cess",,"unlcdf:4",,"unlcdc:LR",,,"LRGRC"
"unlcd:LRGRE","Greenville",,"unlcdf:1",,"unlcdc:LR",,,"LRGRE"
"unlcd:LRHAR","Harper",,"unlcdf:1, unlcdf:3","unlcds:LRMY","unlcdc:LR","4.366667","-7.7166667","LRHAR"
"unlcd:LRHBL","Harbel",,"unlcdf:3","unlcds:LRMO","unlcdc:LR","6.266667","-10.333333","LRHBL"
"unlcd:LRLOB","Lower Buchanan",,"unlcdf:1",,"unlcdc:LR",,,"LRLOB"
"unlcd:LRMAR","Marshall",,"unlcdf:1",,"unlcdc:LR",,,"LRMAR"
"unlcd:LRMLW","Monrovia",,"unlcdf:1, unlcdf:3, unlcdf:4, unlcdf:5","unlcds:LRMO","unlcdc:LR","6.3","-10.8","LRMLW"
"unlcd:LRNIA","Nimba",,"unlcdf:4",,"unlcdc:LR",,,"LRNIA"
"unlcd:LRROB","Roberts International Airport",,"unlcdf:3, unlcdf:4","unlcds:LRMO","unlcdc:LR","6.233333","-10.35","LRROB"
"unlcd:LRROX","Robertsport",,"unlcdf:1",,"unlcdc:LR",,,"LRROX"
"unlcd:LRRVC","River Cess",,"unlcdf:1, unlcdf:4",,"unlcdc:LR","5.4666667","-9.583333","LRRVC"
"unlcd:LRSAB","Sarioe Bay",,"unlcdf:1",,"unlcdc:LR",,,"LRSAB"
"unlcd:LRSAG","Sagleipie",,"unlcdf:3","unlcds:LRNI","unlcdc:LR","6.95","-8.833333","LRSAG"
"unlcd:LRSAZ","Sasstown",,"unlcdf:1, unlcdf:4",,"unlcdc:LR",,,"LRSAZ"
"unlcd:LRSNI","Sinoe",,"unlcdf:1, unlcdf:4",,"unlcdc:LR",,,"LRSNI"
"unlcd:LRTHC","Tchien",,"unlcdf:4",,"unlcdc:LR",,,"LRTHC"
"unlcd:LRTPT","Tapeta",,"unlcdf:4",,"unlcdc:LR",,,"LRTPT"
"unlcd:LRTRT","Trade Town",,"unlcdf:1",,"unlcdc:LR",,,"LRTRT"
"unlcd:LRUCN","Buchanan",,"unlcdf:1, unlcdf:4",,"unlcdc:LR",,,"LRUCN"
"unlcd:LRVOI","Voinjama",,"unlcdf:4",,"unlcdc:LR",,,"LRVOI"
"unlcd:LRWES","Weasua",,"unlcdf:4",,"unlcdc:LR",,,"LRWES"
"unlcd:LRWOI","Wologissi",,"unlcdf:4",,"unlcdc:LR",,,"LRWOI"
"unlcd:LRZWD","Zwedru",,"unlcdf:3","unlcds:LRGG","unlcdc:LR","6.0666666","-8.116667","LRZWD"
