"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:LSBUT","Butha-Buthe",,"unlcdf:2, unlcdf:3, unlcdf:4","unlcds:LSB","unlcdc:LS","-28.783333","28.233334","LSBUT"
"unlcd:LSLEF","Lebakeng",,"unlcdf:4",,"unlcdc:LS",,,"LSLEF"
"unlcd:LSLES","Lesobeng",,"unlcdf:4",,"unlcdc:LS",,,"LSLES"
"unlcd:LSLRB","Leribe",,"unlcdf:4",,"unlcdc:LS",,,"LSLRB"
"unlcd:LSMFC","Mafeteng",,"unlcdf:4",,"unlcdc:LS",,,"LSMFC"
"unlcd:LSMHH","Mohale's Hoek",,"unlcdf:6",,"unlcdc:LS","-30.15","27.466667","LSMHH"
"unlcd:LSMKH","Mokhotlong",,"unlcdf:4",,"unlcdc:LS",,,"LSMKH"
"unlcd:LSMPS","Maputsoe",,"unlcdf:2, unlcdf:3",,"unlcdc:LS","-28.883333","27.9","LSMPS"
"unlcd:LSMSG","Matsaile",,"unlcdf:4",,"unlcdc:LS",,,"LSMSG"
"unlcd:LSMSU","Maseru",,"unlcdf:4, unlcdf:5",,"unlcdc:LS",,,"LSMSU"
"unlcd:LSNKU","Nkaus",,"unlcdf:4",,"unlcdc:LS",,,"LSNKU"
"unlcd:LSPEL","Pelaneng",,"unlcdf:4",,"unlcdc:LS",,,"LSPEL"
"unlcd:LSSHK","Sehonghong",,"unlcdf:4",,"unlcdc:LS",,,"LSSHK"
"unlcd:LSSHZ","Seshutes",,"unlcdf:4",,"unlcdc:LS",,,"LSSHZ"
"unlcd:LSSKQ","Sekakes",,"unlcdf:4",,"unlcdc:LS",,,"LSSKQ"
"unlcd:LSSOK","Semongkong",,"unlcdf:4",,"unlcdc:LS",,,"LSSOK"
"unlcd:LSTHB","Thaba-Tseka",,"unlcdf:4",,"unlcdc:LS",,,"LSTHB"
"unlcd:LSTKO","Tlokoeng",,"unlcdf:4",,"unlcdc:LS",,,"LSTKO"
"unlcd:LSUNE","Qacha's Nek",,"unlcdf:4",,"unlcdc:LS","-30.116667","28.683332","LSUNE"
"unlcd:LSUTG","Quthing",,"unlcdf:4",,"unlcdc:LS",,,"LSUTG"
