"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:LTAGM","Augmenai",,"unlcdf:3","unlcds:LT44","unlcdc:LT","55.65","23.666666","LTAGM"
"unlcd:LTAKM","Akmene",,"unlcdf:3","unlcds:LT01","unlcdc:LT","56.25","22.75","LTAKM"
"unlcd:LTAUK","Aukstkiemiai",,"unlcdf:3","unlcds:LT21","unlcdc:LT","55.766666","21.166666","LTAUK"
"unlcd:LTAYS","Alytus",,"unlcdf:3",,"unlcdc:LT","54.4","24.05","LTAYS"
"unlcd:LTAZI","Avizieniai",,"unlcdf:3","unlcds:LTVL","unlcdc:LT","54.766666","25.183332","LTAZI"
"unlcd:LTBET","Betygala",,"unlcdf:6",,"unlcdc:LT",,,"LTBET"
"unlcd:LTBIK","Biruliskiai",,"unlcdf:3","unlcds:LTKU","unlcdc:LT","54.933334","24.0","LTBIK"
"unlcd:LTBIR","Birstonas",,"unlcdf:6",,"unlcdc:LT",,,"LTBIR"
"unlcd:LTBLI","Bilioniai",,"unlcdf:3","unlcds:LT45","unlcdc:LT","55.6","22.3","LTBLI"
"unlcd:LTBOT","Botingé","Botinge","unlcdf:1",,"unlcdc:LT","56.066666","21.116667","LTBOT"
"unlcd:LTBRZ","Birzai",,"unlcdf:3",,"unlcdc:LT",,,"LTBRZ"
"unlcd:LTBUI","Buikiske",,"unlcdf:3","unlcds:LTKL","unlcdc:LT","55.316666","21.833334","LTBUI"
"unlcd:LTBUY","Buivydiskes",,"unlcdf:3","unlcds:LT58","unlcdc:LT","54.716667","25.2","LTBUY"
"unlcd:LTDEW","Darbenai",,"unlcdf:3","unlcds:LTKL","unlcdc:LT","56.016666","21.25","LTDEW"
"unlcd:LTDID","Didzioji Reise",,"unlcdf:3","unlcds:LTVL","unlcdc:LT","54.783333","25.25","LTDID"
"unlcd:LTDKI","Druskininkai",,"unlcdf:3, unlcdf:4","unlcds:LTAL","unlcdc:LT","54.016666","23.966667","LTDKI"
"unlcd:LTDYS","Dovainonys",,"unlcdf:3","unlcds:LT16","unlcdc:LT","54.816666","24.233334","LTDYS"
"unlcd:LTEMK","Eitminiskes",,"unlcdf:3",,"unlcdc:LT","54.916668","25.383333","LTEMK"
"unlcd:LTETI","Elektrenai",,"unlcdf:3",,"unlcdc:LT","54.783333","24.666666","LTETI"
"unlcd:LTEZS","Ezerelis",,"unlcdf:3","unlcds:LTKU","unlcdc:LT","54.883335","23.6","LTEZS"
"unlcd:LTGKS","Grinkiskis",,"unlcdf:3",,"unlcdc:LT","55.55","23.65","LTGKS"
"unlcd:LTGLI","Glitiskes",,"unlcdf:0","unlcds:LTVL","unlcdc:LT","54.983334","25.216667","LTGLI"
"unlcd:LTGLV","Garliava",,"unlcdf:3","unlcds:LTKU","unlcdc:LT","54.816666","23.866667","LTGLV"
"unlcd:LTGTY","Gustonys",,"unlcdf:3","unlcds:LTPN","unlcdc:LT","55.733334","24.133333","LTGTY"
"unlcd:LTGZD","Gargzdai",,"unlcdf:3, unlcdf:6","unlcds:LTKL","unlcdc:LT","55.7","21.4","LTGZD"
"unlcd:LTIGA","Ilgakiemis (Ilgakiemio)",,"unlcdf:3","unlcds:LT16","unlcdc:LT","54.766666","23.866667","LTIGA"
"unlcd:LTIGL","Ignalina",,"unlcdf:3","unlcds:LTUT","unlcdc:LT","55.35","26.166666","LTIGL"
"unlcd:LTJIE","Jieznas",,"unlcdf:3","unlcds:LTKU","unlcdc:LT","54.6","24.166666","LTJIE"
"unlcd:LTJNA","Jonava",,"unlcdf:2, unlcdf:3",,"unlcdc:LT","55.066666","24.266666","LTJNA"
"unlcd:LTJON","Joniskis",,"unlcdf:2, unlcdf:3",,"unlcdc:LT","56.233334","23.616667","LTJON"
"unlcd:LTJUR","Jurbarkas",,"unlcdf:3",,"unlcdc:LT","55.083332","22.766666","LTJUR"
"unlcd:LTKDN","Kedainiai",,"unlcdf:3",,"unlcdc:LT","55.3","23.983334","LTKDN"
"unlcd:LTKDO","Kaisiadorys",,"unlcdf:2, unlcdf:3, unlcdf:6","unlcds:LTKU","unlcdc:LT","54.866665","24.45","LTKDO"
"unlcd:LTKEL","Kelme",,"unlcdf:3","unlcds:LTSA","unlcdc:LT","55.616665","22.933332","LTKEL"
"unlcd:LTKEN","Kena",,"unlcdf:2, unlcdf:3, unlcdf:B","unlcds:LTVL","unlcdc:LT","54.65","25.7","LTKEN"
"unlcd:LTKET","Kretingsodis",,"unlcdf:3","unlcds:LTKL","unlcdc:LT","55.883335","21.216667","LTKET"
"unlcd:LTKLJ","Klaipeda",,"unlcdf:1, unlcdf:2, unlcdf:4",,"unlcdc:LT",,,"LTKLJ"
"unlcd:LTKLO","Klovainiai",,"unlcdf:3",,"unlcdc:LT","55.933334","23.95","LTKLO"
"unlcd:LTKLT","Kaltene",,"unlcdf:3",,"unlcdc:LT",,,"LTKLT"
"unlcd:LTKRA","Kazlu Ruda",,"unlcdf:2, unlcdf:3",,"unlcdc:LT","54.766666","23.5","LTKRA"
"unlcd:LTKRE","Kretinga",,"unlcdf:2, unlcdf:3",,"unlcdc:LT","55.883335","21.233334","LTKRE"
"unlcd:LTKRM","Karmelava",,"unlcdf:3","unlcds:LT16","unlcdc:LT","54.966667","24.066668","LTKRM"
"unlcd:LTKTE","Kalote",,"unlcdf:6",,"unlcdc:LT","55.783333","21.116667","LTKTE"
"unlcd:LTKUN","Kaunas",,"unlcdf:3, unlcdf:4",,"unlcdc:LT",,,"LTKUN"
"unlcd:LTKUP","Kupiskis",,"unlcdf:2, unlcdf:3",,"unlcdc:LT","55.833332","24.983334","LTKUP"
"unlcd:LTKUR","Kursénai","Kursenai","unlcdf:2, unlcdf:3","unlcds:LTSA","unlcdc:LT","55.983334","22.916666","LTKUR"
"unlcd:LTKYB","Kybartai",,"unlcdf:2, unlcdf:3, unlcdf:B","unlcds:LTMR","unlcdc:LT","54.633335","22.733334","LTKYB"
"unlcd:LTLAZ","Lazdijai",,"unlcdf:3",,"unlcdc:LT","54.233334","23.516666","LTLAZ"
"unlcd:LTLDY","Liudyne",,"unlcdf:6",,"unlcdc:LT",,,"LTLDY"
"unlcd:LTLEN","Lentvaris",,"unlcdf:3","unlcds:LTVL","unlcdc:LT","54.633335","25.05","LTLEN"
"unlcd:LTLEV","Levaniskiai",,"unlcdf:3","unlcds:LT54","unlcdc:LT","55.266666","25.433332","LTLEV"
"unlcd:LTLTK","Ramuciai",,"unlcdf:3","unlcds:LTKU","unlcdc:LT","54.95","24.033333","LTLTK"
"unlcd:LTLUA","Laukesa",,"unlcdf:3, unlcdf:B","unlcds:LTUT","unlcdc:LT","55.733334","26.3","LTLUA"
"unlcd:LTLVK","Lavoriskes",,"unlcdf:3, unlcdf:B","unlcds:LTVL","unlcdc:LT","54.716667","25.666666","LTLVK"
"unlcd:LTMAC","Maciuiciai",,"unlcdf:3","unlcds:LT21","unlcdc:LT","55.683334","21.416666","LTMAC"
"unlcd:LTMAI","Maisiagala",,"unlcdf:3",,"unlcdc:LT","54.866665","25.066668","LTMAI"
"unlcd:LTMBX","Drobuksciai",,"unlcdf:3","unlcds:LTTE","unlcdc:LT","55.7","22.283333","LTMBX"
"unlcd:LTMCI","Micaiciai",,"unlcdf:2, unlcdf:3","unlcds:LT44","unlcdc:LT","55.966667","22.916666","LTMCI"
"unlcd:LTMDK","Medininkai",,"unlcdf:3, unlcdf:B","unlcds:LTVL","unlcdc:LT","54.533333","25.666666","LTMDK"
"unlcd:LTMJP","Marijampole",,"unlcdf:3",,"unlcdc:LT",,,"LTMJP"
"unlcd:LTMLI","Moletai",,"unlcdf:3, unlcdf:6",,"unlcdc:LT","55.233334","25.416666","LTMLI"
"unlcd:LTMLM","Malku ilankos juru uosto PVP/Klaipeda",,"unlcdf:1, unlcdf:3, unlcdf:B","unlcds:LTKL","unlcdc:LT","55.716667","21.116667","LTMLM"
"unlcd:LTMNK","Musninkai",,"unlcdf:3",,"unlcdc:LT","54.95","24.85","LTMNK"
"unlcd:LTMOC","Mockava",,"unlcdf:2, unlcdf:3",,"unlcdc:LT","54.333332","23.3","LTMOC"
"unlcd:LTMOM","Molo juru uosto PVP/Klaipeda",,"unlcdf:1, unlcdf:3, unlcdf:B","unlcds:LTKL","unlcdc:LT","55.716667","21.1","LTMOM"
"unlcd:LTMOS","Mosedis",,"unlcdf:3","unlcds:LTKL","unlcdc:LT","56.166668","21.566668","LTMOS"
"unlcd:LTMZK","Mazeikiai",,"unlcdf:2, unlcdf:3",,"unlcdc:LT","56.316666","22.35","LTMZK"
"unlcd:LTNAK","Naujoji Akmene",,"unlcdf:2, unlcdf:3",,"unlcdc:LT","56.316666","22.883333","LTNAK"
"unlcd:LTNE2","Neveronys",,"unlcdf:3","unlcds:LTKU","unlcdc:LT","54.916668","24.1","LTNE2"
"unlcd:LTNER","Neringa",,"unlcdf:3","unlcds:LT21","unlcdc:LT","55.366665","21.05","LTNER"
"unlcd:LTNID","Nida",,"unlcdf:3","unlcds:LTAL","unlcdc:LT","56.1","21.066668","LTNID"
"unlcd:LTNJM","Naujamiestis",,"unlcdf:3",,"unlcdc:LT",,,"LTNJM"
"unlcd:LTNMS","Nemaksciai",,"unlcdf:2, unlcdf:3","unlcds:LTKU","unlcdc:LT","55.416668","22.766666","LTNMS"
"unlcd:LTOND","Jasiunai",,"unlcdf:3","unlcds:LTVL","unlcdc:LT","54.433334","25.333334","LTOND"
"unlcd:LTPAB","Pabrade",,"unlcdf:2, unlcdf:3",,"unlcdc:LT","54.983334","25.766666","LTPAB"
"unlcd:LTPAN","Panemune",,"unlcdf:3, unlcdf:B","unlcds:LTKL","unlcdc:LT","55.083332","21.883333","LTPAN"
"unlcd:LTPET","Petrasiunai",,"unlcdf:3","unlcds:LTKU","unlcdc:LT","54.866665","23.966667","LTPET"
"unlcd:LTPGI","Pagegiai",,"unlcdf:2, unlcdf:3, unlcdf:B","unlcds:LTKL","unlcdc:LT","55.133335","21.9","LTPGI"
"unlcd:LTPKJ","Pakruojis",,"unlcdf:2, unlcdf:3, unlcdf:6","unlcds:LTSA","unlcdc:LT","55.966667","23.866667","LTPKJ"
"unlcd:LTPLG","Plunge",,"unlcdf:3","unlcds:LT51","unlcdc:LT","55.9","21.85","LTPLG"
"unlcd:LTPLM","Pilies juru uosto PVP/Klaipeda",,"unlcdf:1, unlcdf:3, unlcdf:B","unlcds:LTKL","unlcdc:LT","55.716667","21.083334","LTPLM"
"unlcd:LTPLQ","Palanga",,"unlcdf:4",,"unlcdc:LT",,,"LTPLQ"
"unlcd:LTPLS","Pusalotas",,"unlcdf:2, unlcdf:3",,"unlcdc:LT","55.916668","24.25","LTPLS"
"unlcd:LTPNA","Pelednagiai",,"unlcdf:3",,"unlcdc:LT","55.233334","23.95","LTPNA"
"unlcd:LTPNV","Panevezys",,"unlcdf:3, unlcdf:4",,"unlcdc:LT","55.733334","24.35","LTPNV"
"unlcd:LTPRI","Prienai",,"unlcdf:3",,"unlcdc:LT","54.633335","23.933332","LTPRI"
"unlcd:LTPSS","Pasusvys",,"unlcdf:3","unlcds:LT44","unlcdc:LT","55.6","23.583334","LTPSS"
"unlcd:LTPVS","Pasvalys",,"unlcdf:3",,"unlcdc:LT","56.066666","24.383333","LTPVS"
"unlcd:LTPZI","Paezeriai",,"unlcdf:3","unlcds:LT56","unlcdc:LT","54.633335","22.966667","LTPZI"
"unlcd:LTRAS","Raseiniai",,"unlcdf:3, unlcdf:6",,"unlcdc:LT","55.383335","23.116667","LTRAS"
"unlcd:LTRAU","Raudondvaris",,"unlcdf:3","unlcds:LTVL","unlcdc:LT","54.833332","25.283333","LTRAU"
"unlcd:LTRKL","Rukla",,"unlcdf:3","unlcds:LT10","unlcdc:LT","55.05","24.366667","LTRKL"
"unlcd:LTRKS","Rokiskis",,"unlcdf:2, unlcdf:3","unlcds:LTPN","unlcdc:LT","55.95","25.583334","LTRKS"
"unlcd:LTRTS","Rietavas",,"unlcdf:3",,"unlcdc:LT","55.716667","21.916666","LTRTS"
"unlcd:LTRUM","Rumiskies",,"unlcdf:3",,"unlcdc:LT",,,"LTRUM"
"unlcd:LTRVS","Radviliskis",,"unlcdf:2, unlcdf:3, unlcdf:6","unlcds:LTSA","unlcdc:LT","55.816666","23.533333","LTRVS"
"unlcd:LTSIL","Silute",,"unlcdf:2, unlcdf:3","unlcds:LTKL","unlcdc:LT","55.333332","21.466667","LTSIL"
"unlcd:LTSKA","Sakiai",,"unlcdf:3","unlcds:LTMR","unlcdc:LT","54.95","23.05","LTSKA"
"unlcd:LTSKK","Stakliskes",,"unlcdf:6","unlcds:LT16","unlcdc:LT","54.6","24.316668","LTSKK"
"unlcd:LTSKU","Skuodas",,"unlcdf:3",,"unlcdc:LT","56.266666","21.516666","LTSKU"
"unlcd:LTSLA","Slikiai",,"unlcdf:3","unlcds:LT16","unlcdc:LT","55.216667","24.066668","LTSLA"
"unlcd:LTSLC","Strielciai",,"unlcdf:3","unlcds:LTPN","unlcdc:LT","54.666668","23.95","LTSLC"
"unlcd:LTSLE","Silale",,"unlcdf:3",,"unlcdc:LT","55.466667","22.2","LTSLE"
"unlcd:LTSLK","Salcininkai kelio PVP/Salcininkai",,"unlcdf:3, unlcdf:B","unlcds:LTVL","unlcdc:LT","54.3","25.383333","LTSLK"
"unlcd:LTSNI","Salcininkai",,"unlcdf:2, unlcdf:3",,"unlcdc:LT","54.3","25.366667","LTSNI"
"unlcd:LTSQQ","Siauliai",,"unlcdf:3, unlcdf:4",,"unlcdc:LT",,,"LTSQQ"
"unlcd:LTSRV","Sirvintos",,"unlcdf:2, unlcdf:3","unlcds:LTVL","unlcdc:LT","55.016666","24.966667","LTSRV"
"unlcd:LTSSK","Sestokai",,"unlcdf:2","unlcds:LTMR","unlcdc:LT","54.366665","23.433332","LTSSK"
"unlcd:LTSTR","Senieji Trakai",,"unlcdf:2, unlcdf:3","unlcds:LTVL","unlcdc:LT","54.616665","24.966667","LTSTR"
"unlcd:LTSVE","Svencoinys",,"unlcdf:6",,"unlcdc:LT",,,"LTSVE"
"unlcd:LTSVN","Svencioneliai",,"unlcdf:3",,"unlcdc:LT","55.166668","26.0","LTSVN"
"unlcd:LTTAU","Tauragé","Taurage","unlcdf:2, unlcdf:3","unlcds:LTTA","unlcdc:LT","55.25","22.283333","LTTAU"
"unlcd:LTTEL","Telsiai",,"unlcdf:2, unlcdf:3","unlcds:LTTE","unlcdc:LT","55.966667","22.233334","LTTEL"
"unlcd:LTTKI","Trakai",,"unlcdf:3","unlcds:LTVL","unlcdc:LT","54.633335","24.933332","LTTKI"
