"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:LU4ST","Stuppicht",,"unlcdf:3","unlcds:LUL","unlcdc:LU","49.716667","6.1833334","LU4ST"
"unlcd:LU7NL","Noertzange",,"unlcdf:3","unlcds:LUL","unlcdc:LU","49.5","6.05","LU7NL"
"unlcd:LU8LX","Linger",,"unlcdf:3","unlcds:LUL","unlcdc:LU","49.55","5.883333","LU8LX"
"unlcd:LUABW","Abweiler",,"unlcdf:6","unlcds:LUL","unlcdc:LU","49.533333","64.85","LUABW"
"unlcd:LUASP","Aspelt",,"unlcdf:3","unlcds:LUL","unlcdc:LU","49.516666","6.2166667","LUASP"
"unlcd:LUAZN","Alzingen",,"unlcdf:3",,"unlcdc:LU",,,"LUAZN"
"unlcd:LUBAU","Boulaide (Bauschelt)",,"unlcdf:3","unlcds:LUWI","unlcdc:LU","49.883335","5.8","LUBAU"
"unlcd:LUBCH","Bech",,"unlcdf:3","unlcds:LUEC","unlcdc:LU","49.733334","6.35","LUBCH"
"unlcd:LUBDB","Boudler",,"unlcdf:3",,"unlcdc:LU","49.716667","6.3333335","LUBDB"
"unlcd:LUBDF","Berdorf (Bäerdref)","Berdorf (Baerdref)","unlcdf:3","unlcds:LUGR","unlcdc:LU","49.8","6.35","LUBDF"
"unlcd:LUBDG","Béreldange","Bereldange","unlcdf:3","unlcds:LUL","unlcdc:LU","49.633335","6.116667","LUBDG"
"unlcd:LUBDL","Bridel",,"unlcdf:3","unlcds:LUL","unlcdc:LU","49.65","6.0666666","LUBDL"
"unlcd:LUBDW","Beidweiler",,"unlcdf:3","unlcds:LUG","unlcdc:LU","49.716667","6.3","LUBDW"
"unlcd:LUBEE","Beaufort (Beefort)",,"unlcdf:3","unlcds:LUEC","unlcdc:LU","49.833332","6.2833333","LUBEE"
"unlcd:LUBET","Bettembourg",,"unlcdf:3",,"unlcdc:LU",,,"LUBET"
"unlcd:LUBGL","Bigonville",,"unlcdf:3","unlcds:LUD","unlcdc:LU","49.85","5.7833333","LUBGL"
"unlcd:LUBIW","Biwer",,"unlcdf:3","unlcds:LUGR","unlcdc:LU","49.7","6.366667","LUBIW"
"unlcd:LUBKE","Beckerich",,"unlcdf:3, unlcdf:6","unlcds:LUD","unlcdc:LU","49.716667","5.883333","LUBKE"
"unlcd:LUBKM","Bech-Kleinmacher",,"unlcdf:1, unlcdf:3",,"unlcdc:LU","49.533333","6.35","LUBKM"
