"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:MA4DM","Dar Bou Azza",,"unlcdf:3","unlcds:MAMEK","unlcdc:MA","33.75","-5.4","MA4DM"
"unlcd:MA6KN","Souq Larb'A Al Gharb",,"unlcdf:1, unlcdf:6","unlcds:MAKEN","unlcdc:MA","34.666668","-5.9666667","MA6KN"
"unlcd:MA6KS","Sidi Slimane",,"unlcdf:3","unlcds:MAKEN","unlcdc:MA","34.25","-5.9166665","MA6KS"
"unlcd:MA8FT","Tit Mellil",,"unlcdf:3","unlcds:MAMED","unlcdc:MA","33.55","-7.4666667","MA8FT"
"unlcd:MAAAR","Al Aaroui",,"unlcdf:3","unlcds:MANAD","unlcdc:MA","35.0","-3.0166667","MAAAR"
"unlcd:MAAGA","Agadir",,"unlcdf:1, unlcdf:4",,"unlcdc:MA",,,"MAAGA"
"unlcd:MAAHU","Al Hoceïma","Al Hoceima","unlcdf:1, unlcdf:4",,"unlcdc:MA","35.25","-3.9333334","MAAHU"
"unlcd:MAAKH","Akhfennir",,"unlcdf:3","unlcds:MATAF","unlcdc:MA","28.083334","-12.05","MAAKH"
"unlcd:MAAMZ","Amizmiz",,"unlcdf:3","unlcds:MAHAO","unlcdc:MA","31.216667","-8.25","MAAMZ"
"unlcd:MAANZ","Anza",,"unlcdf:1, unlcdf:3","unlcds:MAAGD","unlcdc:MA","30.45","-9.65","MAANZ"
"unlcd:MAASE","Aïn Sebaa","Ain Sebaa","unlcdf:2, unlcdf:3","unlcds:MACAS","unlcdc:MA","33.6","-7.5333333","MAASE"
"unlcd:MAASI","Asilah",,"unlcdf:1",,"unlcdc:MA",,,"MAASI"
"unlcd:MAAZE","Azemmour",,"unlcdf:1",,"unlcdc:MA",,,"MAAZE"
"unlcd:MAAZR","Azrou",,"unlcdf:3",,"unlcdc:MA",,,"MAAZR"
"unlcd:MABAH","Ait Baha",,"unlcdf:3","unlcds:MATIZ","unlcdc:MA","29.55","-8.966666","MABAH"
"unlcd:MABED","Berrechid",,"unlcdf:3",,"unlcdc:MA",,,"MABED"
"unlcd:MABEM","Beni Mellal",,"unlcdf:3",,"unlcdc:MA",,,"MABEM"
"unlcd:MABEN","Benguerir",,"unlcdf:3","unlcds:MAKES","unlcdc:MA","32.233334","-7.95","MABEN"
"unlcd:MABER","Berkane",,"unlcdf:3",,"unlcdc:MA",,,"MABER"
"unlcd:MABES","Ben Slimane",,"unlcdf:3","unlcds:MABES","unlcdc:MA","33.6","-71.183334","MABES"
"unlcd:MABFK","Boufakrane",,"unlcdf:3","unlcds:MAMEK","unlcdc:MA","33.75","-5.483333","MABFK"
"unlcd:MABJD","Bir-Jdid",,"unlcdf:1, unlcdf:3","unlcds:MAJDI","unlcdc:MA","33.366665","-7.9833336","MABJD"
"unlcd:MABJJ","Bir Jdid",,"unlcdf:3","unlcds:MAJDI","unlcdc:MA","33.366665","-7.9833336","MABJJ"
"unlcd:MABOS","Bouskoura",,"unlcdf:2, unlcdf:3","unlcds:MAAGD","unlcdc:MA","33.433334","-7.633333","MABOS"
"unlcd:MABOU","Bouznika",,"unlcdf:3",,"unlcdc:MA",,,"MABOU"
"unlcd:MABRE","Breich",,"unlcdf:0",,"unlcdc:MA",,,"MABRE"
"unlcd:MABUJ","Boujdour",,"unlcdf:1, unlcdf:3","unlcds:MABOD","unlcdc:MA","26.133333","-14.483334","MABUJ"
"unlcd:MABUL","Boulaouane",,"unlcdf:3","unlcds:MAJDI","unlcdc:MA","32.866665","-8.05","MABUL"
"unlcd:MACAS","Casablanca",,"unlcdf:1, unlcdf:4, unlcdf:5","unlcds:MACAS","unlcdc:MA","33.583332","-7.6","MACAS"
"unlcd:MACMN","Mohammed V International Airport",,"unlcdf:4","unlcds:MA08","unlcdc:MA","33.366665","-7.5833335","MACMN"
"unlcd:MAD2V","Ar Rommani",,"unlcdf:1, unlcdf:6","unlcds:MAKHE","unlcdc:MA","33.516666","-6.6","MAD2V"
"unlcd:MAELG","El Gara",,"unlcdf:3","unlcds:MASET","unlcdc:MA","33.266666","-7.233333","MAELG"
"unlcd:MAELH","El Hajeb",,"unlcdf:3","unlcds:MAMEK","unlcdc:MA","33.7","-5.366667","MAELH"
"unlcd:MAELJ","El Jadida",,"unlcdf:1, unlcdf:3","unlcds:MAJDI","unlcdc:MA","33.25","-8.5","MAELJ"
"unlcd:MAELL","El Jouam'a",,"unlcdf:3","unlcds:MATET","unlcdc:MA","35.65","-5.6666665","MAELL"
"unlcd:MAERH","Errachidia",,"unlcdf:4",,"unlcdc:MA",,,"MAERH"
"unlcd:MAESS","Essaouira",,"unlcdf:1, unlcdf:3","unlcds:MAESI","unlcdc:MA","31.416666","-9.5","MAESS"
"unlcd:MAEUN","Laayoune (El Aaiun)",,"unlcdf:1, unlcdf:4",,"unlcdc:MA",,,"MAEUN"
"unlcd:MAFEZ","Fez",,"unlcdf:4",,"unlcdc:MA",,,"MAFEZ"
"unlcd:MAG2K","Biougra",,"unlcdf:3","unlcds:MAAGD","unlcdc:MA","30.016666","-9.05","MAG2K"
"unlcd:MAGLN","Goulimime",,"unlcdf:4",,"unlcdc:MA",,,"MAGLN"
