"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:MDAIN","Anenii Noi",,"unlcdf:3","unlcds:MDCU","unlcdc:MD","46.866665","29.216667","MDAIN"
"unlcd:MDBAS","Basarabeasca",,"unlcdf:6","unlcds:MDBS","unlcdc:MD","46.316666","28.966667","MDBAS"
"unlcd:MDBEL","Balti (Bel'cy)",,"unlcdf:2, unlcdf:3","unlcds:MDBA","unlcdc:MD","47.75","27.916666","MDBEL"
"unlcd:MDBLU","Burlacu",,"unlcdf:6","unlcds:MDCA","unlcdc:MD","46.033333","28.4","MDBLU"
"unlcd:MDBOA","Bulboaca",,"unlcdf:3","unlcds:MDCU","unlcdc:MD","46.866665","29.3","MDBOA"
"unlcd:MDBOL","Bolotino",,"unlcdf:6",,"unlcdc:MD","47.683334","27.333334","MDBOL"
"unlcd:MDBRS","Berestovitsa",,"unlcdf:2",,"unlcdc:MD",,,"MDBRS"
"unlcd:MDBRZ","Brînzeni","Brinzeni","unlcdf:3","unlcds:MDED","unlcdc:MD","48.083332","27.166666","MDBRZ"
"unlcd:MDBUL","Bulboaca",,"unlcdf:6","unlcds:MDED","unlcdc:MD","48.366665","27.183332","MDBUL"
"unlcd:MDCAH","Cahul",,"unlcdf:3","unlcds:MDCA","unlcdc:MD","45.916668","28.183332","MDCAH"
"unlcd:MDCAL","Calarasi",,"unlcdf:3","unlcds:MDCL","unlcdc:MD","44.2","27.333334","MDCAL"
"unlcd:MDCAN","Cantemir",,"unlcdf:3",,"unlcdc:MD","46.266666","28.2","MDCAN"
"unlcd:MDCAZ","Cazaclia",,"unlcdf:3","unlcds:MDGA","unlcdc:MD","46.0","28.65","MDCAZ"
"unlcd:MDCLA","Ceadir-Lunga",,"unlcdf:3","unlcds:MDGA","unlcdc:MD","46.05","28.833334","MDCLA"
"unlcd:MDCML","Cimislia",,"unlcdf:3",,"unlcdc:MD","46.516666","28.783333","MDCML"
"unlcd:MDCNI","Causeni",,"unlcdf:3",,"unlcdc:MD","46.633335","29.4","MDCNI"
"unlcd:MDCOM","Comrat",,"unlcdf:3","unlcds:MDGA","unlcdc:MD","46.3","28.65","MDCOM"
"unlcd:MDCRE","Criuleni",,"unlcdf:3","unlcds:MDCR","unlcdc:MD","47.2","29.15","MDCRE"
"unlcd:MDCRI","Cricova",,"unlcdf:3","unlcds:MDCU","unlcdc:MD","47.133335","28.85","MDCRI"
"unlcd:MDCST","Costesti",,"unlcdf:3","unlcds:MDCU","unlcdc:MD","46.9","28.766666","MDCST"
"unlcd:MDDUB","Dubasari",,"unlcdf:3","unlcds:MDSN","unlcdc:MD","47.25","29.15","MDDUB"
"unlcd:MDED2","Edinet",,"unlcdf:3","unlcds:MDED","unlcdc:MD","48.166668","27.3","MDED2"
"unlcd:MDETL","Etulia",,"unlcdf:3","unlcds:MDGA","unlcdc:MD","45.533333","28.433332","MDETL"
"unlcd:MDFLO","Floresti",,"unlcdf:2, unlcdf:3","unlcds:MDCU","unlcdc:MD","46.983334","29.166666","MDFLO"
"unlcd:MDFLT","Falesti",,"unlcdf:6","unlcds:MDBA","unlcdc:MD","47.566666","27.7","MDFLT"
"unlcd:MDGIU","Giurgiulesti",,"unlcdf:1, unlcdf:3","unlcds:MDCA","unlcdc:MD","45.466667","28.183332","MDGIU"
"unlcd:MDHIM","Hincesti",,"unlcdf:6","unlcds:MDHI","unlcdc:MD","46.816666","28.583334","MDHIM"
"unlcd:MDKIV","Chisinãu (ex Kishinev)","Chisinau (ex Kishinev)","unlcdf:4, unlcdf:5",,"unlcdc:MD","47.016666","28.833334","MDKIV"
"unlcd:MDLEO","Leova",,"unlcdf:3","unlcds:MDLE","unlcdc:MD","46.466667","28.25","MDLEO"
"unlcd:MDLEU","Leusheny",,"unlcdf:3",,"unlcdc:MD","46.816666","28.2","MDLEU"
