"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:MEBAR","Bar",,"unlcdf:1, unlcdf:2, unlcdf:3",,"unlcdc:ME","42.083332","19.083334","MEBAR"
"unlcd:MEBIJ","Bijela",,"unlcdf:1, unlcdf:3",,"unlcdc:ME","42.45","18.666666","MEBIJ"
"unlcd:MEBOP","Bijelo Polje",,"unlcdf:3",,"unlcdc:ME","43.033333","19.733334","MEBOP"
"unlcd:MEBUD","Budva",,"unlcdf:1, unlcdf:3","unlcds:ME05","unlcdc:ME","42.283333","18.833334","MEBUD"
"unlcd:MECET","Cetinje",,"unlcdf:3","unlcds:ME06","unlcdc:ME","42.366665","18.916666","MECET"
"unlcd:MEDNL","Danilovgrad",,"unlcdf:3","unlcds:ME07","unlcdc:ME","42.55","19.1","MEDNL"
"unlcd:MEHNO","Hercegnovi",,"unlcdf:1, unlcdf:2, unlcdf:3, unlcdf:4",,"unlcdc:ME","42.45","18.533333","MEHNO"
"unlcd:MEIGL","Igalo",,"unlcdf:1, unlcdf:3",,"unlcdc:ME","42.466667","18.516666","MEIGL"
"unlcd:MEIVG","Berane (Yvangrad)",,"unlcdf:2, unlcdf:3, unlcdf:4",,"unlcdc:ME","42.85","19.866667","MEIVG"
"unlcd:MEKOT","Kotor",,"unlcdf:1, unlcdf:3, unlcdf:4","unlcds:ME10","unlcdc:ME","42.416668","18.766666","MEKOT"
"unlcd:MELJA","Ljajkovici",,"unlcdf:3","unlcds:ME16","unlcdc:ME","42.366665","19.2","MELJA"
"unlcd:MEMKV","Mojkovac",,"unlcdf:3","unlcds:ME11","unlcdc:ME","42.95","19.566668","MEMKV"
"unlcd:MENIK","Niksic",,"unlcdf:2, unlcdf:3","unlcds:ME12","unlcdc:ME","42.766666","18.933332","MENIK"
"unlcd:MEPLJ","Pljevlja",,"unlcdf:3","unlcds:ME14","unlcdc:ME","43.35","19.35","MEPLJ"
"unlcd:MEPVC","Petrovac",,"unlcdf:1, unlcdf:3",,"unlcdc:ME","42.2","18.933332","MEPVC"
"unlcd:MERIJ","Rijeka Crnojevica",,"unlcdf:3","unlcds:ME16","unlcdc:ME","42.35","19.033333","MERIJ"
"unlcd:MERSN","Risan (Risano)",,"unlcdf:1, unlcdf:3",,"unlcdc:ME","42.516666","18.7","MERSN"
"unlcd:METGD","Podgorica",,"unlcdf:2, unlcdf:3, unlcdf:4",,"unlcdc:ME","42.433334","19.25","METGD"
"unlcd:METIV","Tivat",,"unlcdf:1, unlcdf:3, unlcdf:4","unlcds:ME19","unlcdc:ME","42.433334","18.7","METIV"
"unlcd:MEULC","Ulcinj",,"unlcdf:1, unlcdf:3","unlcds:ME20","unlcdc:ME","41.916668","19.2","MEULC"
"unlcd:MEZBK","Zabljak",,"unlcdf:3, unlcdf:4","unlcds:ME21","unlcdc:ME","43.15","19.116667","MEZBK"
"unlcd:MEZEL","Zelenika",,"unlcdf:1, unlcdf:2, unlcdf:3",,"unlcdc:ME","42.45","18.583334","MEZEL"
