"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:MGADK","Androka",,"unlcdf:1",,"unlcdc:MG",,,"MGADK"
"unlcd:MGAHY","Ambatolahy",,"unlcdf:4",,"unlcdc:MG",,,"MGAHY"
"unlcd:MGAMB","Ambilobe",,"unlcdf:4",,"unlcdc:MG",,,"MGAMB"
"unlcd:MGAMP","Ampanihy",,"unlcdf:4",,"unlcdc:MG",,,"MGAMP"
"unlcd:MGAMS","Amboasary Sud",,"unlcdf:2, unlcdf:3","unlcds:MGU","unlcdc:MG","-25.033333","46.383335","MGAMS"
"unlcd:MGAMV","Ambovombe",,"unlcdf:3","unlcds:MGU","unlcdc:MG","-25.166666","46.083332","MGAMV"
"unlcd:MGAMY","Ambatomainty",,"unlcdf:4",,"unlcdc:MG",,,"MGAMY"
"unlcd:MGANM","Antalaha",,"unlcdf:1, unlcdf:4",,"unlcdc:MG",,,"MGANM"
"unlcd:MGATJ","Antsirabe",,"unlcdf:4",,"unlcdc:MG",,,"MGATJ"
"unlcd:MGBIK","Brickaville",,"unlcdf:1",,"unlcdc:MG",,,"MGBIK"
"unlcd:MGBKU","Betioky",,"unlcdf:4",,"unlcdc:MG",,,"MGBKU"
"unlcd:MGBMD","Belo",,"unlcdf:1, unlcdf:4",,"unlcdc:MG",,,"MGBMD"
"unlcd:MGBPY","Besalampy",,"unlcdf:1, unlcdf:4",,"unlcdc:MG",,,"MGBPY"
"unlcd:MGBRR","Barren Islands",,"unlcdf:1",,"unlcdc:MG",,,"MGBRR"
"unlcd:MGBSV","Besakoa",,"unlcdf:4",,"unlcdc:MG",,,"MGBSV"
"unlcd:MGDIE","Antsiranana",,"unlcdf:1, unlcdf:4",,"unlcdc:MG",,,"MGDIE"
"unlcd:MGDOA","Doany",,"unlcdf:4",,"unlcdc:MG",,,"MGDOA"
"unlcd:MGDWB","Soalala",,"unlcdf:1, unlcdf:4",,"unlcdc:MG",,,"MGDWB"
"unlcd:MGEHL","Ehoala",,"unlcdf:1","unlcds:MGU","unlcdc:MG","-25.066668","46.95","MGEHL"
"unlcd:MGFTU","Fort Dauphin (Toalagnaro)",,"unlcdf:1, unlcdf:4",,"unlcdc:MG",,,"MGFTU"
"unlcd:MGHLV","Hell-Ville",,"unlcdf:1",,"unlcdc:MG",,,"MGHLV"
"unlcd:MGHVA","Analalava",,"unlcdf:4",,"unlcdc:MG",,,"MGHVA"
"unlcd:MGIHO","Ihosy",,"unlcdf:4",,"unlcdc:MG",,,"MGIHO"
"unlcd:MGILK","Ilaka",,"unlcdf:4",,"unlcdc:MG",,,"MGILK"
"unlcd:MGIVA","Ivato",,"unlcdf:5",,"unlcdc:MG",,,"MGIVA"
"unlcd:MGJVA","Ankavandra",,"unlcdf:4",,"unlcdc:MG",,,"MGJVA"
"unlcd:MGMJA","Manja",,"unlcdf:4",,"unlcdc:MG",,,"MGMJA"
"unlcd:MGMJN","Majunga (Mahajanga)",,"unlcdf:1, unlcdf:4",,"unlcdc:MG",,,"MGMJN"
"unlcd:MGMNJ","Mananjary",,"unlcdf:1, unlcdf:4",,"unlcdc:MG",,,"MGMNJ"
"unlcd:MGMOB","Manombo",,"unlcdf:1",,"unlcdc:MG",,,"MGMOB"
