"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:MHAIC","Airok",,"unlcdf:4",,"unlcdc:MH","7.1","171.23334","MHAIC"
"unlcd:MHAIM","Ailuk Island",,"unlcdf:4",,"unlcdc:MH","10.183333","169.98334","MHAIM"
"unlcd:MHAIP","Ailinglapalap Island",,"unlcdf:4","unlcds:MHALL","unlcdc:MH","7.266667","168.81667","MHAIP"
"unlcd:MHAMR","Arno",,"unlcdf:4","unlcds:MHARN","unlcdc:MH","7.0833335","171.7","MHAMR"
"unlcd:MHAUL","Aur Island",,"unlcdf:4","unlcds:MHAUR","unlcdc:MH","8.133333","171.16667","MHAUL"
"unlcd:MHBII","Enyu Airfield, Bikini",,"unlcdf:4",,"unlcdc:MH","11.5","165.55","MHBII"
"unlcd:MHEBN","Ebadon",,"unlcdf:4","unlcds:MHKWA","unlcdc:MH","9.333333","166.8","MHEBN"
"unlcd:MHEBO","Ebon",,"unlcdf:4","unlcds:MHEBO","unlcdc:MH","4.633333","163.71666","MHEBO"
"unlcd:MHENT","Enewetak Island",,"unlcdf:4","unlcds:MHENI","unlcdc:MH","11.35","162.33333","MHENT"
"unlcd:MHIMI","Ine Island",,"unlcdf:4",,"unlcdc:MH","6.9833336","171.61667","MHIMI"
"unlcd:MHJAT","Jabot",,"unlcdf:4",,"unlcdc:MH","7.0","168.98334","MHJAT"
"unlcd:MHJEJ","Jeh",,"unlcdf:4",,"unlcdc:MH","7.5833335","168.91667","MHJEJ"
"unlcd:MHKBT","Kaben",,"unlcdf:4","unlcds:MHMAL","unlcdc:MH","8.75","170.83333","MHKBT"
"unlcd:MHKIO","Kili Island",,"unlcdf:4","unlcds:MHKIL","unlcdc:MH","5.616667","169.11667","MHKIO"
"unlcd:MHKWA","Kwajalein",,"unlcdf:4",,"unlcdc:MH",,,"MHKWA"
"unlcd:MHLIK","Likiep Island",,"unlcdf:4",,"unlcdc:MH",,,"MHLIK"
"unlcd:MHLML","Lae Island",,"unlcdf:4",,"unlcdc:MH",,,"MHLML"
"unlcd:MHLOF","Loen",,"unlcdf:4",,"unlcdc:MH",,,"MHLOF"
"unlcd:MHMAJ","Majuro",,"unlcdf:1, unlcdf:4","unlcds:MHMAJ","unlcdc:MH","7.1","171.38333","MHMAJ"
"unlcd:MHMAV","Maloelap Island",,"unlcdf:4",,"unlcdc:MH",,,"MHMAV"
"unlcd:MHMIJ","Mili Island",,"unlcdf:4",,"unlcdc:MH",,,"MHMIJ"
"unlcd:MHMJB","Mejit Island",,"unlcdf:4",,"unlcdc:MH",,,"MHMJB"
"unlcd:MHMJE","Majkin",,"unlcdf:4",,"unlcdc:MH",,,"MHMJE"
"unlcd:MHNDK","Namdrik Island",,"unlcdf:4",,"unlcdc:MH",,,"MHNDK"
"unlcd:MHNMU","Namu",,"unlcdf:4",,"unlcdc:MH",,,"MHNMU"
"unlcd:MHQEE","Ebeye",,"unlcdf:3","unlcds:MHKWA","unlcdc:MH","8.783334","167.73334","MHQEE"
"unlcd:MHRNP","Rongelap Island",,"unlcdf:4",,"unlcdc:MH",,,"MHRNP"
"unlcd:MHTAR","Taroa",,"unlcdf:1",,"unlcdc:MH",,,"MHTAR"
"unlcd:MHTBV","Tabal",,"unlcdf:4",,"unlcdc:MH",,,"MHTBV"
"unlcd:MHTIC","Tinak Island",,"unlcdf:4",,"unlcdc:MH",,,"MHTIC"
"unlcd:MHUIT","Jaluit Island",,"unlcdf:4","unlcds:MHJAL","unlcdc:MH","5.9333334","169.63333","MHUIT"
"unlcd:MHUJE","Ujae Island",,"unlcdf:4",,"unlcdc:MH",,,"MHUJE"
"unlcd:MHUTK","Utirik Island",,"unlcdf:4",,"unlcdc:MH",,,"MHUTK"
"unlcd:MHWJA","Woja",,"unlcdf:4",,"unlcdc:MH",,,"MHWJA"
"unlcd:MHWTE","Wotje Island",,"unlcdf:4",,"unlcdc:MH",,,"MHWTE"
"unlcd:MHWTO","Wotho Island",,"unlcdf:4",,"unlcdc:MH",,,"MHWTO"
