"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:MKBDA","Bogdanci",,"unlcdf:3","unlcds:MK401","unlcdc:MK","41.2","22.566668","MKBDA"
"unlcd:MKBLC","Blace",,"unlcdf:3, unlcdf:B",,"unlcdc:MK",,,"MKBLC"
"unlcd:MKBLT","Blato",,"unlcdf:3, unlcdf:B",,"unlcdc:MK",,,"MKBLT"
"unlcd:MKBRD","Bogorodica",,"unlcdf:3, unlcdf:B",,"unlcdc:MK",,,"MKBRD"
"unlcd:MKBRV","Berovo",,"unlcdf:3, unlcdf:B","unlcds:MK201","unlcdc:MK","41.7","22.85","MKBRV"
"unlcd:MKBT5","Bogovinje",,"unlcdf:3","unlcds:MK609","unlcdc:MK","41.916668","20.9","MKBT5"
"unlcd:MKBTL","Bitola",,"unlcdf:2, unlcdf:3, unlcdf:4","unlcds:MK501","unlcdc:MK","41.016666","21.316668","MKBTL"
"unlcd:MKDEB","Debar",,"unlcdf:3","unlcds:MK303","unlcdc:MK","41.533333","20.516666","MKDEB"
"unlcd:MKDEH","Demir Hisar",,"unlcdf:3","unlcds:MK502","unlcdc:MK","41.216667","21.2","MKDEH"
"unlcd:MKDKJ","Demir Kapija",,"unlcdf:1, unlcdf:3","unlcds:MK103","unlcdc:MK","41.4","22.233334","MKDKJ"
"unlcd:MKDLV","Delcevo",,"unlcdf:3, unlcdf:B",,"unlcdc:MK",,,"MKDLV"
"unlcd:MKDRA","Dracevo",,"unlcdf:3","unlcds:MK85","unlcdc:MK","41.933334","21.516666","MKDRA"
"unlcd:MKDVB","Deve Bair",,"unlcdf:3, unlcdf:B",,"unlcdc:MK",,,"MKDVB"
"unlcd:MKGDK","Gradsko",,"unlcdf:3","unlcds:MK102","unlcdc:MK","41.566666","21.933332","MKGDK"
"unlcd:MKGST","Gostivar",,"unlcdf:3","unlcds:MK604","unlcdc:MK",,,"MKGST"
"unlcd:MKGVL","Gevgelija",,"unlcdf:2, unlcdf:3","unlcds:MK405","unlcdc:MK","41.133335","22.5","MKGVL"
"unlcd:MKILI","Ilinden",,"unlcdf:3","unlcds:MK85","unlcdc:MK","41.983334","21.566668","MKILI"
"unlcd:MKJNC","Jacince",,"unlcdf:3, unlcdf:B",,"unlcdc:MK",,,"MKJNC"
"unlcd:MKKBI","Karbinci",,"unlcdf:3","unlcds:MK205","unlcdc:MK","41.8","22.283333","MKKBI"
"unlcd:MKKCI","Kocani",,"unlcdf:3",,"unlcdc:MK","41.916668","22.4","MKKCI"
"unlcd:MKKCV","Kicevo",,"unlcdf:3",,"unlcdc:MK",,,"MKKCV"
"unlcd:MKKFN","Kafasan",,"unlcdf:3, unlcdf:B",,"unlcdc:MK",,,"MKKFN"
"unlcd:MKKI8","Konopiste",,"unlcdf:3","unlcds:MK104","unlcdc:MK","41.233334","22.066668","MKKI8"
"unlcd:MKKKP","Kriva Palanka",,"unlcdf:3","unlcds:MK702","unlcdc:MK","42.2","22.316668","MKKKP"
"unlcd:MKKOS","Kosovo",,"unlcdf:3",,"unlcdc:MK","41.816666","21.116667","MKKOS"
"unlcd:MKKUM","Kumanovo",,"unlcdf:3","unlcds:MK703","unlcdc:MK","42.116665","21.7","MKKUM"
"unlcd:MKKVD","Kavadarci",,"unlcdf:3, unlcdf:B","unlcds:MK104","unlcdc:MK","41.433334","22.0","MKKVD"
"unlcd:MKLOZ","Lozovo",,"unlcdf:2, unlcdf:3","unlcds:MK105","unlcdc:MK","41.75","21.933332","MKLOZ"
"unlcd:MKMB7","Makedonski Brod",,"unlcdf:3","unlcds:MK308","unlcdc:MK","41.5","21.2","MKMB7"
"unlcd:MKMIR","Miravci",,"unlcdf:3","unlcds:MK405","unlcdc:MK","41.3","22.433332","MKMIR"
"unlcd:MKMTL","Medzitlija",,"unlcdf:3, unlcdf:B",,"unlcdc:MK","40.933334","21.433332","MKMTL"
"unlcd:MKMTS","Titov Veles",,"unlcdf:6","unlcds:MK101","unlcdc:MK","41.7","21.766666","MKMTS"
"unlcd:MKNGT","Negotino",,"unlcdf:3","unlcds:MK106","unlcdc:MK","41.483334","22.083334","MKNGT"
"unlcd:MKNOD","Novi Dojran",,"unlcdf:1","unlcds:MK406","unlcdc:MK","41.216667","22.7","MKNOD"
"unlcd:MKNSL","Novo Selo",,"unlcdf:3, unlcdf:B","unlcds:MK408","unlcdc:MK","41.416668","22.9","MKNSL"
"unlcd:MKOBL","Oblesevo",,"unlcdf:3","unlcds:MK206","unlcdc:MK","41.883335","22.333334","MKOBL"
"unlcd:MKOHD","Ohrid",,"unlcdf:3, unlcdf:4, unlcdf:B","unlcds:MK310","unlcdc:MK","41.116665","20.8","MKOHD"
"unlcd:MKPLN","Pelince",,"unlcdf:3, unlcdf:B",,"unlcdc:MK",,,"MKPLN"
"unlcd:MKPLP","Prilep",,"unlcdf:2, unlcdf:3","unlcds:MK508","unlcdc:MK","41.333332","21.55","MKPLP"
"unlcd:MKPRO","Probistip",,"unlcdf:3","unlcds:MK209","unlcdc:MK","42.0","22.183332","MKPRO"
"unlcd:MKPTR","Petrovec",,"unlcdf:4, unlcdf:B","unlcds:MK810","unlcdc:MK","41.933334","21.6","MKPTR"
"unlcd:MKRAD","Radovis",,"unlcdf:1, unlcdf:6","unlcds:MK409","unlcdc:MK","41.65","22.5","MKRAD"
"unlcd:MKRSN","Resen",,"unlcdf:3",,"unlcdc:MK",,,"MKRSN"
"unlcd:MKSDR","Star Dojran",,"unlcdf:3, unlcdf:B","unlcds:MK406","unlcdc:MK","41.183334","22.716667","MKSDR"
"unlcd:MKSKP","Skopje",,"unlcdf:3, unlcdf:4, unlcdf:B",,"unlcdc:MK",,,"MKSKP"
"unlcd:MKSNI","Sveti Nikole",,"unlcdf:1","unlcds:MK108","unlcdc:MK","41.85","21.933332","MKSNI"
"unlcd:MKSPT","Sopot",,"unlcdf:3, unlcdf:B","unlcds:MK101","unlcdc:MK","41.783333","21.716667","MKSPT"
"unlcd:MKSTE","Stenje",,"unlcdf:3, unlcdf:B","unlcds:MK509","unlcdc:MK","40.933334","20.9","MKSTE"
"unlcd:MKSTG","Struga",,"unlcdf:3","unlcds:MK108","unlcdc:MK",,,"MKSTG"
"unlcd:MKSTM","Strumica",,"unlcdf:3","unlcds:MK410","unlcdc:MK","41.433334","22.633333","MKSTM"
"unlcd:MKSTN","Sveti Naum",,"unlcdf:3, unlcdf:B","unlcds:MK310","unlcdc:MK","40.9","20.8","MKSTN"
"unlcd:MKSTO","Stojakovo",,"unlcdf:3","unlcds:MK401","unlcdc:MK","41.15","22.566668","MKSTO"
"unlcd:MKSTP","Stip",,"unlcdf:3",,"unlcdc:MK",,,"MKSTP"
"unlcd:MKTBN","Tabanovce",,"unlcdf:3, unlcdf:B",,"unlcdc:MK",,,"MKTBN"
"unlcd:MKTBR","Trubarevo",,"unlcdf:3","unlcds:MK17","unlcdc:MK","41.966667","21.516666","MKTBR"
"unlcd:MKTEV","Tetovo",,"unlcdf:3","unlcds:MK609","unlcdc:MK","42.0","20.966667","MKTEV"
"unlcd:MKTTV","Veles",,"unlcdf:2, unlcdf:3","unlcds:MK101","unlcdc:MK","41.7","21.766666","MKTTV"
"unlcd:MKVAL","Valandovo",,"unlcdf:3","unlcds:MK403","unlcdc:MK","41.316666","22.55","MKVAL"
"unlcd:MKVIN","Vinica",,"unlcdf:3","unlcds:MK202","unlcdc:MK","41.866665","22.483334","MKVIN"
"unlcd:MKVLK","Volkovo",,"unlcdf:3",,"unlcdc:MK",,,"MKVLK"
