"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:MLAAO","Ansongo",,"unlcdf:4","unlcds:ML7","unlcdc:ML","15.1","0.083333336","MLAAO"
"unlcd:MLAMB","Ambidédi","Ambidedi","unlcdf:3",,"unlcdc:ML","14.583333","-11.783334","MLAMB"
"unlcd:MLBAI","Banangoroni",,"unlcdf:3","unlcds:ML4","unlcdc:ML","13.683333","-6.383333","MLBAI"
"unlcd:MLBGD","Baguinéda","Baguineda","unlcdf:3","unlcds:ML2","unlcdc:ML","12.6","-7.7666664","MLBGD"
"unlcd:MLBGI","Bougouni",,"unlcdf:3",,"unlcdc:ML","11.4","-7.483333","MLBGI"
"unlcd:MLBKO","Bamako",,"unlcdf:4, unlcdf:5",,"unlcdc:ML",,,"MLBKO"
"unlcd:MLBLA","Bla",,"unlcdf:3",,"unlcdc:ML",,,"MLBLA"
"unlcd:MLDIO","Dioila",,"unlcdf:3",,"unlcdc:ML","12.483334","-6.8","MLDIO"
"unlcd:MLDKB","Dialakorobougou",,"unlcdf:2, unlcdf:3","unlcds:ML2","unlcdc:ML","12.8","-7.4166665","MLDKB"
"unlcd:MLEYL","Yelimane",,"unlcdf:4",,"unlcdc:ML","15.133333","-10.566667","MLEYL"
"unlcd:MLFAN","Fana",,"unlcdf:3",,"unlcdc:ML",,,"MLFAN"
"unlcd:MLGAQ","Gao",,"unlcdf:4",,"unlcdc:ML",,,"MLGAQ"
"unlcd:MLGUD","Goundam",,"unlcdf:4",,"unlcdc:ML",,,"MLGUD"
"unlcd:MLIKO","Koulikoro",,"unlcdf:3",,"unlcdc:ML",,,"MLIKO"
"unlcd:MLKAM","Kamalé","Kamale","unlcdf:3","unlcds:ML2","unlcdc:ML","12.383333","-8.266666","MLKAM"
"unlcd:MLKAT","Kati",,"unlcdf:3","unlcds:ML2","unlcdc:ML","12.733334","-8.066667","MLKAT"
"unlcd:MLKBG","Katibougou",,"unlcdf:3","unlcds:ML2","unlcdc:ML","12.916667","-7.5166664","MLKBG"
"unlcd:MLKDL","Kadiolo",,"unlcdf:3","unlcds:ML3","unlcdc:ML","10.55","-5.7666664","MLKDL"
"unlcd:MLKIT","Kita",,"unlcdf:3",,"unlcdc:ML",,,"MLKIT"
"unlcd:MLKNZ","Kenieba",,"unlcdf:4",,"unlcdc:ML",,,"MLKNZ"
"unlcd:MLKOR","Korouma",,"unlcdf:3, unlcdf:6",,"unlcdc:ML","13.483334","-11.433333","MLKOR"
"unlcd:MLKOU","Koumantou",,"unlcdf:3",,"unlcdc:ML","11.416667","-6.8333335","MLKOU"
"unlcd:MLKPR","Kemparana",,"unlcdf:3",,"unlcdc:ML",,,"MLKPR"
"unlcd:MLKTX","Koutiala",,"unlcdf:3, unlcdf:4",,"unlcdc:ML",,,"MLKTX"
"unlcd:MLKYS","Kayes",,"unlcdf:4",,"unlcdc:ML",,,"MLKYS"
"unlcd:MLMAH","Mahana",,"unlcdf:3",,"unlcdc:ML","16.183332","-6.7","MLMAH"
"unlcd:MLMAI","Mahina",,"unlcdf:3",,"unlcdc:ML","13.3","-10.65","MLMAI"
"unlcd:MLMBG","Manabougou",,"unlcdf:3","unlcds:ML2","unlcdc:ML","12.766666","-7.6833334","MLMBG"
"unlcd:MLMOR","Morila",,"unlcdf:3",,"unlcdc:ML","12.2","-6.633333","MLMOR"
"unlcd:MLMZI","Mopti",,"unlcdf:4",,"unlcdc:ML",,,"MLMZI"
"unlcd:MLNDE","Ndébougou","Ndebougou","unlcdf:3",,"unlcdc:ML","14.366667","-5.9833336","MLNDE"
"unlcd:MLNEG","Négala","Negala","unlcdf:3","unlcds:ML2","unlcdc:ML","12.866667","-8.45","MLNEG"
"unlcd:MLNIO","Niono",,"unlcdf:3",,"unlcdc:ML","14.25","-6.0","MLNIO"
"unlcd:MLNIX","Nioro",,"unlcdf:4",,"unlcdc:ML",,,"MLNIX"
"unlcd:MLNRM","Nara",,"unlcdf:4",,"unlcdc:ML",,,"MLNRM"
"unlcd:MLOLB","Ouolossébougou","Ouolossebougou","unlcdf:3",,"unlcdc:ML",,,"MLOLB"
"unlcd:MLSAN","San",,"unlcdf:3",,"unlcdc:ML","13.283334","-4.883333","MLSAN"
"unlcd:MLSEV","Sévaré","Sevare","unlcdf:3",,"unlcdc:ML","14.533334","-4.1","MLSEV"
"unlcd:MLSIK","Sikasso",,"unlcdf:3",,"unlcdc:ML","11.316667","-5.6666665","MLSIK"
"unlcd:MLSLA","Sadiola",,"unlcdf:3",,"unlcdc:ML","13.883333","-11.7","MLSLA"
"unlcd:MLSZU","Ségou","Segou","unlcdf:3, unlcdf:4",,"unlcdc:ML","13.45","-6.266667","MLSZU"
"unlcd:MLTOM","Tombouctou",,"unlcdf:4",,"unlcdc:ML","16.716667","-3.0","MLTOM"
"unlcd:MLTOU","Touana",,"unlcdf:3",,"unlcdc:ML","13.633333","-7.483333","MLTOU"
"unlcd:MLYAT","Yatéla","Yatela","unlcdf:3",,"unlcdc:ML","14.1","-11.766666","MLYAT"
