"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:MMAKY","Akyab (Sittwe)",,"unlcdf:1, unlcdf:4",,"unlcdc:MM",,,"MMAKY"
"unlcd:MMBIL","Bilin",,"unlcdf:1",,"unlcdc:MM",,,"MMBIL"
"unlcd:MMBMO","Bhamo",,"unlcdf:4",,"unlcdc:MM",,,"MMBMO"
"unlcd:MMBOG","Bogale",,"unlcdf:1",,"unlcdc:MM",,,"MMBOG"
"unlcd:MMBPE","Bagan",,"unlcdf:4",,"unlcdc:MM",,,"MMBPE"
"unlcd:MMBSX","Bassein",,"unlcdf:1, unlcdf:4",,"unlcdc:MM",,,"MMBSX"
"unlcd:MMGAW","Gangaw",,"unlcdf:4",,"unlcdc:MM",,,"MMGAW"
"unlcd:MMGWA","Gwa",,"unlcdf:4",,"unlcdc:MM",,,"MMGWA"
"unlcd:MMHEB","Henzada",,"unlcdf:1, unlcdf:4",,"unlcdc:MM",,,"MMHEB"
"unlcd:MMHEN","Heho",,"unlcdf:4",,"unlcdc:MM",,,"MMHEN"
"unlcd:MMHOX","Homalin",,"unlcdf:4",,"unlcdc:MM",,,"MMHOX"
"unlcd:MMHTL","Htan Tlang",,"unlcdf:3","unlcds:MM14","unlcdc:MM","22.666666","93.4","MMHTL"
"unlcd:MMINS","Insein",,"unlcdf:1",,"unlcdc:MM",,,"MMINS"
"unlcd:MMKAW","Kawthaung",,"unlcdf:4",,"unlcdc:MM",,,"MMKAW"
"unlcd:MMKET","Keng Tung",,"unlcdf:4",,"unlcdc:MM",,,"MMKET"
"unlcd:MMKHM","Khamti",,"unlcdf:4",,"unlcdc:MM",,,"MMKHM"
"unlcd:MMKKR","Kawkareik",,"unlcdf:3","unlcds:MM13","unlcdc:MM","16.55","98.23333","MMKKR"
"unlcd:MMKMV","Kalemyo",,"unlcdf:4",,"unlcdc:MM",,,"MMKMV"
"unlcd:MMKYA","Kyaiklat",,"unlcdf:1, unlcdf:3","unlcds:MM07","unlcdc:MM","16.566668","95.78333","MMKYA"
"unlcd:MMKYP","Kyaukpyu",,"unlcdf:1, unlcdf:4",,"unlcdc:MM",,,"MMKYP"
"unlcd:MMKYT","Kyauktaw",,"unlcdf:4",,"unlcdc:MM",,,"MMKYT"
"unlcd:MMLIW","Loikaw",,"unlcdf:4",,"unlcdc:MM",,,"MMLIW"
"unlcd:MMLPT","Latputta",,"unlcdf:3","unlcds:MM07","unlcdc:MM","16.15","94.76667","MMLPT"
"unlcd:MMLSH","Lashio",,"unlcdf:4",,"unlcdc:MM",,,"MMLSH"
"unlcd:MMLWJ","Lweje",,"unlcdf:3","unlcds:MM11","unlcdc:MM","24.2","97.71667","MMLWJ"
"unlcd:MMMAR","Martaban",,"unlcdf:1",,"unlcdc:MM",,,"MMMAR"
"unlcd:MMMDL","Mandalay",,"unlcdf:4",,"unlcdc:MM",,,"MMMDL"
"unlcd:MMMER","Mergui",,"unlcdf:1",,"unlcdc:MM",,,"MMMER"
"unlcd:MMMES","Mese",,"unlcdf:3, unlcdf:6","unlcds:MM12","unlcdc:MM","18.633333","97.666664","MMMES"
"unlcd:MMMGK","Mong Ton",,"unlcdf:4",,"unlcdc:MM",,,"MMMGK"
"unlcd:MMMGN","Myingyan",,"unlcdf:2, unlcdf:3","unlcds:MM04","unlcdc:MM","21.466667","95.38333","MMMGN"
"unlcd:MMMGU","Manaung",,"unlcdf:4",,"unlcdc:MM",,,"MMMGU"
"unlcd:MMMGZ","Myeik",,"unlcdf:4",,"unlcdc:MM",,,"MMMGZ"
"unlcd:MMMNE","Myit Nge",,"unlcdf:2, unlcdf:3, unlcdf:6","unlcds:MM04","unlcdc:MM","21.866667","96.083336","MMMNE"
"unlcd:MMMNU","Mawlamyine (Moulmein)",,"unlcdf:1, unlcdf:4",,"unlcdc:MM",,,"MMMNU"
"unlcd:MMMOE","Momeik",,"unlcdf:4",,"unlcdc:MM",,,"MMMOE"
"unlcd:MMMOG","Mong Hsat",,"unlcdf:4",,"unlcdc:MM",,,"MMMOG"
"unlcd:MMMSE","Mu Se",,"unlcdf:3, unlcdf:B","unlcds:MM17","unlcdc:MM","23.983334","97.9","MMMSE"
"unlcd:MMMTA","Myotha",,"unlcdf:3","unlcds:MM04","unlcdc:MM","21.683332","95.71667","MMMTA"
