"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:MNALT","Altanbulag",,"unlcdf:3","unlcds:MN049","unlcdc:MN","50.3","106.48333","MNALT"
"unlcd:MNAVK","Arvaikheer",,"unlcdf:4",,"unlcdc:MN",,,"MNAVK"
"unlcd:MNBYN","Bayankhongor",,"unlcdf:4",,"unlcdc:MN",,,"MNBYN"
"unlcd:MNCOQ","Choibalsan",,"unlcdf:4",,"unlcdc:MN",,,"MNCOQ"
"unlcd:MNDLZ","Dalandzadgad",,"unlcdf:4",,"unlcdc:MN","43.616665","104.48333","MNDLZ"
"unlcd:MNDZU","Dzamïn Üüd","Dzamin Uud","unlcdf:3",,"unlcdc:MN","44.516666","111.166664","MNDZU"
"unlcd:MNERT","Erdenet",,"unlcdf:4",,"unlcdc:MN",,,"MNERT"
"unlcd:MNGAU","Gangimaodu",,"unlcdf:6",,"unlcdc:MN","42.433334","107.566666","MNGAU"
"unlcd:MNHAT","Hatgal",,"unlcdf:3","unlcds:MN041","unlcdc:MN","50.45","100.166664","MNHAT"
"unlcd:MNHJT","Khujirt",,"unlcdf:4",,"unlcdc:MN",,,"MNHJT"
"unlcd:MNHVD","Khovd",,"unlcdf:4",,"unlcdc:MN",,,"MNHVD"
"unlcd:MNKHR","Kharkhorin",,"unlcdf:4",,"unlcdc:MN",,,"MNKHR"
"unlcd:MNLTI","Altai",,"unlcdf:4",,"unlcdc:MN",,,"MNLTI"
"unlcd:MNMXV","Moron",,"unlcdf:4",,"unlcdc:MN",,,"MNMXV"
"unlcd:MNMXW","Mandalgobi",,"unlcdf:4",,"unlcdc:MN",,,"MNMXW"
"unlcd:MNORD","Ordos",,"unlcdf:3",,"unlcdc:MN","39.616665","109.833336","MNORD"
"unlcd:MNTOS","Tosontsengel",,"unlcdf:3","unlcds:MN057","unlcdc:MN","48.75","98.28333","MNTOS"
"unlcd:MNTSZ","Tsetserleg",,"unlcdf:4",,"unlcdc:MN",,,"MNTSZ"
"unlcd:MNUGA","Bulgan",,"unlcdf:4",,"unlcdc:MN",,,"MNUGA"
"unlcd:MNULG","Ölgii","Olgii","unlcdf:3, unlcdf:4","unlcds:MN071","unlcdc:MN","48.966667","89.95","MNULG"
"unlcd:MNULN","Ulaanbaatar",,"unlcdf:4, unlcdf:5",,"unlcdc:MN",,,"MNULN"
"unlcd:MNULO","Ulaangom",,"unlcdf:4",,"unlcdc:MN",,,"MNULO"
"unlcd:MNULZ","Uliastay",,"unlcdf:4",,"unlcdc:MN","47.75","96.816666","MNULZ"
"unlcd:MNUNR","Underkhaan",,"unlcdf:4",,"unlcdc:MN",,,"MNUNR"
"unlcd:MNUQA","Ulan Qab",,"unlcdf:3",,"unlcdc:MN","42.766666","114.666664","MNUQA"
"unlcd:MNUUN","Baruun-Urt",,"unlcdf:4",,"unlcdc:MN",,,"MNUUN"
"unlcd:MNZUU","Zamyn-Üüd","Zamyn-Uud","unlcdf:3",,"unlcdc:MN","43.733334","111.9","MNZUU"
