"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:MQADA","Les Anses-d'Arlet",,"unlcdf:1, unlcdf:3",,"unlcdc:MQ","14.483334","-61.083332","MQADA"
"unlcd:MQBFT","Bellefontaine",,"unlcdf:3",,"unlcdc:MQ","14.666667","-61.15","MQBFT"
"unlcd:MQDMT","Le Diamant",,"unlcdf:3",,"unlcdc:MQ","14.466666","-61.033333","MQDMT"
"unlcd:MQDUC","Ducos",,"unlcdf:3",,"unlcdc:MQ","14.55","-60.983334","MQDUC"
"unlcd:MQFDF","Fort-de-France",,"unlcdf:1, unlcdf:3, unlcdf:4, unlcdf:5",,"unlcdc:MQ","14.6","-61.05","MQFDF"
"unlcd:MQFSD","Fonds-Saint-Denis",,"unlcdf:3",,"unlcdc:MQ","14.733334","-61.133335","MQFSD"
"unlcd:MQGME","Gros-Morne",,"unlcdf:3",,"unlcdc:MQ","14.7","-61.0","MQGME"
"unlcd:MQKF4","Le Vauclin",,"unlcdf:1, unlcdf:3",,"unlcdc:MQ","14.55","-60.85","MQKF4"
"unlcd:MQLAT","La Trinité","La Trinite","unlcdf:3",,"unlcdc:MQ","14.733334","-60.966667","MQLAT"
"unlcd:MQLEC","Le Carbet",,"unlcdf:3",,"unlcdc:MQ","14.7","-61.183334","MQLEC"
"unlcd:MQLER","Le Robert",,"unlcdf:1, unlcdf:3",,"unlcdc:MQ","14.666667","-60.933334","MQLER"
"unlcd:MQLFR","Le François","Le Francois","unlcdf:2, unlcdf:5",,"unlcdc:MQ","14.616667","-60.883335","MQLFR"
"unlcd:MQLLO","Le Lorrain",,"unlcdf:3",,"unlcdc:MQ","14.833333","-61.066666","MQLLO"
"unlcd:MQLMT","Le Lamentin",,"unlcdf:3, unlcdf:4, unlcdf:5",,"unlcdc:MQ","14.6","-61.0","MQLMT"
"unlcd:MQLTI","Les Trois-Îlets","Les Trois-Ilets","unlcdf:3",,"unlcdc:MQ","14.533334","-61.033333","MQLTI"
"unlcd:MQMBA","Macouba",,"unlcdf:3",,"unlcdc:MQ","14.866667","-61.133335","MQMBA"
"unlcd:MQMRG","Le Morne-Rouge",,"unlcdf:3",,"unlcdc:MQ","14.766666","-61.133335","MQMRG"
"unlcd:MQPFI","Le Marigot",,"unlcdf:1, unlcdf:3",,"unlcdc:MQ","14.816667","-61.033333","MQPFI"
"unlcd:MQQMR","Le Marin",,"unlcdf:3",,"unlcdc:MQ","14.466666","-60.866665","MQQMR"
"unlcd:MQQPC","Port de Fort-de-France Pt.",,"unlcdf:1, unlcdf:3",,"unlcdc:MQ","14.6","-61.05","MQQPC"
"unlcd:MQRPT","Rivière-Pilote","Riviere-Pilote","unlcdf:3",,"unlcdc:MQ","14.483334","-60.9","MQRPT"
"unlcd:MQSF4","Le Precheur",,"unlcdf:1, unlcdf:3",,"unlcdc:MQ","14.8","-61.233334","MQSF4"
"unlcd:MQSHL","Schlcher","Scholcher","unlcdf:5",,"unlcdc:MQ","14.6","-61.1","MQSHL"
"unlcd:MQSJO","Saint-Joseph",,"unlcdf:3",,"unlcdc:MQ","14.666667","-61.033333","MQSJO"
"unlcd:MQSPI","Saint-Pierre",,"unlcdf:0",,"unlcdc:MQ","14.75","-61.166668","MQSPI"
"unlcd:MQSTA","Sainte-Anne",,"unlcdf:3",,"unlcdc:MQ","14.433333","-60.883335","MQSTA"
"unlcd:MQSTM","Sainte-Marie",,"unlcdf:3",,"unlcdc:MQ","14.783334","-60.983334","MQSTM"
"unlcd:MQWF3","Case-Pilote",,"unlcdf:1, unlcdf:3",,"unlcdc:MQ","14.633333","-61.133335","MQWF3"
