"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:MRAEO","Aioun el Atrouss",,"unlcdf:4",,"unlcdc:MR",,,"MRAEO"
"unlcd:MRAJJ","Akjoujt",,"unlcdf:4",,"unlcdc:MR",,,"MRAJJ"
"unlcd:MRATR","Atar",,"unlcdf:4",,"unlcdc:MR",,,"MRATR"
"unlcd:MRBGH","Boghé","Boghe","unlcdf:4",,"unlcdc:MR","16.583334","-14.266666","MRBGH"
"unlcd:MRBSK","Bassiknou",,"unlcdf:3","unlcds:MR01","unlcdc:MR","15.85","-5.9333334","MRBSK"
"unlcd:MRCGT","Chinguitti",,"unlcdf:4",,"unlcdc:MR",,,"MRCGT"
"unlcd:MREMN","Néma","Nema","unlcdf:4",,"unlcdc:MR","16.616667","-7.25","MREMN"
"unlcd:MRFGD","Fdérik","Fderik","unlcdf:4",,"unlcdc:MR","22.683332","-12.7","MRFGD"
"unlcd:MRKBI","Kobenni",,"unlcdf:3","unlcds:MR02","unlcdc:MR","15.816667","-9.366667","MRKBI"
"unlcd:MRKED","Kaédi","Kaedi","unlcdf:4",,"unlcdc:MR","16.15","-13.5","MRKED"
"unlcd:MRKFA","Kiffa",,"unlcdf:4",,"unlcdc:MR",,,"MRKFA"
"unlcd:MRLEG","Aleg",,"unlcdf:4",,"unlcdc:MR",,,"MRLEG"
"unlcd:MRMBR","Mbout",,"unlcdf:4",,"unlcdc:MR",,,"MRMBR"
"unlcd:MRMOM","Moudjéria","Moudjeria","unlcdf:4",,"unlcdc:MR","17.883333","-12.333333","MRMOM"
"unlcd:MRNDB","Nouadhibou",,"unlcdf:1, unlcdf:4",,"unlcdc:MR",,,"MRNDB"
"unlcd:MRNKC","Nouakchott",,"unlcdf:1, unlcdf:4, unlcdf:5",,"unlcdc:MR",,,"MRNKC"
"unlcd:MROTL","Boutilimit",,"unlcdf:4",,"unlcdc:MR",,,"MROTL"
"unlcd:MROUZ","Zouérat","Zouerat","unlcdf:4",,"unlcdc:MR","22.7","-12.483334","MROUZ"
"unlcd:MRPCE","Point Central",,"unlcdf:1",,"unlcdc:MR",,,"MRPCE"
"unlcd:MRROS","Rosso",,"unlcdf:1, unlcdf:3, unlcdf:B",,"unlcdc:MR","16.5","-15.916667","MRROS"
"unlcd:MRSEY","Sélibaby","Selibaby","unlcdf:4",,"unlcdc:MR","15.166667","-12.183333","MRSEY"
"unlcd:MRTHI","Tichitt",,"unlcdf:4",,"unlcdc:MR",,,"MRTHI"
"unlcd:MRTHT","Tamchakett",,"unlcdf:4",,"unlcdc:MR",,,"MRTHT"
"unlcd:MRTIN","Tintane",,"unlcdf:3","unlcds:MR02","unlcdc:MR","16.4","-10.166667","MRTIN"
"unlcd:MRTIY","Tidjikja",,"unlcdf:4",,"unlcdc:MR",,,"MRTIY"
"unlcd:MRTMD","Timbédra","Timbedra","unlcdf:4",,"unlcdc:MR","16.25","-8.166667","MRTMD"
"unlcd:MRZLG","El Gouera",,"unlcdf:4",,"unlcdc:MR",,,"MRZLG"
