"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:MTATT","Attard",,"unlcdf:3, unlcdf:6","unlcds:MT01","unlcdc:MT","35.883335","14.433333","MTATT"
"unlcd:MTBAH","Bahrija",,"unlcdf:3","unlcds:MT46","unlcdc:MT","35.883335","14.333333","MTBAH"
"unlcd:MTBAL","Balzan",,"unlcdf:1, unlcdf:3","unlcds:MT02","unlcdc:MT","35.9","14.45","MTBAL"
"unlcd:MTBIC","Bahar ic-Caghaq",,"unlcdf:3","unlcds:MT38","unlcdc:MT","35.933334","14.45","MTBIC"
"unlcd:MTBIR","Birkirkara",,"unlcdf:3","unlcds:MT04","unlcdc:MT","35.9","14.466666","MTBIR"
"unlcd:MTBLA","Blata l'Bajda",,"unlcdf:1, unlcdf:3","unlcds:MT18","unlcdc:MT",,,"MTBLA"
"unlcd:MTBRG","Birgu (Vittoriosa)",,"unlcdf:3","unlcds:MT03","unlcdc:MT","35.883335","14.516666","MTBRG"
"unlcd:MTBRU","Bur Marrad",,"unlcdf:3","unlcds:MT51","unlcdc:MT","35.933334","14.416667","MTBRU"
"unlcd:MTBUG","Bugibba",,"unlcdf:3","unlcds:MT51","unlcdc:MT","35.95","14.4","MTBUG"
"unlcd:MTBZE","Birzebbugia",,"unlcdf:1, unlcdf:3","unlcds:MT05","unlcdc:MT","35.833332","14.533334","MTBZE"
"unlcd:MTCKW","Cirkewwa",,"unlcdf:1, unlcdf:3",,"unlcdc:MT",,,"MTCKW"
"unlcd:MTCOS","Bormla (Cospicua)",,"unlcdf:3","unlcds:MT06","unlcdc:MT","35.866665","14.516666","MTCOS"
"unlcd:MTDGL","Dingli",,"unlcdf:3","unlcds:MT07","unlcdc:MT","35.85","14.366667","MTDGL"
"unlcd:MTDIS","Malta Freeport Distripark",,"unlcdf:1, unlcdf:3","unlcds:MT05","unlcdc:MT","35.833332","14.533334","MTDIS"
"unlcd:MTDMP","Delimara",,"unlcdf:1, unlcdf:3","unlcds:MT33","unlcdc:MT","35.816666","14.55","MTDMP"
"unlcd:MTFGU","Fgura",,"unlcdf:3","unlcds:MT08","unlcdc:MT","35.866665","14.5","MTFGU"
"unlcd:MTFLO","Floriana",,"unlcdf:1, unlcdf:3, unlcdf:4","unlcds:MT09","unlcdc:MT","35.883335","14.5","MTFLO"
"unlcd:MTFLY","Fleur-de-Lys",,"unlcdf:3","unlcds:MT04","unlcdc:MT","35.883335","14.466666","MTFLY"
"unlcd:MTFNT","Fontana",,"unlcdf:3","unlcds:MT10","unlcdc:MT","36.033333","14.233334","MTFNT"
"unlcd:MTGHA","Ghargur",,"unlcdf:1",,"unlcdc:MT",,,"MTGHA"
"unlcd:MTGRB","Gharb",,"unlcdf:3","unlcds:MT14","unlcdc:MT","36.05","14.2","MTGRB"
"unlcd:MTGSM","Ghajnsielem",,"unlcdf:3","unlcds:MT13","unlcdc:MT","36.016666","14.283334","MTGSM"
"unlcd:MTGSR","Ghasri",,"unlcdf:3","unlcds:MT16","unlcdc:MT","36.05","14.216666","MTGSR"
"unlcd:MTGUD","Gudja",,"unlcdf:6","unlcds:MT11","unlcdc:MT","35.833332","14.5","MTGUD"
"unlcd:MTGWA","Gwardamanga",,"unlcdf:3","unlcds:MT41","unlcdc:MT","35.883335","14.483334","MTGWA"
"unlcd:MTGXQ","Ghaxaq",,"unlcdf:6","unlcds:MT17","unlcdc:MT","35.833332","14.516666","MTGXQ"
"unlcd:MTGZI","Gzira",,"unlcdf:1","unlcds:MT12","unlcdc:MT","35.9","14.483334","MTGZI"
"unlcd:MTHHF","Hal Far",,"unlcdf:3","unlcds:MT05","unlcdc:MT","35.816666","14.5","MTHHF"
"unlcd:MTHRN","Hamrun",,"unlcdf:6","unlcds:MT18","unlcdc:MT","35.883335","14.483334","MTHRN"
"unlcd:MTIKL","L-Iklin",,"unlcdf:3",,"unlcdc:MT","35.9","14.45","MTIKL"
"unlcd:MTISR","Is-Swatar",,"unlcdf:3","unlcds:MT23","unlcdc:MT","35.883335","14.466666","MTISR"
"unlcd:MTJCO","Comino",,"unlcdf:4",,"unlcdc:MT",,,"MTJCO"
"unlcd:MTKAL","Kalkara",,"unlcdf:3","unlcds:MT21","unlcdc:MT","35.883335","14.516666","MTKAL"
"unlcd:MTKAP","Il-Kappara",,"unlcdf:3","unlcds:MT49","unlcdc:MT","35.85","14.566667","MTKAP"
"unlcd:MTKER","Kercem",,"unlcdf:3","unlcds:MT27","unlcdc:MT","36.033333","14.216666","MTKER"
