"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:MUABN","Albion",,"unlcdf:1","unlcds:MUBL","unlcdc:MU","-20.2","57.4","MUABN"
"unlcd:MUANL","Arsenal",,"unlcdf:3","unlcds:MUPA","unlcdc:MU","-20.1","57.533333","MUANL"
"unlcd:MUBAM","Bambous",,"unlcdf:1","unlcds:MUAG","unlcdc:MU",,,"MUBAM"
"unlcd:MUBEB","Beau Bassin",,"unlcdf:3","unlcds:MUPW","unlcdc:MU","-20.216667","57.45","MUBEB"
"unlcd:MUBEL","Bel Air",,"unlcdf:3","unlcds:MUFL","unlcdc:MU","-20.25","57.733334","MUBEL"
"unlcd:MUBLM","Belle Mare",,"unlcdf:3","unlcds:MUFL","unlcdc:MU","-20.183332","57.766666","MUBLM"
"unlcd:MUBLR","Rivière Noire","Riviere Noire","unlcdf:3","unlcds:MUBL","unlcdc:MU","-20.35","57.35","MUBLR"
"unlcd:MUBOR","Bel Ombre",,"unlcdf:3","unlcds:MUSA","unlcdc:MU","-20.5","57.4","MUBOR"
"unlcd:MUBPL","Beau Plan",,"unlcdf:3","unlcds:MUPA","unlcdc:MU","-20.083334","57.566666","MUBPL"
"unlcd:MUBRE","Belle Rose",,"unlcdf:3","unlcds:MUQB","unlcdc:MU","-20.25","57.716667","MUBRE"
"unlcd:MUBTB","Baie-du-Tombeau",,"unlcdf:3","unlcds:MUPA","unlcdc:MU","-20.1","57.5","MUBTB"
"unlcd:MUBVN","Beau Vallon",,"unlcdf:3","unlcds:MUGP","unlcdc:MU","-20.35","57.683334","MUBVN"
"unlcd:MUCDE","Cloverdale",,"unlcdf:3",,"unlcdc:MU",,,"MUCDE"
"unlcd:MUCDF","Centre de Flacq",,"unlcdf:3","unlcds:MUFL","unlcdc:MU","-20.2","57.716667","MUCDF"
"unlcd:MUCGR","Chemin Grenier",,"unlcdf:3","unlcds:MUSA","unlcdc:MU","-20.483334","57.45","MUCGR"
"unlcd:MUCHL","Chamarel",,"unlcdf:3","unlcds:MUSA","unlcdc:MU","-20.416666","57.383335","MUCHL"
"unlcd:MUCMD","Coromandel",,"unlcdf:3","unlcds:MUBR","unlcdc:MU","-20.166666","57.45","MUCMD"
"unlcd:MUCPX","Cap Malheureux",,"unlcdf:3","unlcds:MURR","unlcdc:MU","-19.983334","57.6","MUCPX"
"unlcd:MUCSS","Cassis",,"unlcdf:3","unlcds:MUPL","unlcdc:MU","-20.15","57.466667","MUCSS"
"unlcd:MUCUR","Curepipe",,"unlcdf:1, unlcdf:3",,"unlcdc:MU",,,"MUCUR"
"unlcd:MUEBN","Ebene",,"unlcdf:6",,"unlcdc:MU","-20.233334","57.783333","MUEBN"
"unlcd:MUFDS","Fond du Sac",,"unlcdf:6","unlcds:MUPA","unlcdc:MU","-20.033333","57.566666","MUFDS"
"unlcd:MUFLF","Flic en Flac",,"unlcdf:3","unlcds:MUBL","unlcdc:MU","-20.266666","57.35","MUFLF"
"unlcd:MUFSD","Forest Side",,"unlcdf:3","unlcds:MUPW","unlcdc:MU","-20.316668","57.516666","MUFSD"
"unlcd:MUGBA","Grand Baie",,"unlcdf:3","unlcds:MUPA","unlcdc:MU","-20.0","57.566666","MUGBA"
"unlcd:MUGBS","Gros Bois",,"unlcdf:3","unlcds:MUGP","unlcdc:MU","-20.433332","57.6","MUGBS"
"unlcd:MUGOO","Goodlands",,"unlcdf:3","unlcds:MURR","unlcdc:MU","-20.033333","57.633335","MUGOO"
"unlcd:MUGPO","Nouvelle France",,"unlcdf:3","unlcds:MUGP","unlcdc:MU","-20.366667","57.55","MUGPO"
"unlcd:MUGRN","Grand River North West",,"unlcdf:3","unlcds:MUPL","unlcdc:MU","-20.166666","57.466667","MUGRN"
"unlcd:MUGRS","Grande Rivière Sud Est","Grande Riviere Sud Est","unlcdf:3","unlcds:MUFL","unlcdc:MU","-20.283333","57.766666","MUGRS"
"unlcd:MULME","La Mivoie",,"unlcdf:3","unlcds:MURR","unlcdc:MU","-20.333334","57.35","MULME"
"unlcd:MUMAH","Mahébourg","Mahebourg","unlcdf:3",,"unlcdc:MU","-20.4","57.683334","MUMAH"
"unlcd:MUMAP","Mapou",,"unlcdf:3","unlcds:MURR","unlcdc:MU","-20.016666","57.566666","MUMAP"
"unlcd:MUMOK","Moka",,"unlcdf:3","unlcds:MUMO","unlcdc:MU","-20.216667","57.483334","MUMOK"
"unlcd:MUMRB","Roches Brunes",,"unlcdf:3","unlcds:MUPW","unlcdc:MU","-20.216667","57.45","MUMRB"
"unlcd:MUMRU","Sir Seewoosagur Ramgoolam Int Apt",,"unlcdf:4, unlcdf:5",,"unlcdc:MU","-20.433332","57.683334","MUMRU"
"unlcd:MUMSA","Morcellemont Saint André","Morcellemont Saint Andre","unlcdf:3","unlcds:MUPU","unlcdc:MU","-20.066668","57.55","MUMSA"
"unlcd:MUPAC","Pointe aux Canonniers",,"unlcdf:3","unlcds:MUPA","unlcdc:MU","-20.0","57.55","MUPAC"
"unlcd:MUPAI","Pailles",,"unlcdf:3","unlcds:MUPW","unlcdc:MU","-20.183332","57.466667","MUPAI"
"unlcd:MUPAM","Pamplemousses",,"unlcdf:3","unlcds:MUPA","unlcdc:MU","-20.1","57.566666","MUPAM"
"unlcd:MUPDF","Poste de Flacq",,"unlcdf:3","unlcds:MUFL","unlcdc:MU","-20.15","57.716667","MUPDF"
"unlcd:MUPEY","Pointe dEsny",,"unlcdf:3","unlcds:MUGP","unlcdc:MU","-20.416666","57.716667","MUPEY"
"unlcd:MUPLU","Port Louis",,"unlcdf:1, unlcdf:4",,"unlcdc:MU",,,"MUPLU"
"unlcd:MUPMA","Port Mathurin",,"unlcdf:1, unlcdf:3",,"unlcdc:MU","-19.683332","63.416668","MUPMA"
"unlcd:MUPMG","Plaine Magnien",,"unlcdf:3","unlcds:MUGP","unlcdc:MU","-20.416666","57.65","MUPMG"
"unlcd:MUPMR","Palmar",,"unlcdf:3","unlcds:MUFL","unlcdc:MU","-20.216667","57.766666","MUPMR"
"unlcd:MUPNX","Phoenix",,"unlcdf:6","unlcds:MUPW","unlcdc:MU","-20.283333","57.5","MUPNX"
"unlcd:MUPRI","Petite Rivière","Petite Riviere","unlcdf:3","unlcds:MUBL","unlcdc:MU","-20.183332","57.433334","MUPRI"
"unlcd:MUPSB","Pointe aux Sables",,"unlcdf:3","unlcds:MUPU","unlcdc:MU","-20.15","57.45","MUPSB"
"unlcd:MUPTN","Piton",,"unlcdf:3","unlcds:MURR","unlcdc:MU","-20.083334","57.616665","MUPTN"
"unlcd:MUPYY","Pereybèré","Pereybere","unlcdf:3","unlcds:MURR","unlcdc:MU","-19.983334","57.583332","MUPYY"
"unlcd:MUQBE","Quatre Bornes",,"unlcdf:3","unlcds:MUPW","unlcdc:MU","-20.25","57.466667","MUQBE"
"unlcd:MUQML","Quartier Militaire",,"unlcdf:3","unlcds:MUMO","unlcdc:MU","-20.233334","57.583332","MUQML"
"unlcd:MURCT","Richeterre",,"unlcdf:3","unlcds:MUFL","unlcdc:MU","-20.116667","57.5","MURCT"
"unlcd:MURDR","Rivière du Rempart","Riviere du Rempart","unlcdf:3","unlcds:MUFL","unlcdc:MU","-20.1","57.683334","MURDR"
"unlcd:MURNE","Roches Noire",,"unlcdf:3","unlcds:MURR","unlcdc:MU","-20.1","57.7","MURNE"
"unlcd:MURRG","Rodrigues",,"unlcdf:4",,"unlcdc:MU","-19.7","63.416668","MURRG"
"unlcd:MURSH","Rose Hill",,"unlcdf:3","unlcds:MUBR","unlcdc:MU","-20.233334","57.466667","MURSH"
"unlcd:MUSAU","Saint Aubin",,"unlcdf:3","unlcds:MUSA","unlcdc:MU","-20.483334","57.55","MUSAU"
"unlcd:MUSLC","Souillac",,"unlcdf:3","unlcds:MUSA","unlcdc:MU","-20.516666","57.516666","MUSLC"
"unlcd:MUSRM","Surinam",,"unlcdf:3","unlcds:MUSA","unlcdc:MU","-20.5","57.5","MUSRM"
"unlcd:MUSTP","Saint Pierre",,"unlcdf:3","unlcds:MUMO","unlcdc:MU","-20.216667","57.516666","MUSTP"
"unlcd:MUTAB","Trou aux Biches",,"unlcdf:3","unlcds:MUPA","unlcdc:MU","-20.033333","57.533333","MUTAB"
"unlcd:MUTAM","Tamarin",,"unlcdf:1, unlcdf:6","unlcds:MUBL","unlcdc:MU","-20.316668","57.366665","MUTAM"
"unlcd:MUTDD","Trou d'eau Douce",,"unlcdf:3","unlcds:MUFL","unlcdc:MU","-20.233334","57.766666","MUTDD"
"unlcd:MUTLT","Triolet",,"unlcdf:3","unlcds:MUPA","unlcdc:MU","-20.05","57.533333","MUTLT"
"unlcd:MUTRE","Terre Rouge",,"unlcdf:3","unlcds:MUPA","unlcdc:MU","-20.116667","57.516666","MUTRE"
"unlcd:MUTYK","Tyack",,"unlcdf:3","unlcds:MUSA","unlcdc:MU","-20.466667","57.55","MUTYK"
"unlcd:MUVAC","Vacoas",,"unlcdf:3","unlcds:MUPW","unlcdc:MU","-20.283333","57.466667","MUVAC"
"unlcd:MUVER","Verdun",,"unlcdf:3","unlcds:MUMO","unlcdc:MU","-20.216667","57.533333","MUVER"
