"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:MX2NB","Uruapan",,"unlcdf:3","unlcds:MXBCN","unlcdc:MX","31.616667","-116.433334","MX2NB"
"unlcd:MX4TE","Tepetlixpac",,"unlcdf:1, unlcdf:6","unlcds:MXMEX","unlcdc:MX","19.033333","-98.816666","MX4TE"
"unlcd:MX5CL","Colombia",,"unlcdf:3, unlcdf:6","unlcds:MXNLE","unlcdc:MX","27.7","-99.75","MX5CL"
"unlcd:MX7TY","Tonaya",,"unlcdf:3","unlcds:MXJAL","unlcdc:MX","19.783333","-103.96667","MX7TY"
"unlcd:MX9AS","Xochimancas",,"unlcdf:1, unlcdf:3","unlcds:MXMOR","unlcdc:MX","18.783333","-99.1","MX9AS"
"unlcd:MX9CP","Capulhuac",,"unlcdf:3","unlcds:MXMEX","unlcdc:MX","19.2","-99.46667","MX9CP"
"unlcd:MX9PI","Puerto Interior Leon",,"unlcdf:6","unlcds:MXGUA","unlcdc:MX","20.933332","-102.916664","MX9PI"
"unlcd:MX9SY","Sayula",,"unlcdf:3","unlcds:MXJAL","unlcdc:MX","19.866667","-103.61667","MX9SY"
"unlcd:MX9TJ","Tototlán","Tototlan","unlcdf:3","unlcds:MXJAL","unlcdc:MX","20.55","-102.8","MX9TJ"
"unlcd:MX9UM","Usmajac",,"unlcdf:3","unlcds:MXJAL","unlcdc:MX","19.866667","-103.566666","MX9UM"
"unlcd:MXAAC","Angel Albino Corzo",,"unlcdf:3","unlcds:MXCHP","unlcdc:MX","15.916667","-92.71667","MXAAC"
"unlcd:MXAAN","Acatlán","Acatlan","unlcdf:3","unlcds:MXVER","unlcdc:MX","19.716667","-96.833336","MXAAN"
"unlcd:MXAAO","Camargo",,"unlcdf:1, unlcdf:6","unlcds:MXCHH","unlcdc:MX","28.1","-105.26667","MXAAO"
"unlcd:MXABB","Atunes",,"unlcdf:1","unlcds:MXMIC","unlcdc:MX",,,"MXABB"
"unlcd:MXAC3","Ixhuatepec",,"unlcdf:3","unlcds:MXVER","unlcdc:MX","17.866667","-94.61667","MXAC3"
"unlcd:MXACA","Acapulco",,"unlcdf:1, unlcdf:4","unlcds:MXGRO","unlcdc:MX","16.85","-99.86667","MXACA"
"unlcd:MXACB","Acambaro",,"unlcdf:3","unlcds:MXGUA","unlcdc:MX","20.033333","-100.71667","MXACB"
"unlcd:MXACC","Ascencion",,"unlcdf:3","unlcds:MXCHH","unlcdc:MX","31.083334","-107.98333","MXACC"
"unlcd:MXACE","Acajete",,"unlcdf:6","unlcds:MXPUE","unlcdc:MX","19.1","-97.95","MXACE"
"unlcd:MXACL","Acuamanala",,"unlcdf:3","unlcds:MXTLA","unlcdc:MX","19.216667","-98.2","MXACL"
"unlcd:MXACM","Acolman",,"unlcdf:1, unlcdf:6","unlcds:MXMEX","unlcdc:MX","19.616667","-98.916664","MXACM"
"unlcd:MXACN","Ciudad Acuna",,"unlcdf:4",,"unlcdc:MX",,,"MXACN"
"unlcd:MXACO","Atlacomulco de Fabela",,"unlcdf:3, unlcdf:6","unlcds:MXMEX","unlcdc:MX","19.8","-99.86667","MXACO"
"unlcd:MXACP","Acaponeta",,"unlcdf:3","unlcds:MXNAY","unlcdc:MX","22.5","-105.36667","MXACP"
"unlcd:MXACT","Acatic",,"unlcdf:6","unlcds:MXJAL","unlcdc:MX","20.783333","-102.88333","MXACT"
"unlcd:MXACU","Acuna",,"unlcdf:3",,"unlcdc:MX",,,"MXACU"
"unlcd:MXACX","Acaxochitlán","Acaxochitlan","unlcdf:3, unlcdf:6","unlcds:MXHID","unlcdc:MX","20.166666","-98.2","MXACX"
"unlcd:MXADB","Amealco de Bonfil",,"unlcdf:3","unlcds:MXQUE","unlcdc:MX","20.183332","-100.13333","MXADB"
"unlcd:MXADE","Aculco de Espinosa",,"unlcdf:3","unlcds:MXMEX","unlcdc:MX","20.083334","-99.816666","MXADE"
"unlcd:MXADH","Acatzingo de Hidalgo",,"unlcdf:3","unlcds:MXPUE","unlcdc:MX","18.983334","-97.78333","MXADH"
"unlcd:MXADJ","Almoloya De Juarez",,"unlcdf:3","unlcds:MXMEX","unlcdc:MX","19.366667","-99.75","MXADJ"
"unlcd:MXADO","Acatlán de Osorio","Acatlan de Osorio","unlcdf:3","unlcds:MXPUE","unlcdc:MX","18.2","-98.05","MXADO"
"unlcd:MXADR","Ario de Rosales",,"unlcdf:3","unlcds:MXMIC","unlcdc:MX","19.2","-101.7","MXADR"
"unlcd:MXADZ","Atizapán de Zaragoza","Atizapan de Zaragoza","unlcdf:6","unlcds:MXTAM","unlcdc:MX","22.816668","-98.583336","MXADZ"
"unlcd:MXAEA","Apaseo el Alto",,"unlcdf:3","unlcds:MXGUA","unlcdc:MX","20.45","-100.61667","MXAEA"
"unlcd:MXAGD","Agua Dulce",,"unlcdf:3","unlcds:MXBCN","unlcdc:MX","29.883333","-114.88333","MXAGD"
"unlcd:MXAGU","Aguascalientes",,"unlcdf:3, unlcdf:4","unlcds:MXAGU","unlcdc:MX","21.883333","-102.3","MXAGU"
"unlcd:MXAH5","Ahualulco",,"unlcdf:3","unlcds:MXSLP","unlcdc:MX","22.666666","-101.26667","MXAH5"
"unlcd:MXAHM","Ahome",,"unlcdf:3","unlcds:MXSIN","unlcdc:MX","25.916666","-109.183334","MXAHM"
"unlcd:MXAHO","Arteaga",,"unlcdf:6","unlcds:MXCOA","unlcdc:MX","25.416666","-100.85","MXAHO"
"unlcd:MXAHU","Ahumada",,"unlcdf:3","unlcds:MXCHH","unlcdc:MX","30.6","-106.5","MXAHU"
"unlcd:MXAJS","Abreojos",,"unlcdf:4",,"unlcdc:MX",,,"MXAJS"
"unlcd:MXAKI","Akil",,"unlcdf:3","unlcds:MXYUC","unlcdc:MX","20.266666","-89.35","MXAKI"
"unlcd:MXALC","Atlacomulco",,"unlcdf:3","unlcds:MXMOR","unlcdc:MX","18.9","-99.166664","MXALC"
"unlcd:MXALD","Aldama",,"unlcdf:3","unlcds:MXTAM","unlcdc:MX","22.916666","-98.066666","MXALD"
"unlcd:MXALF","Alfajayucan",,"unlcdf:3","unlcds:MXHID","unlcdc:MX","20.416666","-99.35","MXALF"
"unlcd:MXALG","Cedral",,"unlcdf:3","unlcds:MXSLP","unlcdc:MX","21.466667","-98.73333","MXALG"
"unlcd:MXALL","Allende",,"unlcdf:3","unlcds:MXNLE","unlcdc:MX","25.283333","-100.01667","MXALL"
"unlcd:MXALO","Álamo","Alamo","unlcdf:3","unlcds:MXVER","unlcdc:MX","20.916666","-97.666664","MXALO"
"unlcd:MXALT","Atotonilco de Tula",,"unlcdf:3","unlcds:MXHID","unlcdc:MX","20.05","-99.183334","MXALT"
"unlcd:MXAMB","Aramberri",,"unlcdf:3","unlcds:MXNLE","unlcdc:MX","24.083334","-99.8","MXAMB"
