"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:MY2SF","Bandar Baru Bangi",,"unlcdf:3","unlcds:MY10","unlcdc:MY","2.95","101.76667","MY2SF"
"unlcd:MYABU","Abu",,"unlcdf:1",,"unlcdc:MY","6.116667","105.28333","MYABU"
"unlcd:MYAIR","Air Itam/Penang",,"unlcdf:3","unlcds:MY07","unlcdc:MY","5.4","100.28333","MYAIR"
"unlcd:MYAKA","Long Akah",,"unlcdf:3","unlcds:MY13","unlcdc:MY","3.3166666","114.78333","MYAKA"
"unlcd:MYANG","Angsi",,"unlcdf:1",,"unlcdc:MY","5.0833335","104.683334","MYANG"
"unlcd:MYAOG","Alor Gajah",,"unlcdf:2, unlcdf:3","unlcds:MY04","unlcdc:MY","2.3666668","102.2","MYAOG"
"unlcd:MYAOR","Alor Setar",,"unlcdf:4",,"unlcdc:MY",,,"MYAOR"
"unlcd:MYAPG","Ampang",,"unlcdf:3","unlcds:MY10","unlcdc:MY","3.15","101.76667","MYAPG"
"unlcd:MYASQ","Teronoh",,"unlcdf:1, unlcdf:6","unlcds:MY08","unlcdc:MY","4.4166665","100.98333","MYASQ"
"unlcd:MYBAG","Bagan Datok",,"unlcdf:1",,"unlcdc:MY",,,"MYBAG"
"unlcd:MYBAH","Bahau",,"unlcdf:6","unlcds:MY05","unlcdc:MY","5.5","102.416664","MYBAH"
"unlcd:MYBAI","Bangi",,"unlcdf:3","unlcds:MY10","unlcdc:MY","2.9","101.78333","MYBAI"
"unlcd:MYBAK","Batang Kali",,"unlcdf:1","unlcds:MY10","unlcdc:MY","3.4666667","101.63333","MYBAK"
"unlcd:MYBAL","Balakong",,"unlcdf:3","unlcds:MY10","unlcdc:MY","3.0166667","101.75","MYBAL"
"unlcd:MYBAN","Banting",,"unlcdf:3","unlcds:MY10","unlcdc:MY","2.8166666","101.48333","MYBAN"
"unlcd:MYBAT","Batu Pahat",,"unlcdf:1",,"unlcdc:MY",,,"MYBAT"
"unlcd:MYBAU","Bau, Sarawak",,"unlcdf:1",,"unlcdc:MY",,,"MYBAU"
"unlcd:MYBBA","Batu Batu, Sabah",,"unlcdf:1",,"unlcdc:MY",,,"MYBBA"
"unlcd:MYBBE","Bukit Beruntung",,"unlcdf:3","unlcds:MY10","unlcdc:MY",,,"MYBBE"
"unlcd:MYBBN","Bario",,"unlcdf:4",,"unlcdc:MY",,,"MYBBN"
"unlcd:MYBBS","Bandar Baru Selayang",,"unlcdf:6","unlcds:MY10","unlcdc:MY","3.2666667","101.65","MYBBS"
"unlcd:MYBCA","Batu Caves",,"unlcdf:3","unlcds:MY10","unlcdc:MY","3.2333333","101.666664","MYBCA"
"unlcd:MYBDG","Bedong",,"unlcdf:6","unlcds:MY12","unlcdc:MY","5.5833335","116.65","MYBDG"
"unlcd:MYBDR","Bidor",,"unlcdf:3","unlcds:MY08","unlcdc:MY","4.116667","101.28333","MYBDR"
"unlcd:MYBDV","Bandau, Sabah",,"unlcdf:1",,"unlcdc:MY",,,"MYBDV"
"unlcd:MYBEA","Beaufort",,"unlcdf:1, unlcdf:2, unlcdf:3","unlcds:MY12","unlcdc:MY","5.3333335","115.75","MYBEA"
"unlcd:MYBEK","Bandar Enstek",,"unlcdf:6",,"unlcdc:MY","2.75","101.73333","MYBEK"
"unlcd:MYBEL","Beluran, Sabah",,"unlcdf:1",,"unlcdc:MY",,,"MYBEL"
"unlcd:MYBEN","Bentong",,"unlcdf:3","unlcds:MY06","unlcdc:MY","3.5333333","101.916664","MYBEN"
"unlcd:MYBGG","Bunan Gega, Sarawak",,"unlcdf:1",,"unlcdc:MY",,,"MYBGG"
"unlcd:MYBGK","Bunga Kekwa",,"unlcdf:7",,"unlcdc:MY","7.05","104.066666","MYBGK"
"unlcd:MYBGR","Bunga Raya",,"unlcdf:1",,"unlcdc:MY","6.95","104.1","MYBGR"
"unlcd:MYBGU","Bangau",,"unlcdf:1","unlcds:MY12","unlcdc:MY","6.95","116.7","MYBGU"
"unlcd:MYBIA","Biawak, Sarawak",,"unlcdf:1",,"unlcdc:MY",,,"MYBIA"
"unlcd:MYBKH","Bukit Kayu Hitam",,"unlcdf:3",,"unlcdc:MY","6.5","100.416664","MYBKH"
"unlcd:MYBKI","Kota Kinabalu, Sabah",,"unlcdf:1, unlcdf:3, unlcdf:4, unlcdf:5",,"unlcdc:MY",,,"MYBKI"
"unlcd:MYBKM","Ba Kelalan",,"unlcdf:3, unlcdf:4","unlcds:MY13","unlcdc:MY","3.9833333","115.61667","MYBKM"
"unlcd:MYBKP","Bakapit",,"unlcdf:1",,"unlcdc:MY",,,"MYBKP"
"unlcd:MYBKR","Bukit Keteri",,"unlcdf:2, unlcdf:3","unlcds:MY09","unlcdc:MY","6.5333333","100.25","MYBKR"
"unlcd:MYBLE","Bayan Lepas",,"unlcdf:3","unlcds:MY07","unlcdc:MY","5.2833333","100.25","MYBLE"
"unlcd:MYBLG","Belaga, Sarawak",,"unlcdf:1, unlcdf:4",,"unlcdc:MY",,,"MYBLG"
"unlcd:MYBLI","Batu Lintang, Sarawak",,"unlcdf:1","unlcds:MY13","unlcdc:MY",,,"MYBLI"
"unlcd:MYBMA","Bandar Maharani",,"unlcdf:1",,"unlcdc:MY",,,"MYBMA"
"unlcd:MYBMT","Bukit Mertajam",,"unlcdf:3","unlcds:MY07","unlcdc:MY","5.366667","100.46667","MYBMT"
"unlcd:MYBNG","Binatang, Sarawak",,"unlcdf:1",,"unlcdc:MY",,,"MYBNG"
"unlcd:MYBNT","Benut, Johor",,"unlcdf:1",,"unlcdc:MY",,,"MYBNT"
"unlcd:MYBOG","Bedong",,"unlcdf:6","unlcds:MY02","unlcdc:MY","5.7166667","100.51667","MYBOG"
"unlcd:MYBPL","Balik Pulau",,"unlcdf:3","unlcds:MY07","unlcdc:MY","5.35","100.23333","MYBPL"
"unlcd:MYBRG","Berangan",,"unlcdf:3","unlcds:MY03","unlcdc:MY","6.1666665","102.2","MYBRG"
"unlcd:MYBRJ","Bukit Raja",,"unlcdf:2, unlcdf:3","unlcds:MY10","unlcdc:MY","3.1","101.433334","MYBRJ"
"unlcd:MYBRN","Beranang",,"unlcdf:2, unlcdf:3","unlcds:MY10","unlcdc:MY","2.8833332","101.86667","MYBRN"
"unlcd:MYBRU","Pulau Bruit",,"unlcdf:1","unlcds:MY13","unlcdc:MY","2.5833333","111.333336","MYBRU"
"unlcd:MYBSD","Bandar Sri Damansara",,"unlcdf:3","unlcds:MY10","unlcdc:MY","3.1833334","101.6","MYBSD"
"unlcd:MYBSE","Sematan, Sarawak",,"unlcdf:1, unlcdf:4",,"unlcdc:MY",,,"MYBSE"
"unlcd:MYBST","Kuala Besut",,"unlcdf:1",,"unlcdc:MY","5.8333335","102.566666","MYBST"
"unlcd:MYBTG","Betong, Sarawak",,"unlcdf:1",,"unlcdc:MY",,,"MYBTG"
"unlcd:MYBTK","Bandar Tenggara",,"unlcdf:1",,"unlcdc:MY","1.8666667","103.61667","MYBTK"
"unlcd:MYBTM","Batu Maung",,"unlcdf:1","unlcds:MY07","unlcdc:MY","5.2833333","100.28333","MYBTM"
"unlcd:MYBTN","Bintangor",,"unlcdf:1",,"unlcdc:MY",,,"MYBTN"
"unlcd:MYBTU","Bintulu, Sarawak",,"unlcdf:1",,"unlcdc:MY",,,"MYBTU"
