"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:MZAEN","António Enes","Antonio Enes","unlcdf:3","unlcds:MZN","unlcdc:MZ","-16.216667","39.9","MZAEN"
"unlcd:MZAME","Alto Molocue",,"unlcdf:4",,"unlcdc:MZ",,,"MZAME"
"unlcd:MZANO","Angoche",,"unlcdf:1, unlcdf:4",,"unlcdc:MZ",,,"MZANO"
"unlcd:MZAPL","Nampula",,"unlcdf:4",,"unlcdc:MZ",,,"MZAPL"
"unlcd:MZBCW","Benguera Island",,"unlcdf:4",,"unlcdc:MZ",,,"MZBCW"
"unlcd:MZBEL","Bela Vista",,"unlcdf:1",,"unlcdc:MZ",,,"MZBEL"
"unlcd:MZBEW","Beira",,"unlcdf:1, unlcdf:4, unlcdf:5",,"unlcdc:MZ",,,"MZBEW"
"unlcd:MZBJN","Bajone",,"unlcdf:4",,"unlcdc:MZ",,,"MZBJN"
"unlcd:MZBOA","Boane",,"unlcdf:3","unlcds:MZL","unlcdc:MZ","-26.033333","32.316666","MZBOA"
"unlcd:MZBZB","Bazaruto Island",,"unlcdf:4",,"unlcdc:MZ",,,"MZBZB"
"unlcd:MZCHA","Chicamba Real",,"unlcdf:3","unlcds:MZB","unlcdc:MZ","-19.183332","33.15","MZCHA"
"unlcd:MZCHI","Chiúre","Chiure","unlcdf:3","unlcds:MZP","unlcdc:MZ","-13.366667","39.766666","MZCHI"
"unlcd:MZCHO","Chokwé","Chokwe","unlcdf:2, unlcdf:3","unlcds:MZG","unlcdc:MZ","-24.533333","32.983334","MZCHO"
"unlcd:MZCMZ","Caia",,"unlcdf:4",,"unlcdc:MZ",,,"MZCMZ"
"unlcd:MZCOR","Coropoa",,"unlcdf:1, unlcdf:3","unlcds:MZN","unlcdc:MZ","-16.533333","39.683334","MZCOR"
"unlcd:MZFXO","Cuamba",,"unlcdf:4",,"unlcdc:MZ",,,"MZFXO"
"unlcd:MZIBO","Ibo",,"unlcdf:1, unlcdf:4",,"unlcdc:MZ",,,"MZIBO"
"unlcd:MZIMG","Inhaminga",,"unlcdf:4",,"unlcdc:MZ",,,"MZIMG"
"unlcd:MZINE","Chinde",,"unlcdf:1, unlcdf:4",,"unlcdc:MZ",,,"MZINE"
"unlcd:MZINH","Inhambane",,"unlcdf:1, unlcdf:4",,"unlcdc:MZ",,,"MZINH"
"unlcd:MZINS","Inhassoro",,"unlcdf:3","unlcds:MZI","unlcdc:MZ","-21.533333","35.2","MZINS"
"unlcd:MZLBM","Luabo",,"unlcdf:4",,"unlcdc:MZ",,,"MZLBM"
"unlcd:MZLMO","Lumbo",,"unlcdf:3",,"unlcdc:MZ",,,"MZLMO"
"unlcd:MZLMZ","Palma",,"unlcdf:4",,"unlcdc:MZ",,,"MZLMZ"
"unlcd:MZM7E","Muecate",,"unlcdf:3","unlcds:MZN","unlcdc:MZ","-14.883333","39.616665","MZM7E"
"unlcd:MZMAT","Matola",,"unlcdf:1",,"unlcdc:MZ",,,"MZMAT"
"unlcd:MZMAX","Maxixe",,"unlcdf:3","unlcds:MZI","unlcdc:MZ","-23.85","35.333332","MZMAX"
"unlcd:MZMCA","Manica",,"unlcdf:3","unlcds:MZB","unlcdc:MZ","-18.933332","32.866665","MZMCA"
"unlcd:MZMCU","Macuse",,"unlcdf:1",,"unlcdc:MZ",,,"MZMCU"
