"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:NEAJY","Agades",,"unlcdf:4",,"unlcdc:NE",,,"NEAJY"
"unlcd:NEBKN","Birni Nkoni",,"unlcdf:4",,"unlcdc:NE",,,"NEBKN"
"unlcd:NEDIF","Diffa",,"unlcdf:3","unlcds:NE2","unlcdc:NE","13.3","12.6","NEDIF"
"unlcd:NEDOG","Dogodountchi",,"unlcdf:3",,"unlcdc:NE","13.633333","4.0333333","NEDOG"
"unlcd:NEDSS","Dosso",,"unlcdf:3",,"unlcdc:NE","13.05","3.2","NEDSS"
"unlcd:NEGLM","Galmi",,"unlcdf:3","unlcds:NE5","unlcdc:NE","13.966666","5.6833334","NEGLM"
"unlcd:NEIMO","Imourarene",,"unlcdf:6","unlcds:NE1","unlcdc:NE",,,"NEIMO"
"unlcd:NEMAD","Madaoua",,"unlcdf:3","unlcds:NE5","unlcdc:NE","14.083333","6.4333334","NEMAD"
"unlcd:NEMAL","Malbaza",,"unlcdf:3","unlcds:NE5","unlcdc:NE","13.933333","5.5166664","NEMAL"
"unlcd:NEMFQ","Maradi",,"unlcdf:4",,"unlcdc:NE",,,"NEMFQ"
"unlcd:NENIM","Niamey",,"unlcdf:4, unlcdf:5",,"unlcdc:NE",,,"NENIM"
"unlcd:NEOUN","Ouna",,"unlcdf:3","unlcds:NE3","unlcdc:NE","12.166667","3.15","NEOUN"
"unlcd:NERLT","Arlit",,"unlcdf:4",,"unlcdc:NE",,,"NERLT"
"unlcd:NETAW","Tyawa",,"unlcdf:3","unlcds:NE6","unlcdc:NE","13.5","1.2833333","NETAW"
"unlcd:NETCH","Tchirozerine",,"unlcdf:3","unlcds:NE1","unlcdc:NE","17.1","7.8166666","NETCH"
"unlcd:NETHZ","Tahoua",,"unlcdf:4",,"unlcdc:NE",,,"NETHZ"
"unlcd:NETIL","Tillabéri","Tillaberi","unlcdf:3","unlcds:NE6","unlcdc:NE","14.2","1.45","NETIL"
"unlcd:NEZGA","Gaya",,"unlcdf:6",,"unlcdc:NE","11.883333","3.4333334","NEZGA"
"unlcd:NEZND","Zinder",,"unlcdf:4",,"unlcdc:NE",,,"NEZND"
