"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:NGABA","Abakaliki",,"unlcdf:6","unlcds:NGEN","unlcdc:NG","6.3333335","86.0","NGABA"
"unlcd:NGABF","Abo",,"unlcdf:7",,"unlcdc:NG","5.7","4.4666667","NGABF"
"unlcd:NGABM","Agbami",,"unlcdf:1",,"unlcdc:NG","3.5166667","5.5166664","NGABM"
"unlcd:NGABO","Abonnema",,"unlcdf:1",,"unlcdc:NG",,,"NGABO"
"unlcd:NGABV","Abuja",,"unlcdf:4",,"unlcdc:NG",,,"NGABV"
"unlcd:NGACH","Auchi",,"unlcdf:6","unlcds:NGED","unlcdc:NG","7.0666666","6.266667","NGACH"
"unlcd:NGADD","Ado Odo",,"unlcdf:6","unlcds:NGOG","unlcdc:NG","6.6","2.9333334","NGADD"
"unlcd:NGADO","Ado",,"unlcdf:1",,"unlcdc:NG",,,"NGADO"
"unlcd:NGAGB","Agbara",,"unlcdf:3","unlcds:NGLA","unlcdc:NG","6.5166664","3.1","NGAGB"
"unlcd:NGAGD","Aguda",,"unlcdf:6","unlcds:NGLA","unlcdc:NG","6.633333","3.35","NGAGD"
"unlcd:NGAGG","Agege",,"unlcdf:3","unlcds:NGLA","unlcdc:NG","6.616667","3.3166666","NGAGG"
"unlcd:NGAGJ","Agboju",,"unlcdf:6","unlcds:NGLA","unlcdc:NG","6.45","3.2833333","NGAGJ"
"unlcd:NGAKA","Abeokuta",,"unlcdf:3",,"unlcdc:NG","7.15","3.3333333","NGAKA"
"unlcd:NGAKE","Adekunle",,"unlcdf:6","unlcds:NGOY","unlcdc:NG","7.883333","3.3333333","NGAKE"
"unlcd:NGAKK","Akoko",,"unlcdf:6","unlcds:NGLA","unlcdc:NG","6.4333334","2.7333333","NGAKK"
"unlcd:NGAKP","Akpo",,"unlcdf:1",,"unlcdc:NG","-3.1333334","60.816666","NGAKP"
"unlcd:NGAKR","Akure",,"unlcdf:4",,"unlcdc:NG",,,"NGAKR"
"unlcd:NGALA","Alaba",,"unlcdf:6","unlcds:NGOY","unlcdc:NG","7.4333334","4.1","NGALA"
"unlcd:NGAMI","Amaruru Ikeduru",,"unlcdf:3",,"unlcdc:NG","5.5833335","7.1833334","NGAMI"
"unlcd:NGANA","Antan",,"unlcdf:1",,"unlcdc:NG","4.2166667","8.316667","NGANA"
"unlcd:NGANB","Anambra",,"unlcdf:1, unlcdf:6","unlcds:NGKO","unlcdc:NG","7.266667","7.4","NGANB"
"unlcd:NGANT","Anta",,"unlcdf:1",,"unlcdc:NG","9.45","8.466666","NGANT"
"unlcd:NGANW","Amuwo",,"unlcdf:3","unlcds:NGLA","unlcdc:NG","6.4666667","3.2833333","NGANW"
"unlcd:NGAPP","Apapa",,"unlcdf:1",,"unlcdc:NG",,,"NGAPP"
"unlcd:NGASA","Asaba",,"unlcdf:6","unlcds:NGAN","unlcdc:NG","6.1833334","6.75","NGASA"
"unlcd:NGASH","Alimosho",,"unlcdf:3","unlcds:NGLA","unlcdc:NG","6.6","3.2833333","NGASH"
"unlcd:NGASO","Asokoro",,"unlcdf:3","unlcds:NGFC","unlcdc:NG","9.05","7.5166664","NGASO"
"unlcd:NGAWA","Awka",,"unlcdf:6","unlcds:NGIM","unlcdc:NG","5.633333","7.1666665","NGAWA"
"unlcd:NGBAD","Badagri",,"unlcdf:1",,"unlcdc:NG",,,"NGBAD"
"unlcd:NGBAM","Bama",,"unlcdf:3","unlcds:NGBO","unlcdc:NG","11.516666","13.683333","NGBAM"
"unlcd:NGBKA","Bakana",,"unlcdf:0",,"unlcdc:NG",,,"NGBKA"
"unlcd:NGBLG","Balogun",,"unlcdf:6","unlcds:NGOY","unlcdc:NG","7.9","3.8333333","NGBLG"
"unlcd:NGBNI","Benin City",,"unlcdf:4",,"unlcdc:NG",,,"NGBNI"
"unlcd:NGBON","Bonny",,"unlcdf:1",,"unlcdc:NG",,,"NGBON"
"unlcd:NGBOT","Bonga",,"unlcdf:6",,"unlcdc:NG","4.5166664","4.7","NGBOT"
"unlcd:NGBRA","Brass",,"unlcdf:1",,"unlcdc:NG",,,"NGBRA"
"unlcd:NGBRN","Borno",,"unlcdf:6","unlcds:NGAD","unlcdc:NG","8.65","12.416667","NGBRN"
"unlcd:NGBUR","Burutu",,"unlcdf:1",,"unlcdc:NG",,,"NGBUR"
"unlcd:NGCBQ","Calabar",,"unlcdf:1, unlcdf:4",,"unlcdc:NG",,,"NGCBQ"
"unlcd:NGDEN","Denema",,"unlcdf:1",,"unlcdc:NG",,,"NGDEN"
"unlcd:NGDKW","Dikwa",,"unlcdf:3","unlcds:NGBO","unlcdc:NG","12.033334","13.916667","NGDKW"
"unlcd:NGDMS","Damasak",,"unlcdf:3","unlcds:NGBO","unlcdc:NG","13.1","12.5","NGDMS"
"unlcd:NGEAT","Ea Terminal",,"unlcdf:1",,"unlcdc:NG","4.7833333","5.2833333","NGEAT"
"unlcd:NGEBM","Ebute Metta",,"unlcdf:3","unlcds:NGLA","unlcdc:NG","6.483333","3.3833332","NGEBM"
"unlcd:NGEBO","Ebok Terminal",,"unlcdf:7",,"unlcdc:NG","4.0833335","8.166667","NGEBO"
"unlcd:NGEGB","Egbeda",,"unlcdf:6","unlcds:NGOY","unlcdc:NG","7.366667","4.05","NGEGB"
"unlcd:NGEKE","Eket",,"unlcdf:1",,"unlcdc:NG",,,"NGEKE"
"unlcd:NGENU","Enugu",,"unlcdf:4",,"unlcdc:NG",,,"NGENU"
"unlcd:NGEOS","Eti-Osa",,"unlcdf:6","unlcds:NGLA","unlcdc:NG",,,"NGEOS"
"unlcd:NGERT","Erha Terminal",,"unlcdf:1, unlcdf:7","unlcds:NGON","unlcdc:NG","5.35","4.35","NGERT"
"unlcd:NGESC","Escravos",,"unlcdf:1",,"unlcdc:NG",,,"NGESC"
"unlcd:NGFLM","Falomo",,"unlcdf:1, unlcdf:3","unlcds:NGLA","unlcdc:NG","6.45","3.4333334","NGFLM"
"unlcd:NGFOR","Forcados",,"unlcdf:1",,"unlcdc:NG",,,"NGFOR"
"unlcd:NGGBA","Ogba",,"unlcdf:3","unlcds:NGED","unlcdc:NG","6.05","6.116667","NGGBA"
