"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:NI8LG","Totogalpa",,"unlcdf:1, unlcdf:6","unlcds:NIMD","unlcdc:NI","13.566667","-86.5","NI8LG"
"unlcd:NIACO","Acoyapa",,"unlcdf:3","unlcds:NICO","unlcdc:NI","11.966666","-85.166664","NIACO"
"unlcd:NIBEF","Bluefields",,"unlcdf:1, unlcdf:4",,"unlcdc:NI",,,"NIBEF"
"unlcd:NIBOA","Boaco",,"unlcdf:3, unlcdf:6","unlcds:NIBO","unlcdc:NI","12.466666","-85.666664","NIBOA"
"unlcd:NIBZA","Bonanza",,"unlcdf:4",,"unlcdc:NI",,,"NIBZA"
"unlcd:NICAP","Camoapa",,"unlcdf:3","unlcds:NIBO","unlcdc:NI","12.383333","-85.51667","NICAP"
"unlcd:NICCG","Chichigalpa",,"unlcdf:3","unlcds:NICI","unlcdc:NI","12.566667","-87.03333","NICCG"
"unlcd:NICDG","Condega",,"unlcdf:3","unlcds:NIES","unlcdc:NI","13.35","-86.4","NICDG"
"unlcd:NICHI","Chinandega",,"unlcdf:3",,"unlcdc:NI",,,"NICHI"
"unlcd:NICIO","Corinto",,"unlcdf:1, unlcdf:5",,"unlcdc:NI",,,"NICIO"
"unlcd:NIDIM","Diriomo",,"unlcdf:3","unlcds:NIGR","unlcdc:NI","11.866667","-86.05","NIDIM"
"unlcd:NIDIR","Diriamba",,"unlcdf:3, unlcdf:6","unlcds:NICA","unlcdc:NI","11.85","-86.23333","NIDIR"
"unlcd:NIDOL","Dolores",,"unlcdf:3","unlcds:NICA","unlcdc:NI","11.85","-86.21667","NIDOL"
"unlcd:NIEJC","El Jicaral",,"unlcdf:6","unlcds:NILE","unlcdc:NI","12.716666","-86.36667","NIEJC"
"unlcd:NIELB","El Bluff",,"unlcdf:1",,"unlcdc:NI",,,"NIELB"
"unlcd:NIELL","El Sauce",,"unlcdf:6","unlcds:NILE","unlcdc:NI","12.883333","-86.53333","NIELL"
"unlcd:NIEST","Estelí","Esteli","unlcdf:3","unlcds:NIES","unlcdc:NI","13.083333","-86.35","NIEST"
"unlcd:NIETU","El Tuma",,"unlcdf:6","unlcds:NIMT","unlcdc:NI","13.066667","-85.75","NIETU"
"unlcd:NIGAT","La Gateada",,"unlcdf:3","unlcds:NICO","unlcdc:NI","12.0","-84.78333","NIGAT"
"unlcd:NIGRA","Granada",,"unlcdf:3","unlcds:NIGR","unlcdc:NI","11.933333","-85.95","NIGRA"
"unlcd:NIJGP","Juigalpa",,"unlcdf:3, unlcdf:6","unlcds:NICO","unlcdc:NI","12.083333","-85.4","NIJGP"
"unlcd:NIJIN","Jinotepe",,"unlcdf:2, unlcdf:3",,"unlcdc:NI","11.85","-86.2","NIJIN"
"unlcd:NIJNO","Jinotega",,"unlcdf:3","unlcds:NIJI","unlcdc:NI","13.1","-86.0","NIJNO"
"unlcd:NIJPA","Jalapa",,"unlcdf:3",,"unlcdc:NI","13.916667","-86.13333","NIJPA"
"unlcd:NILEO","León","Leon","unlcdf:3",,"unlcdc:NI","12.433333","-86.88333","NILEO"
"unlcd:NILIB","La Libertad",,"unlcdf:3","unlcds:NICO","unlcdc:NI","12.216666","-85.166664","NILIB"
"unlcd:NILM8","Las Maderas",,"unlcdf:1, unlcdf:6","unlcds:NIMN","unlcdc:NI","12.433333","-86.03333","NILM8"
"unlcd:NILPC","La Paz Centro",,"unlcdf:3","unlcds:NILE","unlcdc:NI","12.333333","-86.666664","NILPC"
"unlcd:NILTD","La Trinidad",,"unlcdf:3","unlcds:NIES","unlcdc:NI","12.55","-86.183334","NILTD"
"unlcd:NIMAC","Masachapa",,"unlcdf:1","unlcds:NIMN","unlcdc:NI","11.783334","-86.51667","NIMAC"
"unlcd:NIMAE","Mateare",,"unlcdf:3","unlcds:NIMN","unlcdc:NI","12.233334","-86.416664","NIMAE"
