"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:NL2LL","Tweede Exloërmond","Tweede Exloermond","unlcdf:3","unlcds:NLDR","unlcdc:NL","52.916668","6.9666667","NL2LL"
"unlcd:NL5RD","Alteveer",,"unlcdf:3","unlcds:NLDR","unlcdc:NL","52.683334","6.483333","NL5RD"
"unlcd:NL6LN","Oude Niedorp",,"unlcdf:3","unlcds:NLNH","unlcdc:NL","52.716667","4.866667","NL6LN"
"unlcd:NLA2Z","Oud-Alblas",,"unlcdf:1, unlcdf:6","unlcds:NLZH","unlcdc:NL","51.85","4.7","NLA2Z"
"unlcd:NLAAC","Alphen-Chaam",,"unlcdf:3","unlcds:NLNB","unlcdc:NL","51.483334","4.95","NLAAC"
"unlcd:NLAAH","Aa en Hunze",,"unlcdf:3","unlcds:NLDR","unlcdc:NL","53.0","6.7666664","NLAAH"
"unlcd:NLAAL","Aalst",,"unlcdf:1, unlcdf:3","unlcds:NLGE","unlcdc:NL","51.95","5.5333333","NLAAL"
"unlcd:NLAAM","Aalsmeer",,"unlcdf:1",,"unlcdc:NL",,,"NLAAM"
"unlcd:NLAAN","Gaanderen",,"unlcdf:3","unlcds:NLGE","unlcdc:NL","51.933334","6.35","NLAAN"
"unlcd:NLAAR","Aardenburg",,"unlcdf:3",,"unlcdc:NL",,,"NLAAR"
"unlcd:NLABB","Abbekerk",,"unlcdf:3",,"unlcdc:NL",,,"NLABB"
"unlcd:NLABC","Abcoude",,"unlcdf:3",,"unlcdc:NL",,,"NLABC"
"unlcd:NLABE","Abbenes",,"unlcdf:3",,"unlcdc:NL","52.233334","4.5833335","NLABE"
"unlcd:NLABK","Abbenbroek",,"unlcdf:3",,"unlcdc:NL",,,"NLABK"
"unlcd:NLABL","Alblasserdam",,"unlcdf:1",,"unlcdc:NL",,,"NLABL"
"unlcd:NLABN","Albergen",,"unlcdf:3",,"unlcdc:NL",,,"NLABN"
"unlcd:NLACH","Achterveld",,"unlcdf:3","unlcds:NLUT","unlcdc:NL","52.133335","5.5","NLACH"
"unlcd:NLACK","Achtkarspelen",,"unlcdf:3","unlcds:NLFR","unlcdc:NL","53.25","6.15","NLACK"
"unlcd:NLADU","Aduard",,"unlcdf:3","unlcds:NLGR","unlcdc:NL","53.25","6.4666667","NLADU"
"unlcd:NLADV","Aarlanderveen",,"unlcdf:3","unlcds:NLZH","unlcdc:NL","52.133335","4.7333336","NLADV"
"unlcd:NLAED","Ameide",,"unlcdf:3, unlcdf:6","unlcds:NLZH","unlcdc:NL","51.95","4.9666667","NLAED"
"unlcd:NLAEH","Aerdenhout",,"unlcdf:3",,"unlcdc:NL",,,"NLAEH"
"unlcd:NLAER","Almere",,"unlcdf:1, unlcdf:3, unlcdf:6","unlcds:NLFL","unlcdc:NL","52.366665","5.2166667","NLAER"
"unlcd:NLAGT","Abbegaasterketting",,"unlcdf:3","unlcds:NLFR","unlcdc:NL","53.033333","5.5666666","NLAGT"
"unlcd:NLAHO","Achthoven",,"unlcdf:1, unlcdf:3","unlcds:NLUT","unlcdc:NL","52.05","4.9833336","NLAHO"
"unlcd:NLAHZ","Achthuizen",,"unlcdf:3","unlcds:NLZH","unlcdc:NL","51.683334","4.266667","NLAHZ"
"unlcd:NLAIJ","Andijk",,"unlcdf:3",,"unlcdc:NL",,,"NLAIJ"
"unlcd:NLAJM","Anjum",,"unlcdf:3",,"unlcdc:NL",,,"NLAJM"
"unlcd:NLAKK","Almkerk",,"unlcdf:3",,"unlcdc:NL",,,"NLAKK"
"unlcd:NLAKL","Akersloot",,"unlcdf:1",,"unlcdc:NL",,,"NLAKL"
"unlcd:NLAKR","Akkrum",,"unlcdf:3",,"unlcdc:NL",,,"NLAKR"
"unlcd:NLALB","Aalburg",,"unlcdf:3",,"unlcdc:NL",,,"NLALB"
"unlcd:NLALE","Halle",,"unlcdf:3","unlcds:NLGE","unlcdc:NL","51.983334","6.4333334","NLALE"
"unlcd:NLALH","Amstelhoek",,"unlcdf:2, unlcdf:3",,"unlcdc:NL","52.233334","4.8333335","NLALH"
"unlcd:NLALK","Alkmaar",,"unlcdf:1, unlcdf:2, unlcdf:3","unlcds:NLNH","unlcdc:NL","52.633335","4.75","NLALK"
"unlcd:NLALM","Almelo",,"unlcdf:1, unlcdf:2, unlcdf:3","unlcds:NLOV","unlcdc:NL","52.35","6.6666665","NLALM"
"unlcd:NLALW","Allingawier",,"unlcdf:3","unlcds:NLFR","unlcdc:NL","53.05","5.45","NLALW"
"unlcd:NLAMB","Aalsmeerderbrug",,"unlcdf:1, unlcdf:3","unlcds:NLNH","unlcdc:NL","52.266666","4.75","NLAMB"
"unlcd:NLAME","Amersfoort",,"unlcdf:1, unlcdf:2, unlcdf:3",,"unlcdc:NL","52.15","5.383333","NLAME"
"unlcd:NLAML","Ameland",,"unlcdf:1, unlcdf:4",,"unlcdc:NL",,,"NLAML"
"unlcd:NLAMN","Almen",,"unlcdf:6","unlcds:NLGE","unlcdc:NL","52.15","6.3","NLAMN"
