"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:NOAAA","Å i Lofoten","A i Lofoten","unlcdf:1","unlcds:NO18","unlcdc:NO","67.88333","12.983334","NOAAA"
"unlcd:NOAAF","Åfjord","Afjord","unlcdf:1","unlcds:NO16","unlcdc:NO",,,"NOAAF"
"unlcd:NOAAL","Ål","Al","unlcdf:3","unlcds:NO06","unlcdc:NO","60.633335","8.566667","NOAAL"
"unlcd:NOAAN","Årdal","Ardal","unlcdf:1, unlcdf:3","unlcds:NO14","unlcdc:NO",,,"NOAAN"
"unlcd:NOAAS","Ås","As","unlcdf:2, unlcdf:3","unlcds:NO02","unlcdc:NO",,,"NOAAS"
"unlcd:NOAAV","Ålvik","Alvik","unlcdf:1, unlcdf:3","unlcds:NO12","unlcdc:NO","60.416668","6.4166665","NOAAV"
"unlcd:NOABE","Abelnes",,"unlcdf:1, unlcdf:3","unlcds:NO10","unlcdc:NO","58.233334","6.6666665","NOABE"
"unlcd:NOABV","Abelvær","Abelvar","unlcdf:1","unlcds:NO17","unlcdc:NO","64.73333","11.183333","NOABV"
"unlcd:NOADL","Alvdal",,"unlcdf:3","unlcds:NO04","unlcdc:NO","62.1","10.616667","NOADL"
"unlcd:NOADN","Andenes",,"unlcdf:1, unlcdf:3, unlcdf:4","unlcds:NO18","unlcdc:NO","69.316666","16.133333","NOADN"
"unlcd:NOADY","Andøy","Andoy","unlcdf:1","unlcds:NO18","unlcdc:NO",,,"NOADY"
"unlcd:NOAES","Ålesund","Alesund","unlcdf:1, unlcdf:3, unlcdf:4","unlcds:NO15","unlcdc:NO","62.466667","6.15","NOAES"
"unlcd:NOAFS","Anfinnsletta",,"unlcdf:1","unlcds:NO18","unlcdc:NO","68.333336","15.433333","NOAFS"
"unlcd:NOAFT","Agnefest",,"unlcdf:1, unlcdf:3","unlcds:NO10","unlcdc:NO","58.116665","7.0333333","NOAFT"
"unlcd:NOAGD","Agdenes",,"unlcdf:1","unlcds:NO16","unlcdc:NO",,,"NOAGD"
"unlcd:NOAGK","Ågskardet","Agskardet","unlcdf:1","unlcds:NO18","unlcdc:NO","66.71667","13.483334","NOAGK"
"unlcd:NOAGO","Ågotnes","Agotnes","unlcdf:1, unlcdf:3","unlcds:NO12","unlcdc:NO","60.4","5.016667","NOAGO"
"unlcd:NOAHM","Åheim","Aheim","unlcdf:1","unlcds:NO15","unlcdc:NO","62.033333","5.5166664","NOAHM"
"unlcd:NOAHS","Arhus",,"unlcdf:3","unlcds:NO12","unlcdc:NO","60.733334","6.15","NOAHS"
"unlcd:NOAIM","Askim",,"unlcdf:3","unlcds:NO05","unlcdc:NO","60.4","10.45","NOAIM"
"unlcd:NOAKH","Rykkinn",,"unlcdf:6","unlcds:NO02","unlcdc:NO","59.916668","10.466666","NOAKH"
"unlcd:NOAKK","Akkarfjord",,"unlcdf:1","unlcds:NO20","unlcdc:NO","70.78333","23.45","NOAKK"
"unlcd:NOAKL","Akland",,"unlcdf:3","unlcds:NO09","unlcdc:NO","58.733334","9.05","NOAKL"
"unlcd:NOAKM","Åkrehamn","Akrehamn","unlcdf:1","unlcds:NO11","unlcdc:NO","59.25","5.1666665","NOAKM"
"unlcd:NOAKO","Aurskog",,"unlcdf:3","unlcds:NO02","unlcdc:NO","59.916668","11.433333","NOAKO"
"unlcd:NOAKU","Akershus",,"unlcdf:3","unlcds:NO02","unlcdc:NO","60.0","11.0","NOAKU"
"unlcd:NOALE","Ålefjær","Alefjar","unlcdf:1","unlcds:NO10","unlcdc:NO","58.233334","8.016666","NOALE"
"unlcd:NOALF","Alta",,"unlcdf:1, unlcdf:3, unlcdf:4","unlcds:NO20","unlcdc:NO","69.96667","23.233334","NOALF"
"unlcd:NOALG","Ålgård","Algard","unlcdf:3","unlcds:NO11","unlcdc:NO","58.75","5.85","NOALG"
"unlcd:NOALN","Alnabru",,"unlcdf:2, unlcdf:3, unlcdf:6","unlcds:NO03","unlcdc:NO",,,"NOALN"
"unlcd:NOALS","Alstahaug",,"unlcdf:1","unlcds:NO18","unlcdc:NO",,,"NOALS"
"unlcd:NOALV","Alvika",,"unlcdf:1","unlcds:NO15","unlcdc:NO","62.483334","6.383333","NOALV"
"unlcd:NOANB","Arneberg",,"unlcdf:3","unlcds:NO04","unlcdc:NO","60.75","11.216666","NOANB"
"unlcd:NOAND","Åndalsnes","Andalsnes","unlcdf:1, unlcdf:2, unlcdf:3, unlcdf:6","unlcds:NO15","unlcdc:NO","62.566666","7.7","NOAND"
"unlcd:NOANN","Sannidal",,"unlcdf:1, unlcdf:3","unlcds:NO08","unlcdc:NO","58.883335","9.283334","NOANN"
"unlcd:NOANS","Ansnes",,"unlcdf:1","unlcds:NO16","unlcdc:NO","63.633335","9.0","NOANS"
"unlcd:NOANU","Andebu",,"unlcdf:3","unlcds:NO07","unlcdc:NO",,,"NOANU"
"unlcd:NOARD","Årdalstangen","Ardalstangen","unlcdf:1, unlcdf:3","unlcds:NO14","unlcdc:NO","61.233334","7.7","NOARD"
"unlcd:NOARE","Arendal",,"unlcdf:1, unlcdf:2, unlcdf:3","unlcds:NO09","unlcdc:NO","58.45","8.766666","NOARE"
"unlcd:NOARF","Arnafjord",,"unlcdf:1","unlcds:NO14","unlcdc:NO","61.016666","6.383333","NOARF"
"unlcd:NOARH","Årdal - Hjelmeland","Ardal - Hjelmeland","unlcdf:1","unlcds:NO11","unlcdc:NO","59.15","6.1666665","NOARH"
"unlcd:NOARM","Arnøyhamn","Arnoyhamn","unlcdf:1","unlcds:NO19","unlcdc:NO","70.05","20.633333","NOARM"
"unlcd:NOARN","Årnes","Arnes","unlcdf:2, unlcdf:3","unlcds:NO02","unlcdc:NO","60.116665","11.466666","NOARN"
"unlcd:NOARS","Årstein","Arstein","unlcdf:3","unlcds:NO19","unlcdc:NO","68.683334","17.55","NOARS"
"unlcd:NOASH","Austrheim",,"unlcdf:1","unlcds:NO12","unlcdc:NO",,,"NOASH"
"unlcd:NOASK","Asker",,"unlcdf:3","unlcds:NO02","unlcdc:NO",,,"NOASK"
"unlcd:NOASL","Askvoll",,"unlcdf:1","unlcds:NO14","unlcdc:NO",,,"NOASL"
"unlcd:NOASM","Askim",,"unlcdf:3","unlcds:NO01","unlcdc:NO","59.583332","11.166667","NOASM"
"unlcd:NOASR","Åna-Sira","Ana-Sira","unlcdf:3","unlcds:NO11","unlcdc:NO","58.3","6.383333","NOASR"
"unlcd:NOASV","Austevoll",,"unlcdf:1","unlcds:NO12","unlcdc:NO","60.1","5.15","NOASV"
"unlcd:NOASY","Askøy","Askoy","unlcdf:1","unlcds:NO12","unlcdc:NO",,,"NOASY"
"unlcd:NOATA","Åtangen","Atangen","unlcdf:1","unlcds:NO08","unlcdc:NO","58.866665","9.35","NOATA"
"unlcd:NOATL","Atløy","Atloy","unlcdf:1","unlcds:NO14","unlcdc:NO","61.35","4.883333","NOATL"
"unlcd:NOATM","Austmarka",,"unlcdf:3","unlcds:NO12","unlcdc:NO","60.616665","5.1666665","NOATM"
"unlcd:NOAUA","Vatnestrøm","Vatnestrom","unlcdf:3","unlcds:NO09","unlcdc:NO","58.416668","8.05","NOAUA"
"unlcd:NOAUE","Aure",,"unlcdf:1","unlcds:NO15","unlcdc:NO","63.266666","8.516666","NOAUE"
"unlcd:NOAUK","Aukra",,"unlcdf:1","unlcds:NO15","unlcdc:NO","62.816666","6.9","NOAUK"
"unlcd:NOAUL","Aurland",,"unlcdf:1","unlcds:NO14","unlcdc:NO","60.9","7.1833334","NOAUL"
"unlcd:NOAUS","Austvika",,"unlcdf:1","unlcds:NO18","unlcdc:NO","66.183334","13.233334","NOAUS"
"unlcd:NOAVA","Avaldsnes",,"unlcdf:1, unlcdf:3","unlcds:NO11","unlcdc:NO","59.35","5.266667","NOAVA"
"unlcd:NOAVE","Averøy","Averoy","unlcdf:1","unlcds:NO15","unlcdc:NO","63.05","7.6666665","NOAVE"
"unlcd:NOAVG","Alsvåg","Alsvag","unlcdf:3, unlcdf:6","unlcds:NO18","unlcdc:NO","68.9","15.283334","NOAVG"
"unlcd:NOBAF","Balsfjord",,"unlcdf:1","unlcds:NO19","unlcdc:NO","69.23333","19.233334","NOBAF"
"unlcd:NOBAK","Barkåker","Barkaker","unlcdf:3","unlcds:NO07","unlcdc:NO",,,"NOBAK"
"unlcd:NOBAL","Båly","Baly","unlcdf:1","unlcds:NO10","unlcdc:NO","58.033333","7.15","NOBAL"
"unlcd:NOBAM","Bamble",,"unlcdf:1","unlcds:NO08","unlcdc:NO",,,"NOBAM"
"unlcd:NOBAR","Bærum","Barum","unlcdf:1, unlcdf:3","unlcds:NO02","unlcdc:NO",,,"NOBAR"
"unlcd:NOBBG","Bosberg",,"unlcdf:3","unlcds:NO16","unlcdc:NO","63.416668","10.183333","NOBBG"
"unlcd:NOBBU","Brandbu",,"unlcdf:3","unlcds:NO05","unlcdc:NO","60.433334","10.466666","NOBBU"
"unlcd:NOBDD","Badderen",,"unlcdf:3","unlcds:NO19","unlcdc:NO","69.85","22.033333","NOBDD"
"unlcd:NOBDN","Blomsterdalen",,"unlcdf:3","unlcds:NO12","unlcdc:NO","60.266666","5.25","NOBDN"
"unlcd:NOBDU","Bardufoss",,"unlcdf:4","unlcds:NO19","unlcdc:NO",,,"NOBDU"
"unlcd:NOBEJ","Beiarn",,"unlcdf:1","unlcds:NO18","unlcdc:NO",,,"NOBEJ"
"unlcd:NOBEL","Bellvika",,"unlcdf:1","unlcds:NO19","unlcdc:NO","69.78333","18.766666","NOBEL"
"unlcd:NOBER","Berg",,"unlcdf:1","unlcds:NO19","unlcdc:NO",,,"NOBER"
"unlcd:NOBFJ","Bergsfjord",,"unlcdf:1","unlcds:NO20","unlcdc:NO","70.25","21.783333","NOBFJ"
"unlcd:NOBGN","Bergneset",,"unlcdf:1","unlcds:NO19","unlcdc:NO","69.25","19.35","NOBGN"
"unlcd:NOBGO","Bergen",,"unlcdf:1, unlcdf:2, unlcdf:3, unlcdf:4","unlcds:NO12","unlcdc:NO","60.383335","5.3166666","NOBGO"
