"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:NZABY","Albany",,"unlcdf:3","unlcds:NZAUK","unlcdc:NZ","-36.716667","174.68333","NZABY"
"unlcd:NZAHU","Ahuriri",,"unlcdf:3","unlcds:NZHKB","unlcdc:NZ","-39.483334","176.9","NZAHU"
"unlcd:NZAIA","Rakaia",,"unlcdf:3","unlcds:NZCAN","unlcdc:NZ","-43.75","172.01666","NZAIA"
"unlcd:NZAKA","Akaroa",,"unlcdf:1","unlcds:NZCAN","unlcdc:NZ","-43.8","172.95","NZAKA"
"unlcd:NZAKL","Auckland",,"unlcdf:1, unlcdf:2, unlcdf:3, unlcdf:4, unlcdf:5","unlcds:NZAUK","unlcdc:NZ","-36.833332","174.8","NZAKL"
"unlcd:NZALR","Alexandra",,"unlcdf:4","unlcds:NZOTA","unlcdc:NZ",,,"NZALR"
"unlcd:NZAMB","Amberley",,"unlcdf:3","unlcds:NZCAN","unlcdc:NZ","-43.166668","172.73334","NZAMB"
"unlcd:NZAMZ","Ardmore",,"unlcdf:4","unlcds:NZAUK","unlcdc:NZ",,,"NZAMZ"
"unlcd:NZANU","Aranui",,"unlcdf:3","unlcds:NZCAN","unlcdc:NZ","-43.516666","172.7","NZANU"
"unlcd:NZART","Arrowtown",,"unlcdf:3","unlcds:NZOTA","unlcdc:NZ","-44.933334","168.83333","NZART"
"unlcd:NZASG","Ashburton",,"unlcdf:3, unlcdf:4","unlcds:NZCAN","unlcdc:NZ","-43.916668","171.75","NZASG"
"unlcd:NZAUC","Howick",,"unlcdf:3","unlcds:NZAUK","unlcdc:NZ","-36.883335","174.93333","NZAUC"
"unlcd:NZAVA","Avalon",,"unlcdf:3","unlcds:NZWGN","unlcdc:NZ","-41.183334","174.93333","NZAVA"
"unlcd:NZAVD","Avondale",,"unlcdf:3","unlcds:NZAUK","unlcdc:NZ","-36.883335","174.7","NZAVD"
"unlcd:NZAVH","Avonhead",,"unlcdf:3","unlcds:NZCAN","unlcdc:NZ","-43.516666","172.56667","NZAVH"
"unlcd:NZAWK","Arapuni",,"unlcdf:3","unlcds:NZWKO","unlcdc:NZ","-38.066666","175.65","NZAWK"
"unlcd:NZAWT","Awatoto",,"unlcdf:3","unlcds:NZHKB","unlcdc:NZ","-39.55","176.9","NZAWT"
"unlcd:NZBAL","Balclutha",,"unlcdf:3","unlcds:NZOTA","unlcdc:NZ","-46.233334","169.73334","NZBAL"
"unlcd:NZBEL","Belfast",,"unlcdf:3","unlcds:NZCAN","unlcdc:NZ","-43.433334","172.63333","NZBEL"
"unlcd:NZBHE","Blenheim",,"unlcdf:3, unlcdf:4","unlcds:NZMBH","unlcdc:NZ","-41.516666","173.96666","NZBHE"
"unlcd:NZBKB","Bannockburn",,"unlcdf:3","unlcds:NZOTA","unlcdc:NZ","-45.083332","169.16667","NZBKB"
"unlcd:NZBLU","Bluff",,"unlcdf:1, unlcdf:2, unlcdf:3","unlcds:NZSTL","unlcdc:NZ","-46.6","168.31667","NZBLU"
"unlcd:NZBMT","Belmont",,"unlcdf:3","unlcds:NZAUK","unlcdc:NZ","-36.8","174.78334","NZBMT"
"unlcd:NZBMY","Bromley",,"unlcdf:3","unlcds:NZCAN","unlcdc:NZ","-43.55","172.7","NZBMY"
"unlcd:NZBPK","Opotiki",,"unlcdf:6","unlcds:NZBOP","unlcdc:NZ","-38.083332","177.28334","NZBPK"
"unlcd:NZBUL","Bulls",,"unlcdf:3","unlcds:NZMWT","unlcdc:NZ","-40.166668","175.38333","NZBUL"
"unlcd:NZBUR","Burnham",,"unlcdf:3","unlcds:NZCAN","unlcdc:NZ","-43.616665","172.31667","NZBUR"
"unlcd:NZBUW","Burnham Wharf",,"unlcdf:1","unlcds:NZWGN","unlcdc:NZ","-41.3","174.8","NZBUW"
"unlcd:NZBWD","Burwood",,"unlcdf:3","unlcds:NZCAN","unlcdc:NZ","-43.5","172.7","NZBWD"
"unlcd:NZBYW","Bayswater",,"unlcdf:3","unlcds:NZAUK","unlcdc:NZ","-36.8","174.76666","NZBYW"
"unlcd:NZC4W","Greendale",,"unlcdf:3","unlcds:NZCAN","unlcdc:NZ","-43.583332","172.08333","NZC4W"
"unlcd:NZCFT","Clifton",,"unlcdf:6","unlcds:NZCAN","unlcdc:NZ","-43.55","172.75","NZCFT"
"unlcd:NZCGE","Cambridge",,"unlcdf:3","unlcds:NZWKO","unlcdc:NZ",,,"NZCGE"
"unlcd:NZCHC","Christchurch",,"unlcdf:3, unlcdf:4","unlcds:NZCAN","unlcdc:NZ","-43.533333","172.63333","NZCHC"
"unlcd:NZCHE","Cheviot",,"unlcdf:3","unlcds:NZCAN","unlcdc:NZ","-42.816666","173.26666","NZCHE"
"unlcd:NZCHT","Chatham Island",,"unlcdf:4","unlcds:NZCAN","unlcdc:NZ",,,"NZCHT"
"unlcd:NZCLY","Clyde",,"unlcdf:3","unlcds:NZOTA","unlcdc:NZ","-45.183334","169.31667","NZCLY"
"unlcd:NZCMV","Coromandel",,"unlcdf:4","unlcds:NZWKO","unlcdc:NZ","-36.766666","175.5","NZCMV"
"unlcd:NZCRO","Cromwell",,"unlcdf:3","unlcds:NZOTA","unlcdc:NZ","-45.05","169.23334","NZCRO"
"unlcd:NZCSA","Chelsea",,"unlcdf:1, unlcdf:3","unlcds:NZAUK","unlcdc:NZ","-36.816666","174.71666","NZCSA"
"unlcd:NZCTN","Carterton",,"unlcdf:3","unlcds:NZWGN","unlcdc:NZ","-41.016666","175.55","NZCTN"
"unlcd:NZDAN","Dannevirke",,"unlcdf:2, unlcdf:3","unlcds:NZNTL","unlcdc:NZ","-40.2","176.08333","NZDAN"
"unlcd:NZDEV","Devonport",,"unlcdf:1","unlcds:NZAUK","unlcdc:NZ","-36.833332","174.78334","NZDEV"
"unlcd:NZDGO","Doubtful Sound",,"unlcdf:3","unlcds:NZSTL","unlcdc:NZ","-45.283333","166.85","NZDGO"
"unlcd:NZDGR","Dargaville",,"unlcdf:3, unlcdf:4","unlcds:NZNTL","unlcdc:NZ","-35.933334","173.88333","NZDGR"
"unlcd:NZDPC","Deep Cove",,"unlcdf:1","unlcds:NZSTL","unlcdc:NZ","-45.45","167.15","NZDPC"
"unlcd:NZDRR","Drury",,"unlcdf:6","unlcds:NZAUK","unlcdc:NZ","-37.1","174.95","NZDRR"
"unlcd:NZDSB","Days Bay",,"unlcdf:3","unlcds:NZWGN","unlcdc:NZ","-41.266666","174.91667","NZDSB"
"unlcd:NZDUD","Dunedin",,"unlcdf:2, unlcdf:3, unlcdf:4","unlcds:NZOTA","unlcdc:NZ","-45.866665","170.5","NZDUD"
"unlcd:NZDUS","Dusky Sound",,"unlcdf:0","unlcds:NZSTL","unlcdc:NZ","-45.783333","166.46666","NZDUS"
"unlcd:NZEAC","Earnscleugh",,"unlcdf:3","unlcds:NZOTA","unlcdc:NZ","-45.216667","169.31667","NZEAC"
"unlcd:NZEDC","Edgecumbe",,"unlcdf:3","unlcds:NZBOP","unlcdc:NZ","-37.966667","176.81667","NZEDC"
"unlcd:NZELM","Eltham",,"unlcdf:3","unlcds:NZTKI","unlcdc:NZ","-39.433334","174.3","NZELM"
"unlcd:NZERH","Edendale",,"unlcdf:2, unlcdf:3","unlcds:NZSTL","unlcdc:NZ","-46.316666","168.78334","NZERH"
"unlcd:NZETM","East Tamaki",,"unlcdf:3","unlcds:NZAUK","unlcdc:NZ","-36.95","174.9","NZETM"
"unlcd:NZFDT","Fendalton",,"unlcdf:3","unlcds:NZCAN","unlcdc:NZ","-43.516666","172.6","NZFDT"
