"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:OMALA","Al Azaiba",,"unlcdf:3","unlcds:OMMA","unlcdc:OM","-23.6","58.533333","OMALA"
"unlcd:OMAMR","Al'Amrat",,"unlcdf:3","unlcds:OMMA","unlcdc:OM","23.516666","58.483334","OMAMR"
"unlcd:OMAMZ","Al Mazunah",,"unlcdf:3, unlcdf:6","unlcds:OMZU","unlcdc:OM","17.833334","52.633335","OMAMZ"
"unlcd:OMBID","Bidbid",,"unlcdf:3","unlcds:OMDA","unlcdc:OM","23.4","58.116665","OMBID"
"unlcd:OMBKK","Barka",,"unlcdf:3","unlcds:OMBA","unlcdc:OM","23.7","57.55","OMBKK"
"unlcd:OMBYB","Dibaa",,"unlcdf:4",,"unlcdc:OM",,,"OMBYB"
"unlcd:OMDQM","Duqm",,"unlcdf:1, unlcdf:3","unlcds:OMWU","unlcdc:OM","19.65","57.7","OMDQM"
"unlcd:OMFAH","Fahal",,"unlcdf:1","unlcds:OMMA","unlcdc:OM","23.683332","58.5","OMFAH"
"unlcd:OMKDP","Khazaen",,"unlcdf:3, unlcdf:6","unlcds:OMBJ","unlcdc:OM","23.55","57.8","OMKDP"
"unlcd:OMKHS","Khasab",,"unlcdf:4",,"unlcdc:OM",,,"OMKHS"
"unlcd:OMMCT","Muscat",,"unlcdf:1, unlcdf:4, unlcdf:5","unlcds:OMMA","unlcdc:OM","23.6","58.583332","OMMCT"
"unlcd:OMMFH","Mina' al Fahl",,"unlcdf:1","unlcds:OMMA","unlcdc:OM","23.633333","58.516666","OMMFH"
"unlcd:OMMNQ","Mina' Qabus",,"unlcdf:3","unlcds:OMMA","unlcdc:OM","23.616667","58.566666","OMMNQ"
"unlcd:OMMSH","Masirah",,"unlcdf:4","unlcds:OMSH","unlcdc:OM","20.416666","58.833332","OMMSH"
"unlcd:OMMUT","Muthra",,"unlcdf:1",,"unlcdc:OM",,,"OMMUT"
"unlcd:OMNIZ","Nizwa",,"unlcdf:3","unlcds:OMDA","unlcdc:OM","22.933332","57.533333","OMNIZ"
"unlcd:OMOFC","Sur",,"unlcdf:1","unlcds:OMSJ","unlcdc:OM","22.65","59.433334","OMOFC"
"unlcd:OMOMM","Marmul",,"unlcdf:4",,"unlcdc:OM",,,"OMOMM"
"unlcd:OMOPQ","Port Qaboos",,"unlcdf:1",,"unlcdc:OM",,,"OMOPQ"
"unlcd:OMQAL","Qalhat",,"unlcdf:1, unlcdf:3","unlcds:OMSH","unlcdc:OM","22.7","59.366665","OMQAL"
"unlcd:OMQLM","Qarn Alam",,"unlcdf:3","unlcds:OMWU","unlcdc:OM","21.3","57.083332","OMQLM"
"unlcd:OMQUO","Quoin Island",,"unlcdf:1",,"unlcdc:OM","26.583334","56.516666","OMQUO"
"unlcd:OMQYT","Qurayyat",,"unlcdf:3","unlcds:OMMA","unlcdc:OM","23.316668","58.9","OMQYT"
"unlcd:OMR2H","Ghurah",,"unlcdf:3","unlcds:OMBA","unlcdc:OM","23.516666","57.183334","OMR2H"
"unlcd:OMRAY","Raysut",,"unlcdf:1",,"unlcdc:OM",,,"OMRAY"
"unlcd:OMRMB","Buraimi",,"unlcdf:4",,"unlcdc:OM",,,"OMRMB"
"unlcd:OMRUS","Rusayl",,"unlcdf:3","unlcds:OMMA","unlcdc:OM","23.533333","58.183334","OMRUS"
"unlcd:OMRWI","Ruwi",,"unlcdf:0",,"unlcdc:OM",,,"OMRWI"
"unlcd:OMSAF","Safa",,"unlcdf:3","unlcds:OMDA","unlcdc:OM","23.783333","56.683334","OMSAF"
"unlcd:OMSEE","Seeb",,"unlcdf:3",,"unlcdc:OM","23.583334","58.283333","OMSEE"
"unlcd:OMSHI","Shinas",,"unlcdf:1","unlcds:OMBS","unlcdc:OM","24.733334","56.466667","OMSHI"
"unlcd:OMSLL","Salalah",,"unlcdf:1, unlcdf:4",,"unlcdc:OM",,,"OMSLL"
"unlcd:OMSOH","Sohar",,"unlcdf:1",,"unlcdc:OM",,,"OMSOH"
"unlcd:OMSTQ","Mina Sultan Qaboos, Muscat",,"unlcdf:1, unlcdf:3",,"unlcdc:OM","23.616667","58.55","OMSTQ"
"unlcd:OMSUH","Sur",,"unlcdf:4",,"unlcdc:OM",,,"OMSUH"
"unlcd:OMSUL","Port Sultan",,"unlcdf:1",,"unlcdc:OM","23.616667","58.633335","OMSUL"
"unlcd:OMSUW","Al-Suwaiq",,"unlcdf:1","unlcds:OMBJ","unlcdc:OM","23.85","57.433334","OMSUW"
"unlcd:OMTTH","Thumrait",,"unlcdf:3, unlcdf:4",,"unlcdc:OM",,,"OMTTH"
