"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:PAABA","Agua Buena",,"unlcdf:3, unlcdf:6","unlcds:PA7","unlcdc:PA","7.8166666","-80.4","PAABA"
"unlcd:PAABN","Agua Buena, Tonosi",,"unlcdf:3","unlcds:PA7","unlcdc:PA","7.45","-80.35","PAABN"
"unlcd:PAABQ","Alto Boquete",,"unlcdf:3","unlcds:PA4","unlcdc:PA","8.75","-82.433334","PAABQ"
"unlcd:PAACH","Achiote",,"unlcdf:3","unlcds:PA3","unlcdc:PA","9.216666","-80.01667","PAACH"
"unlcd:PAACO","Ancon",,"unlcdf:1, unlcdf:3","unlcds:PA8","unlcdc:PA","8.966666","-79.55","PAACO"
"unlcd:PAACU","Achutupo",,"unlcdf:4",,"unlcdc:PA",,,"PAACU"
"unlcd:PAADG","Altos de Güera","Altos de Guera","unlcdf:3","unlcds:PA7","unlcdc:PA","7.5333333","-80.63333","PAADG"
"unlcd:PAADZ","Alcalde Díaz","Alcalde Diaz","unlcdf:3","unlcds:PA8","unlcdc:PA","9.116667","-79.55","PAADZ"
"unlcd:PAAGD","Aguadulce",,"unlcdf:1",,"unlcdc:PA",,,"PAAGD"
"unlcd:PAAGF","Agua Fria",,"unlcdf:3","unlcds:PA5","unlcdc:PA","7.4166665","-80.816666","PAAGF"
"unlcd:PAAIL","Ailigandi",,"unlcdf:4",,"unlcdc:PA",,,"PAAIL"
"unlcd:PAALA","Alanje",,"unlcdf:3","unlcds:PA4","unlcdc:PA","8.4","-82.55","PAALA"
"unlcd:PAAMA","Arosemena",,"unlcdf:3","unlcds:PA9","unlcdc:PA","8.966666","-79.95","PAAMA"
"unlcd:PAAMD","Amador",,"unlcdf:3","unlcds:PA9","unlcdc:PA","9.066667","-79.9","PAAMD"
"unlcd:PAAML","Puerto Armuelles",,"unlcdf:1, unlcdf:4","unlcds:PA4","unlcdc:PA",,,"PAAML"
"unlcd:PAANT","Antón","Anton","unlcdf:3","unlcds:PA2","unlcdc:PA","8.4","-80.26667","PAANT"
"unlcd:PAARD","Howard",,"unlcdf:6","unlcds:PA8","unlcdc:PA","8.916667","-79.6","PAARD"
"unlcd:PAARR","Arraiján","Arraijan","unlcdf:3","unlcds:PA8","unlcdc:PA","8.95","-79.65","PAARR"
"unlcd:PAARS","Arenas",,"unlcdf:3","unlcds:PA9","unlcdc:PA","7.366667","-80.85","PAARS"
"unlcd:PAASA","Arenosa",,"unlcdf:3","unlcds:PA8","unlcdc:PA","9.033334","-79.95","PAASA"
"unlcd:PAATA","Atalaya",,"unlcdf:3","unlcds:PA9","unlcdc:PA","8.05","-80.933334","PAATA"
"unlcd:PABAC","Baco",,"unlcdf:3","unlcds:PA4","unlcdc:PA","8.066667","-82.86667","PABAC"
"unlcd:PABAG","Bágala","Bagala","unlcdf:3","unlcds:PA4","unlcdc:PA","8.466666","-82.53333","PABAG"
"unlcd:PABAS","Buenos Aires",,"unlcdf:3","unlcds:PA9","unlcdc:PA","8.633333","-79.95","PABAS"
"unlcd:PABAY","Bayano",,"unlcdf:1, unlcdf:3","unlcds:PA7","unlcdc:PA","7.633333","-80.38333","PABAY"
"unlcd:PABCC","Boca Chica",,"unlcdf:1, unlcdf:3","unlcds:PA4","unlcdc:PA","8.216666","-82.21667","PABCC"
"unlcd:PABCL","Bajo Corral",,"unlcdf:3","unlcds:PA7","unlcdc:PA","7.6","-80.26667","PABCL"
"unlcd:PABDC","Boca de Cupe",,"unlcdf:3","unlcds:PA5","unlcdc:PA","8.05","-77.583336","PABDC"
"unlcd:PABDM","Boca del Monte",,"unlcdf:3","unlcds:PA4","unlcdc:PA","8.35","-82.11667","PABDM"
"unlcd:PABEL","Bella Vista",,"unlcdf:3",,"unlcdc:PA","8.566667","-80.183334","PABEL"
"unlcd:PABFQ","Bahía Piña","Bahia Pina","unlcdf:4","unlcds:PA5","unlcdc:PA","7.5666666","-78.2","PABFQ"
"unlcd:PABFS","Belisario Frias",,"unlcdf:6","unlcds:PA8","unlcdc:PA","9.066667","-79.48333","PABFS"
"unlcd:PABGA","Bajos de Güera","Bajos de Guera","unlcdf:3","unlcds:PA7","unlcdc:PA","7.55","-80.61667","PABGA"
"unlcd:PABHH","Bahía Honda","Bahia Honda","unlcdf:3","unlcds:PA7","unlcdc:PA","7.6833334","-80.45","PABHH"
"unlcd:PABHP","Bahía Honda","Bahia Honda","unlcdf:3","unlcds:PA10","unlcdc:PA","7.75","-81.51667","PABHP"
"unlcd:PABJG","Bijagual",,"unlcdf:3","unlcds:PA4","unlcdc:PA","8.516666","-82.35","PABJG"
"unlcd:PABJO","Bejuco",,"unlcdf:3","unlcds:PA9","unlcdc:PA","8.6","-79.88333","PABJO"
"unlcd:PABJS","Brujas",,"unlcdf:3","unlcds:PA8","unlcdc:PA","8.583333","-78.51667","PABJS"
"unlcd:PABLB","Balboa",,"unlcdf:1",,"unlcdc:PA",,,"PABLB"
"unlcd:PABNN","Breñón","Brenon","unlcdf:3","unlcds:PA4","unlcdc:PA","8.633333","-82.816666","PABNN"
"unlcd:PABNZ","Barnizal",,"unlcdf:3","unlcds:PA10","unlcdc:PA","8.416667","-80.76667","PABNZ"
"unlcd:PABOC","Bocas del Toro",,"unlcdf:1, unlcdf:3, unlcdf:4","unlcds:PA1","unlcdc:PA","9.333333","-82.23333","PABOC"
"unlcd:PABOQ","Boquerón","Boqueron","unlcdf:3","unlcds:PA4","unlcdc:PA","9.35","-79.566666","PABOQ"
"unlcd:PABQT","Boquete",,"unlcdf:3",,"unlcdc:PA","8.766666","-82.433334","PABQT"
"unlcd:PABST","Bastimentos",,"unlcdf:3","unlcds:PA1","unlcdc:PA","9.35","-82.2","PABST"
"unlcd:PABUS","Barrios Unidos",,"unlcdf:3","unlcds:PA2","unlcdc:PA","8.2","-80.51667","PABUS"
"unlcd:PABVS","Bisvalles",,"unlcdf:3","unlcds:PA10","unlcdc:PA","8.166667","-81.21667","PABVS"
"unlcd:PACAM","Caimito",,"unlcdf:3","unlcds:PA9","unlcdc:PA","8.816667","-79.95","PACAM"
"unlcd:PACAP","Capira",,"unlcdf:3","unlcds:PA9","unlcdc:PA","8.75","-79.88333","PACAP"
"unlcd:PACAR","La Carrasquilla",,"unlcdf:3",,"unlcdc:PA","8.983334","-79.51667","PACAR"
"unlcd:PACBA","Cabuya",,"unlcdf:3","unlcds:PA9","unlcdc:PA","8.583333","-79.916664","PACBA"
"unlcd:PACBC","Cebaco",,"unlcdf:3","unlcds:PA10","unlcdc:PA","7.5666666","-81.066666","PACBC"
"unlcd:PACBL","Caballero",,"unlcdf:3","unlcds:PA2","unlcdc:PA","8.55","-80.2","PACBL"
"unlcd:PACCA","Cerro de Casa",,"unlcdf:3","unlcds:PA10","unlcdc:PA","8.116667","-81.55","PACCA"
"unlcd:PACCG","Cochigro",,"unlcdf:3","unlcds:PA1","unlcdc:PA","9.3","-82.55","PACCG"
"unlcd:PACCH","Cauchero",,"unlcdf:3","unlcds:PA1","unlcdc:PA","9.15","-82.26667","PACCH"
"unlcd:PACCL","Coclé","Cocle","unlcdf:3","unlcds:PA2","unlcdc:PA","8.45","-80.433334","PACCL"
"unlcd:PACCN","Coclé del Norte","Cocle del Norte","unlcdf:3","unlcds:PA3","unlcdc:PA","9.083333","-80.583336","PACCN"
"unlcd:PACCO","El Coco",,"unlcdf:3","unlcds:PA2","unlcdc:PA","8.4","-80.35","PACCO"
"unlcd:PACCQ","Cacique",,"unlcdf:3","unlcds:PA3","unlcdc:PA","9.616667","-79.61667","PACCQ"
"unlcd:PACDE","Caledonia",,"unlcdf:4",,"unlcdc:PA",,,"PACDE"
"unlcd:PACDL","Canto del Llano",,"unlcdf:3","unlcds:PA10","unlcdc:PA","8.116667","-80.96667","PACDL"
"unlcd:PACDN","Catorce De Noviembre",,"unlcdf:3","unlcds:PA10","unlcdc:PA","7.9333334","-81.1","PACDN"
"unlcd:PACFL","Corral Falso",,"unlcdf:3","unlcds:PA10","unlcdc:PA","8.866667","-79.71667","PACFL"
"unlcd:PACFZ","Colón Free Zone","Colon Free Zone","unlcdf:3","unlcds:PA3","unlcdc:PA","9.35","-79.9","PACFZ"
"unlcd:PACGA","Chiguirí Arriba","Chiguiri Arriba","unlcdf:3","unlcds:PA2","unlcdc:PA","8.666667","-80.183334","PACGA"
"unlcd:PACGO","Canta Gallo",,"unlcdf:3","unlcds:PA4","unlcdc:PA","8.35","-82.61667","PACGO"
"unlcd:PACGS","Cañas Gordas","Canas Gordas","unlcdf:3","unlcds:PA4","unlcdc:PA","8.733334","-82.9","PACGS"
"unlcd:PACHA","Charco Azul",,"unlcdf:1",,"unlcdc:PA",,,"PACHA"
"unlcd:PACHB","Chilibre",,"unlcdf:3","unlcds:PA1","unlcdc:PA","9.166667","-79.61667","PACHB"
"unlcd:PACHC","Chicá","Chica","unlcdf:3","unlcds:PA9","unlcdc:PA","8.666667","-79.933334","PACHC"
"unlcd:PACHE","Chepo",,"unlcdf:3","unlcds:PA7","unlcdc:PA","9.166667","-79.1","PACHE"
"unlcd:PACHG","Chiriquí Grande","Chiriqui Grande","unlcdf:1, unlcdf:3",,"unlcdc:PA","8.95","-82.11667","PACHG"
"unlcd:PACHI","Chilibre",,"unlcdf:3","unlcds:PA8","unlcdc:PA","9.15","-79.61667","PACHI"
"unlcd:PACHM","Chame",,"unlcdf:3","unlcds:PA9","unlcdc:PA","8.583333","-79.88333","PACHM"
"unlcd:PACHN","Chimán","Chiman","unlcdf:3","unlcds:PA8","unlcdc:PA","8.716666","-78.63333","PACHN"
"unlcd:PACHO","Chepo",,"unlcdf:3","unlcds:PA6","unlcdc:PA","7.7333336","-80.816666","PACHO"
"unlcd:PACHP","Chepillo",,"unlcdf:3","unlcds:PA8","unlcdc:PA","8.366667","-78.833336","PACHP"
"unlcd:PACHQ","Chiriquí","Chiriqui","unlcdf:3","unlcds:PA4","unlcdc:PA","9.383333","-82.333336","PACHQ"
"unlcd:PACHX","Changuinola",,"unlcdf:3, unlcdf:4","unlcds:PA1","unlcdc:PA",,,"PACHX"
"unlcd:PACLA","Calidonia",,"unlcdf:3","unlcds:PA10","unlcdc:PA","7.95","-81.38333","PACLA"
"unlcd:PACLB","Calobre",,"unlcdf:3","unlcds:PA9","unlcdc:PA","8.316667","-80.85","PACLB"
"unlcd:PACLD","Caldera",,"unlcdf:3","unlcds:PA4","unlcdc:PA","8.65","-82.38333","PACLD"
"unlcd:PACLG","Cerro Largo",,"unlcdf:3","unlcds:PA6","unlcdc:PA","7.8333335","-80.833336","PACLG"
"unlcd:PACLI","Cocoli",,"unlcdf:3","unlcds:PA8","unlcdc:PA","8.983334","-79.583336","PACLI"
"unlcd:PACLS","Cirí de Los Sotos","Ciri de Los Sotos","unlcdf:3","unlcds:PA9","unlcdc:PA","8.966666","-80.083336","PACLS"
"unlcd:PACLV","Calovébora","Calovebora","unlcdf:3","unlcds:PA10","unlcdc:PA","8.8","-81.21667","PACLV"
"unlcd:PACMB","Cambutal",,"unlcdf:3","unlcds:PA7","unlcdc:PA","7.266667","-80.48333","PACMB"
"unlcd:PACMG","Camogantí","Camoganti","unlcdf:3","unlcds:PA5","unlcdc:PA","8.133333","-77.88333","PACMG"
"unlcd:PACML","Chumical",,"unlcdf:3","unlcds:PA6","unlcdc:PA","8.5","-82.53333","PACML"
"unlcd:PACMO","Cermeño","Cermeno","unlcdf:3","unlcds:PA9","unlcdc:PA","8.733334","-79.85","PACMO"
"unlcd:PACMP","Campana",,"unlcdf:3","unlcds:PA9","unlcdc:PA","8.716666","-79.9","PACMP"
"unlcd:PACMT","Caimitillo",,"unlcdf:3","unlcds:PA8","unlcdc:PA","9.15","-79.53333","PACMT"
"unlcd:PACNS","Cañas","Canas","unlcdf:3","unlcds:PA7","unlcdc:PA","7.45","-80.26667","PACNS"
"unlcd:PACNT","Cañita","Canita","unlcdf:3","unlcds:PA8","unlcdc:PA","9.2","-78.86667","PACNT"
"unlcd:PACNV","Cañaveral","Canaveral","unlcdf:3","unlcds:PA2","unlcdc:PA","8.516666","-80.433334","PACNV"
"unlcd:PACON","Buena Vista",,"unlcdf:3","unlcds:PA3","unlcdc:PA","9.266666","-79.683334","PACON"
"unlcd:PACOR","Playa Coronado",,"unlcdf:3","unlcds:PA8","unlcdc:PA","8.516666","-79.88333","PACOR"
"unlcd:PACOZ","Corozal",,"unlcdf:3","unlcds:PA10","unlcdc:PA","8.083333","-81.433334","PACOZ"
"unlcd:PACPA","Cerro Punta",,"unlcdf:3","unlcds:PA4","unlcdc:PA","8.85","-82.566666","PACPA"
"unlcd:PACPL","Capellanía","Capellania","unlcdf:3","unlcds:PA2","unlcdc:PA","8.3","-80.55","PACPL"
