"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:PEAB4","Abancay",,"unlcdf:2, unlcdf:3","unlcds:PEAPU","unlcdc:PE","-13.633333","-72.86667","PEAB4"
"unlcd:PEACA","Acarí","Acari","unlcdf:3","unlcds:PEARE","unlcdc:PE","-15.416667","-74.6","PEACA"
"unlcd:PEACB","Acobamba",,"unlcdf:3","unlcds:PEHUV","unlcdc:PE","-12.833333","-74.566666","PEACB"
"unlcd:PEACO","Acomayo",,"unlcdf:3","unlcds:PECUS","unlcdc:PE","-13.916667","-71.666664","PEACO"
"unlcd:PEAIJ","Aija",,"unlcdf:3","unlcds:PEANC","unlcdc:PE","-9.766666","-77.63333","PEAIJ"
"unlcd:PEALD","Alerta",,"unlcdf:4",,"unlcdc:PE",,,"PEALD"
"unlcd:PEANC","Ancón","Ancon","unlcdf:1","unlcds:PELIM","unlcdc:PE","-11.766666","-77.166664","PEANC"
"unlcd:PEANG","Angamos",,"unlcdf:3","unlcds:PEUCA","unlcdc:PE","-8.416667","-74.48333","PEANG"
"unlcd:PEANS","Andahuaylas",,"unlcdf:4",,"unlcdc:PE",,,"PEANS"
"unlcd:PEANT","Antabamba",,"unlcdf:3","unlcds:PEAPU","unlcdc:PE","-14.366667","-72.88333","PEANT"
"unlcd:PEAPE","San Juan Aposento",,"unlcdf:4",,"unlcdc:PE",,,"PEAPE"
"unlcd:PEAQP","Arequipa",,"unlcdf:4",,"unlcdc:PE",,,"PEAQP"
"unlcd:PEARI","Arica",,"unlcdf:3",,"unlcdc:PE","-15.533334","-73.13333","PEARI"
"unlcd:PEATA","Anta",,"unlcdf:4",,"unlcdc:PE",,,"PEATA"
"unlcd:PEATI","Atico",,"unlcdf:1",,"unlcdc:PE",,,"PEATI"
"unlcd:PEATY","Atalaya",,"unlcdf:3","unlcds:PEUCA","unlcdc:PE","-10.733334","-73.75","PEATY"
"unlcd:PEAYP","Ayacucho",,"unlcdf:4",,"unlcdc:PE",,,"PEAYP"
"unlcd:PEAZA","Azángaro","Azangaro","unlcdf:3","unlcds:PEPUN","unlcdc:PE","-14.9","-70.183334","PEAZA"
"unlcd:PEBAA","Barranca",,"unlcdf:3","unlcds:PELIM","unlcdc:PE","-10.75","-77.76667","PEBAA"
"unlcd:PEBAG","Bagua",,"unlcdf:3","unlcds:PEAMA","unlcdc:PE","-5.633333","-78.53333","PEBAG"
"unlcd:PEBAR","San Bartolo",,"unlcdf:1, unlcdf:6","unlcds:PELIM","unlcdc:PE","-12.383333","-76.78333","PEBAR"
"unlcd:PEBLP","Bellavista",,"unlcdf:4",,"unlcdc:PE",,,"PEBLP"
"unlcd:PECAA","Chincha Alta",,"unlcdf:6","unlcds:PEICA","unlcdc:PE","-13.45","-76.13333","PECAA"
"unlcd:PECAB","Cabo Blanco",,"unlcdf:1",,"unlcdc:PE",,,"PECAB"
"unlcd:PECAC","Calca",,"unlcdf:3","unlcds:PECUS","unlcdc:PE","-13.316667","-71.95","PECAC"
"unlcd:PECAI","Cailloma",,"unlcdf:6","unlcds:PEARE","unlcdc:PE","-15.183333","-71.76667","PECAI"
"unlcd:PECAJ","Cajabamba",,"unlcdf:3","unlcds:PECAJ","unlcdc:PE","-7.616667","-78.03333","PECAJ"
"unlcd:PECAN","Cangallo",,"unlcdf:3","unlcds:PEAYA","unlcdc:PE","-13.616667","-74.13333","PECAN"
"unlcd:PECAS","Casma",,"unlcdf:3","unlcds:PEANC","unlcdc:PE","-9.466666","-78.316666","PECAS"
"unlcd:PECBJ","Chincha Baja",,"unlcdf:6","unlcds:PEICA","unlcdc:PE","-13.466666","-76.166664","PECBJ"
"unlcd:PECCP","Concepción","Concepcion","unlcdf:3","unlcds:PEJUN","unlcdc:PE","-11.916667","-75.3","PECCP"
"unlcd:PECDL","Carmen de la Legua",,"unlcdf:3","unlcds:PECAL","unlcdc:PE","-12.033334","-77.083336","PECDL"
"unlcd:PECEL","Celendín","Celendin","unlcdf:3","unlcds:PECAJ","unlcdc:PE","-6.85","-78.13333","PECEL"
"unlcd:PECHA","Chanchamayo",,"unlcdf:6","unlcds:PEICA","unlcdc:PE","-13.7","-75.8","PECHA"
"unlcd:PECHC","Chucuito",,"unlcdf:3","unlcds:PEPUN","unlcdc:PE","-15.883333","-69.88333","PECHC"
"unlcd:PECHE","Chepen",,"unlcdf:2, unlcdf:3","unlcds:PELAL","unlcdc:PE","-7.2166667","-79.45","PECHE"
"unlcd:PECHH","Chachapoyas",,"unlcdf:4",,"unlcdc:PE",,,"PECHH"
"unlcd:PECHI","Chincha",,"unlcdf:3",,"unlcdc:PE","-17.316668","-71.0","PECHI"
"unlcd:PECHM","Chimbote",,"unlcdf:1, unlcdf:4",,"unlcdc:PE",,,"PECHM"
"unlcd:PECHN","Chancán","Chancan","unlcdf:3",,"unlcdc:PE","-16.2","-72.48333","PECHN"
"unlcd:PECHO","Chorillos",,"unlcdf:3","unlcds:PELIM","unlcdc:PE","-12.166667","-77.03333","PECHO"
"unlcd:PECHP","Churcampa",,"unlcdf:3","unlcds:PEHUV","unlcdc:PE","-12.733334","-74.38333","PECHP"
"unlcd:PECHS","Chincheros",,"unlcdf:3","unlcds:PEAPU","unlcdc:PE","-13.516666","-73.71667","PECHS"
"unlcd:PECHT","Chota",,"unlcdf:3","unlcds:PECAJ","unlcdc:PE","-6.55","-78.63333","PECHT"
"unlcd:PECHY","Chancay",,"unlcdf:1",,"unlcdc:PE",,,"PECHY"
"unlcd:PECHZ","Carhuaz",,"unlcdf:3","unlcds:PEANC","unlcdc:PE","-9.266666","-77.63333","PECHZ"
"unlcd:PECIX","Chiclayo",,"unlcdf:4",,"unlcdc:PE",,,"PECIX"
"unlcd:PECJA","Cajamarca",,"unlcdf:4",,"unlcdc:PE",,,"PECJA"
"unlcd:PECJT","Cajatambo",,"unlcdf:3","unlcds:PELIM","unlcdc:PE","-10.483334","-77.03333","PECJT"
"unlcd:PECLL","Callao",,"unlcdf:1",,"unlcdc:PE",,,"PECLL"
"unlcd:PECND","Candarave",,"unlcdf:3","unlcds:PETAC","unlcdc:PE","-17.266666","-70.25","PECND"
"unlcd:PECOM","Comas",,"unlcdf:3","unlcds:PELIM","unlcdc:PE","-11.95","-77.066666","PECOM"
