"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:PH4BA","Bangui",,"unlcdf:3","unlcds:PHILN","unlcdc:PH","18.533333","120.75","PH4BA"
"unlcd:PHAAV","Alah",,"unlcdf:4",,"unlcdc:PH",,,"PHAAV"
"unlcd:PHABU","Abulug",,"unlcdf:1","unlcds:PHCAG","unlcdc:PH","18.433332","121.45","PHABU"
"unlcd:PHADL","Adlay/Bislig",,"unlcdf:1",,"unlcdc:PH",,,"PHADL"
"unlcd:PHAEL","Alabel",,"unlcdf:6","unlcds:PHSCO","unlcdc:PH","65.36667","125.26667","PHAEL"
"unlcd:PHAGL","Angeles",,"unlcdf:2, unlcdf:3",,"unlcdc:PH",,,"PHAGL"
"unlcd:PHAGO","Agoncillo",,"unlcdf:3","unlcds:PHBTG","unlcdc:PH","13.933333","120.933334","PHAGO"
"unlcd:PHAGT","Angat",,"unlcdf:3","unlcds:PHBUL","unlcdc:PH","14.916667","121.01667","PHAGT"
"unlcd:PHAHE","Aheron/Ozamis",,"unlcdf:1",,"unlcdc:PH",,,"PHAHE"
"unlcd:PHAJU","Ajuy",,"unlcdf:1","unlcds:PHILI","unlcdc:PH","11.166667","123.03333","PHAJU"
"unlcd:PHALA","Alasang/Siain",,"unlcdf:1",,"unlcdc:PH",,,"PHALA"
"unlcd:PHALB","Albuera",,"unlcdf:1","unlcds:PHLEY","unlcdc:PH","10.966666","124.63333","PHALB"
"unlcd:PHALC","Alcoy",,"unlcdf:1, unlcdf:3","unlcds:PHCEB","unlcdc:PH","9.683333","123.5","PHALC"
"unlcd:PHALE","Aleran/Ozamis",,"unlcdf:1",,"unlcdc:PH",,,"PHALE"
"unlcd:PHALI","Alitagtag",,"unlcdf:3","unlcds:PHBTG","unlcdc:PH","13.85","121.0","PHALI"
"unlcd:PHALM","Alaminos",,"unlcdf:3","unlcds:PHPAN","unlcdc:PH","16.15","119.96667","PHALM"
"unlcd:PHAMA","Amadeo",,"unlcdf:3","unlcds:PHCAV","unlcdc:PH","14.166667","120.916664","PHAMA"
"unlcd:PHAMU","Amunitan/Aparri",,"unlcdf:1","unlcds:PHCAG","unlcdc:PH","18.316668","122.05","PHAMU"
"unlcd:PHANA","Anakan/Masao",,"unlcdf:1",,"unlcdc:PH",,,"PHANA"
"unlcd:PHANG","Angono",,"unlcdf:3","unlcds:PHRIZ","unlcdc:PH","14.516666","121.13333","PHANG"
"unlcd:PHANT","Antipolo",,"unlcdf:1","unlcds:PHAPA","unlcdc:PH",,,"PHANT"
"unlcd:PHAOO","Agoo",,"unlcdf:6","unlcds:PHLUN","unlcdc:PH","16.316668","120.36667","PHAOO"
"unlcd:PHAPA","Apalit",,"unlcdf:3","unlcds:PHPAM","unlcdc:PH","14.95","120.76667","PHAPA"
"unlcd:PHAPN","Las Pinas",,"unlcdf:3","unlcds:PHCAV","unlcdc:PH","14.45","120.96667","PHAPN"
"unlcd:PHAPR","Aparri, Luzon",,"unlcdf:1",,"unlcdc:PH",,,"PHAPR"
"unlcd:PHAQE","Hamtic",,"unlcdf:1, unlcdf:3","unlcds:PHANT","unlcdc:PH","10.7","121.96667","PHAQE"
"unlcd:PHARA","Aras Asan/Bislig",,"unlcdf:1","unlcds:PHDAO","unlcdc:PH","8.883333","126.3","PHARA"
"unlcd:PHARI","Aringay",,"unlcdf:3","unlcds:PHLUN","unlcdc:PH","16.383333","120.35","PHARI"
"unlcd:PHARY","Arayat",,"unlcdf:3","unlcds:PHPAM","unlcdc:PH","15.15","120.76667","PHARY"
"unlcd:PHAST","Astorga",,"unlcdf:1","unlcds:PHDAS","unlcdc:PH","6.883333","125.45","PHAST"
"unlcd:PHATI","Atimonan/Siain",,"unlcdf:1","unlcds:PHQUE","unlcdc:PH","13.983334","121.9","PHATI"
"unlcd:PHBAA","Balagtas",,"unlcdf:3","unlcds:PHBUL","unlcdc:PH","14.816667","120.86667","PHBAA"
"unlcd:PHBAB","Babato/Dadiangas",,"unlcdf:1",,"unlcdc:PH",,,"PHBAB"
"unlcd:PHBAC","Bacong",,"unlcdf:1","unlcds:PHNER","unlcdc:PH","9.233334","123.3","PHBAC"
"unlcd:PHBAG","Baguio",,"unlcdf:1, unlcdf:4",,"unlcdc:PH",,,"PHBAG"
"unlcd:PHBAI","Bais/Dumaguete",,"unlcdf:1",,"unlcdc:PH",,,"PHBAI"
"unlcd:PHBAL","Balaboe",,"unlcdf:1",,"unlcdc:PH",,,"PHBAL"
"unlcd:PHBAN","Bacnotan",,"unlcdf:3","unlcds:PHLUN","unlcdc:PH","16.716667","120.35","PHBAN"
"unlcd:PHBAR","Baras",,"unlcdf:3","unlcds:PHCAT","unlcdc:PH","13.65","124.36667","PHBAR"
"unlcd:PHBAS","Basiauang/Dadiangas",,"unlcdf:1",,"unlcdc:PH",,,"PHBAS"
"unlcd:PHBAT","Batonbaton",,"unlcdf:1","unlcds:PHPLW","unlcdc:PH","9.183333","118.35","PHBAT"
"unlcd:PHBAU","Bauan/Batangas",,"unlcdf:1","unlcds:PHBTG","unlcdc:PH","13.8","121.0","PHBAU"
"unlcd:PHBAY","Bay",,"unlcdf:3","unlcds:PHLAG","unlcdc:PH","14.166667","121.28333","PHBAY"
"unlcd:PHBCD","Bacolod, Negros",,"unlcdf:1, unlcdf:4",,"unlcdc:PH",,,"PHBCD"
"unlcd:PHBCL","Bacolor",,"unlcdf:3","unlcds:PHPAM","unlcdc:PH","15.0","120.65","PHBCL"
"unlcd:PHBCO","Bacon/Legaspi",,"unlcdf:1",,"unlcdc:PH",,,"PHBCO"
"unlcd:PHBCT","Isabela, Basilan",,"unlcdf:1, unlcdf:3","unlcds:PHBAS","unlcdc:PH","6.7","121.96667","PHBCT"
"unlcd:PHBCU","Baculin/Mati",,"unlcdf:1",,"unlcdc:PH",,,"PHBCU"
"unlcd:PHBGC","Bagac",,"unlcdf:1",,"unlcdc:PH",,,"PHBGC"
"unlcd:PHBGI","Bagui Bay/San Fernando",,"unlcdf:1",,"unlcdc:PH",,,"PHBGI"
"unlcd:PHBGK","Bangkal",,"unlcdf:6",,"unlcdc:PH","14.533334","121.0","PHBGK"
"unlcd:PHBGR","Bucar Grande/Suriagao",,"unlcdf:1",,"unlcdc:PH",,,"PHBGR"
"unlcd:PHBGS","Balingasag",,"unlcdf:1, unlcdf:3",,"unlcdc:PH","8.75","124.78333","PHBGS"
"unlcd:PHBGV","Borongan",,"unlcdf:1",,"unlcdc:PH",,,"PHBGV"
"unlcd:PHBIN","Biñan","Binan","unlcdf:1, unlcdf:3","unlcds:PHLAG","unlcdc:PH","14.333333","121.083336","PHBIN"
"unlcd:PHBIY","Biyawa/Davao",,"unlcdf:1",,"unlcdc:PH",,,"PHBIY"
"unlcd:PHBLA","Balanga/Batan",,"unlcdf:1",,"unlcdc:PH",,,"PHBLA"
"unlcd:PHBLC","Balabac, Palawan",,"unlcdf:1, unlcdf:3","unlcds:PHPLW","unlcdc:PH","7.9666667","117.05","PHBLC"
"unlcd:PHBLG","Balogo/Batangas",,"unlcdf:1",,"unlcdc:PH",,,"PHBLG"
"unlcd:PHBLM","Balamban",,"unlcdf:3","unlcds:PHCEB","unlcdc:PH","10.5","123.71667","PHBLM"
"unlcd:PHBLN","Balengan/Siain",,"unlcdf:1",,"unlcdc:PH",,,"PHBLN"
"unlcd:PHBLP","Bolos Point/Aparri",,"unlcdf:1",,"unlcdc:PH",,,"PHBLP"
"unlcd:PHBLT","Balintang/Puerto Princesa",,"unlcdf:1",,"unlcdc:PH",,,"PHBLT"
"unlcd:PHBLU","Balumo/Zamboanga",,"unlcdf:1",,"unlcdc:PH",,,"PHBLU"
"unlcd:PHBLY","Balayan",,"unlcdf:3","unlcds:PHBTG","unlcdc:PH","13.933333","120.73333","PHBLY"
"unlcd:PHBMB","Bayombong",,"unlcdf:3","unlcds:PHNUV","unlcdc:PH","16.466667","121.15","PHBMB"
"unlcd:PHBMN","Bamban",,"unlcdf:3","unlcds:PHTAR","unlcdc:PH","15.666667","120.333336","PHBMN"
