"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:PKAAW","Abbottabad",,"unlcdf:3, unlcdf:4",,"unlcdc:PK",,,"PKAAW"
"unlcd:PKADK","Kot Addu",,"unlcdf:2, unlcdf:3",,"unlcdc:PK",,,"PKADK"
"unlcd:PKADP","Ahmadpur",,"unlcdf:3",,"unlcdc:PK",,,"PKADP"
"unlcd:PKARF","Arifwala",,"unlcdf:2, unlcdf:3",,"unlcdc:PK",,,"PKARF"
"unlcd:PKATG","Attock",,"unlcdf:3, unlcdf:4",,"unlcdc:PK",,,"PKATG"
"unlcd:PKATY","Attock City",,"unlcdf:2",,"unlcdc:PK",,,"PKATY"
"unlcd:PKBAG","Bagh/AJK",,"unlcdf:3",,"unlcdc:PK",,,"PKBAG"
"unlcd:PKBDN","Badin",,"unlcdf:2, unlcdf:3, unlcdf:4",,"unlcdc:PK",,,"PKBDN"
"unlcd:PKBHC","Bhurban",,"unlcdf:3, unlcdf:4",,"unlcdc:PK",,,"PKBHC"
"unlcd:PKBHM","Bhimber",,"unlcdf:3","unlcds:PKJK","unlcdc:PK","32.966667","74.066666","PKBHM"
"unlcd:PKBHV","Bahawalpur",,"unlcdf:2, unlcdf:3, unlcdf:4","unlcds:PKPB","unlcdc:PK",,,"PKBHV"
"unlcd:PKBKR","Bhakkar",,"unlcdf:2, unlcdf:3",,"unlcdc:PK",,,"PKBKR"
"unlcd:PKBNP","Bannu",,"unlcdf:2, unlcdf:3, unlcdf:4","unlcds:PKKP","unlcdc:PK",,,"PKBNP"
"unlcd:PKBPR","Bhai Pheru",,"unlcdf:3",,"unlcdc:PK",,,"PKBPR"
"unlcd:PKBQM","Muhammad Bin Qasim/Karachi",,"unlcdf:1","unlcds:PKSD","unlcdc:PK","24.766666","67.333336","PKBQM"
"unlcd:PKBRW","Burewala",,"unlcdf:3",,"unlcdc:PK",,,"PKBRW"
"unlcd:PKBWL","Bhalwal",,"unlcdf:3","unlcds:PKPB","unlcdc:PK","32.266666","72.86667","PKBWL"
"unlcd:PKCCE","Chichawatni",,"unlcdf:2, unlcdf:3",,"unlcdc:PK",,,"PKCCE"
"unlcd:PKCCM","Chichoki Mallian",,"unlcdf:2, unlcdf:3",,"unlcdc:PK",,,"PKCCM"
"unlcd:PKCGM","Changa Manga",,"unlcdf:3",,"unlcdc:PK",,,"PKCGM"
"unlcd:PKCHB","Chilas",,"unlcdf:3, unlcdf:4",,"unlcdc:PK",,,"PKCHB"
"unlcd:PKCJL","Chitral",,"unlcdf:3, unlcdf:4","unlcds:PKKP","unlcdc:PK",,,"PKCJL"
"unlcd:PKCKW","Chakwal",,"unlcdf:3",,"unlcdc:PK",,,"PKCKW"
"unlcd:PKCMN","Chaman",,"unlcdf:2, unlcdf:3, unlcdf:B","unlcds:PKBA","unlcdc:PK","30.916666","66.433334","PKCMN"
"unlcd:PKCSD","Charsadda",,"unlcdf:2, unlcdf:3",,"unlcdc:PK",,,"PKCSD"
"unlcd:PKCSI","Chishtian",,"unlcdf:2, unlcdf:3",,"unlcdc:PK",,,"PKCSI"
"unlcd:PKCWP","Campbellpore",,"unlcdf:4",,"unlcdc:PK",,,"PKCWP"
"unlcd:PKDBA","Dalbandin",,"unlcdf:2, unlcdf:3, unlcdf:4","unlcds:PKBA","unlcdc:PK",,,"PKDBA"
"unlcd:PKDDU","Dadu",,"unlcdf:2, unlcdf:3, unlcdf:4","unlcds:PKSD","unlcdc:PK",,,"PKDDU"
"unlcd:PKDEA","Dera Ghazi Khan",,"unlcdf:2, unlcdf:3","unlcds:PKPB","unlcdc:PK",,,"PKDEA"
"unlcd:PKDIR","Dir",,"unlcdf:3",,"unlcdc:PK",,,"PKDIR"
"unlcd:PKDKA","Daska",,"unlcdf:3",,"unlcdc:PK",,,"PKDKA"
"unlcd:PKDRK","Daharki",,"unlcdf:2, unlcdf:3",,"unlcdc:PK",,,"PKDRK"
"unlcd:PKDSK","Dera Ismail Khan",,"unlcdf:3, unlcdf:4","unlcds:PKKP","unlcdc:PK",,,"PKDSK"
"unlcd:PKFZB","Faizabad",,"unlcdf:3","unlcds:PKKP","unlcdc:PK","34.383335","71.75","PKFZB"
"unlcd:PKGAD","Gadoon",,"unlcdf:3","unlcds:PKIS","unlcdc:PK",,,"PKGAD"
"unlcd:PKGHB","Garhi Habibullah Khan",,"unlcdf:3, unlcdf:6","unlcds:PKKP","unlcdc:PK","34.4","73.38333","PKGHB"
"unlcd:PKGHK","Ghakhar",,"unlcdf:3",,"unlcdc:PK",,,"PKGHK"
"unlcd:PKGHT","Ghotki",,"unlcdf:3","unlcds:PKSD","unlcdc:PK","28.016666","69.316666","PKGHT"
"unlcd:PKGIL","Gilgit",,"unlcdf:3, unlcdf:4","unlcds:PKGB","unlcdc:PK",,,"PKGIL"
"unlcd:PKGKN","Gujar Khan",,"unlcdf:2, unlcdf:3",,"unlcdc:PK",,,"PKGKN"
"unlcd:PKGRT","Gujrat",,"unlcdf:2, unlcdf:3, unlcdf:4","unlcds:PKPB","unlcdc:PK",,,"PKGRT"
"unlcd:PKGRW","Gujranwala",,"unlcdf:2, unlcdf:3",,"unlcdc:PK",,,"PKGRW"
"unlcd:PKGWD","Gwadar",,"unlcdf:1, unlcdf:3, unlcdf:4","unlcds:PKBA","unlcdc:PK",,,"PKGWD"
"unlcd:PKHAS","Hasilpur",,"unlcdf:6","unlcds:PKPB","unlcdc:PK","29.75","71.63333","PKHAS"
"unlcd:PKHAY","Hayatabad",,"unlcdf:6","unlcds:PKKP","unlcdc:PK","34.266666","71.683334","PKHAY"
"unlcd:PKHDD","Hyderabad",,"unlcdf:2, unlcdf:3, unlcdf:4, unlcdf:6","unlcds:PKSD","unlcdc:PK",,,"PKHDD"
"unlcd:PKHFD","Hafizabad",,"unlcdf:3",,"unlcdc:PK",,,"PKHFD"
"unlcd:PKHPR","Haripur",,"unlcdf:3",,"unlcdc:PK",,,"PKHPR"
"unlcd:PKHRA","Mansehra",,"unlcdf:3, unlcdf:4",,"unlcdc:PK",,,"PKHRA"
"unlcd:PKHRU","Haripur Hazara",,"unlcdf:2",,"unlcdc:PK",,,"PKHRU"
"unlcd:PKHSN","Hassanabdal",,"unlcdf:3",,"unlcdc:PK",,,"PKHSN"
"unlcd:PKHUB","Hub",,"unlcdf:3",,"unlcdc:PK",,,"PKHUB"
"unlcd:PKHVN","Havelian",,"unlcdf:2, unlcdf:3",,"unlcdc:PK",,,"PKHVN"
"unlcd:PKISB","Islamabad",,"unlcdf:3, unlcdf:4, unlcdf:5","unlcds:PKIS","unlcdc:PK",,,"PKISB"
"unlcd:PKJAG","Jacobabad",,"unlcdf:2, unlcdf:3, unlcdf:4","unlcds:PKSD","unlcdc:PK",,,"PKJAG"
"unlcd:PKJAM","Jam Shoro",,"unlcdf:3","unlcds:PKSD","unlcdc:PK","25.433332","68.333336","PKJAM"
"unlcd:PKJGS","Jungshahi",,"unlcdf:2",,"unlcdc:PK",,,"PKJGS"
"unlcd:PKJHC","Jhang City",,"unlcdf:2",,"unlcdc:PK",,,"PKJHC"
"unlcd:PKJIW","Jiwani",,"unlcdf:1, unlcdf:3, unlcdf:4","unlcds:PKBA","unlcdc:PK",,,"PKJIW"
"unlcd:PKJLM","Jhal Magsi",,"unlcdf:3",,"unlcdc:PK",,,"PKJLM"
"unlcd:PKJLP","Jalalpur",,"unlcdf:3",,"unlcdc:PK",,,"PKJLP"
"unlcd:PKJMR","Jhelum",,"unlcdf:2, unlcdf:3","unlcds:PKPB","unlcdc:PK","32.933334","73.73333","PKJMR"
"unlcd:PKJNG","Jhang",,"unlcdf:3",,"unlcdc:PK",,,"PKJNG"
"unlcd:PKJNW","Jaranwala",,"unlcdf:2, unlcdf:3",,"unlcdc:PK",,,"PKJNW"
"unlcd:PKJRD","Jamrud",,"unlcdf:3",,"unlcdc:PK",,,"PKJRD"
"unlcd:PKKBA","Keti Bandar",,"unlcdf:1",,"unlcdc:PK","24.133333","67.433334","PKKBA"
"unlcd:PKKBH","Kalat",,"unlcdf:3, unlcdf:4",,"unlcdc:PK",,,"PKKBH"
"unlcd:PKKBU","Keti Bunder",,"unlcdf:1, unlcdf:3","unlcds:PKSD","unlcdc:PK",,,"PKKBU"
"unlcd:PKKBW","Kabirwala",,"unlcdf:3",,"unlcdc:PK",,,"PKKBW"
"unlcd:PKKCF","Kadanwari",,"unlcdf:4",,"unlcdc:PK",,,"PKKCF"
"unlcd:PKKCT","Karachi Container Terminal",,"unlcdf:1","unlcds:PKSD","unlcdc:PK",,,"PKKCT"
"unlcd:PKKDD","Khuzdar",,"unlcdf:3, unlcdf:4","unlcds:PKBA","unlcdc:PK",,,"PKKDD"
"unlcd:PKKDU","Skardu",,"unlcdf:3, unlcdf:4","unlcds:PKJK","unlcdc:PK",,,"PKKDU"
"unlcd:PKKHB","Khushab",,"unlcdf:2, unlcdf:3",,"unlcdc:PK",,,"PKKHB"
"unlcd:PKKHC","Kohat Cantt",,"unlcdf:2",,"unlcdc:PK",,,"PKKHC"
"unlcd:PKKHI","Karachi",,"unlcdf:1, unlcdf:2, unlcdf:3, unlcdf:4, unlcdf:5","unlcds:PKSD","unlcdc:PK",,,"PKKHI"
"unlcd:PKKHP","Khairpur",,"unlcdf:2, unlcdf:3",,"unlcdc:PK",,,"PKKHP"
"unlcd:PKKHW","Khwazakhela",,"unlcdf:3","unlcds:PKKP","unlcdc:PK","34.933334","72.46667","PKKHW"
"unlcd:PKKIA","Kiamari",,"unlcdf:1","unlcds:PKSD","unlcdc:PK","24.816668","66.96667","PKKIA"
"unlcd:PKKLU","Kohlu",,"unlcdf:3",,"unlcdc:PK",,,"PKKLU"
"unlcd:PKKMB","Kambar",,"unlcdf:3",,"unlcdc:PK",,,"PKKMB"
"unlcd:PKKML","Kamalia",,"unlcdf:3",,"unlcdc:PK",,,"PKKML"
"unlcd:PKKOL","Kotli/AJK",,"unlcdf:3",,"unlcdc:PK",,,"PKKOL"
"unlcd:PKKOT","Kotri",,"unlcdf:2, unlcdf:3",,"unlcdc:PK",,,"PKKOT"
"unlcd:PKKPO","Khipro",,"unlcdf:3","unlcds:PKSD","unlcdc:PK","25.833334","69.36667","PKKPO"
