"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:PL2KS","Bieliny",,"unlcdf:3","unlcds:PL26","unlcdc:PL","50.85","20.9","PL2KS"
"unlcd:PL2MZ","Murowanka",,"unlcdf:3","unlcds:PL14","unlcdc:PL","51.833332","21.116667","PL2MZ"
"unlcd:PL4BO","Boleslawiec",,"unlcdf:3","unlcds:PL10","unlcdc:PL","51.2","18.2","PL4BO"
"unlcd:PL4ZM","Zakret",,"unlcdf:3","unlcds:PL14","unlcdc:PL","52.216667","21.266666","PL4ZM"
"unlcd:PL6KP","Koniecpol Stary",,"unlcdf:3","unlcds:PL24","unlcdc:PL","50.783333","19.65","PL6KP"
"unlcd:PL6LW","Wilkow",,"unlcdf:3","unlcds:PL06","unlcdc:PL","51.266666","21.883333","PL6LW"
"unlcd:PL6MA","Dabrówka","Dabrowka","unlcdf:1, unlcdf:3","unlcds:PL14","unlcdc:PL","51.616665","20.95","PL6MA"
"unlcd:PL6OM","Odrowaz",,"unlcdf:3","unlcds:PL12","unlcdc:PL","49.483334","19.85","PL6OM"
"unlcd:PL6PL","Narewka",,"unlcdf:3","unlcds:PL20","unlcdc:PL","52.833332","23.75","PL6PL"
"unlcd:PL7UZ","Przybiernów","Przybiernow","unlcdf:3","unlcds:PL32","unlcdc:PL","53.75","14.766666","PL7UZ"
"unlcd:PL8BL","Modlniczka",,"unlcdf:3","unlcds:PL12","unlcdc:PL","50.116665","19.866667","PL8BL"
"unlcd:PL8JP","Sompolno",,"unlcdf:3","unlcds:PL30","unlcdc:PL","52.383335","18.516666","PL8JP"
"unlcd:PL8KP","Krasne",,"unlcdf:3","unlcds:PL18","unlcdc:PL","50.05","22.1","PL8KP"
"unlcd:PL8PW","Podrzewie",,"unlcdf:3","unlcds:PL30","unlcdc:PL","52.483334","16.383333","PL8PW"
"unlcd:PL8ZM","Serock",,"unlcdf:3","unlcds:PL14","unlcdc:PL","52.516666","21.066668","PL8ZM"
"unlcd:PLADC","Andrychów","Andrychow","unlcdf:3",,"unlcdc:PL","49.85","19.333334","PLADC"
"unlcd:PLADJ","Adamów","Adamow","unlcdf:3","unlcds:PL06","unlcdc:PL","51.266666","23.1","PLADJ"
"unlcd:PLADK","Sadkowice",,"unlcdf:3","unlcds:PL10","unlcdc:PL","51.733334","20.516666","PLADK"
"unlcd:PLALB","Albigowa",,"unlcdf:3","unlcds:PL18","unlcdc:PL","50.016666","22.233334","PLALB"
"unlcd:PLALK","Aleksandrów Kujawski","Aleksandrow Kujawski","unlcdf:3",,"unlcdc:PL","52.866665","18.683332","PLALK"
"unlcd:PLALN","Malnia",,"unlcdf:3","unlcds:PL16","unlcdc:PL","50.516666","17.966667","PLALN"
"unlcd:PLAND","Andrespol",,"unlcdf:3","unlcds:PL10","unlcdc:PL","51.716667","19.633333","PLAND"
"unlcd:PLAUG","Augustów","Augustow","unlcdf:2, unlcdf:3","unlcds:PL20","unlcdc:PL","53.85","23.0","PLAUG"
"unlcd:PLAWA","Scinawa",,"unlcdf:3","unlcds:PL02","unlcdc:PL","51.416668","16.416666","PLAWA"
"unlcd:PLAWL","Aleksandrów Lodzki","Aleksandrow Lodzki","unlcdf:3, unlcdf:6","unlcds:PL10","unlcdc:PL","51.816666","19.3","PLAWL"
"unlcd:PLAWN","Alwernia",,"unlcdf:3","unlcds:PLMA","unlcdc:PL","50.066666","19.533333","PLAWN"
"unlcd:PLB8K","Brynek",,"unlcdf:3","unlcds:PL24","unlcdc:PL","50.516666","18.716667","PLB8K"
"unlcd:PLB8L","Kolbiel",,"unlcdf:3","unlcds:PL14","unlcdc:PL","52.066666","21.483334","PLB8L"
"unlcd:PLBAB","Biale Blota",,"unlcdf:2, unlcdf:3","unlcds:PL04","unlcdc:PL","53.1","17.933332","PLBAB"
"unlcd:PLBAO","Baranowo",,"unlcdf:3","unlcds:PL14","unlcdc:PL","53.166668","21.3","PLBAO"
"unlcd:PLBAP","Biala Podlaska",,"unlcdf:3",,"unlcdc:PL","52.033333","23.133333","PLBAP"
"unlcd:PLBAR","Bartoszyce",,"unlcdf:3",,"unlcdc:PL",,,"PLBAR"
"unlcd:PLBAT","Batorowo",,"unlcdf:3","unlcds:PL30","unlcdc:PL","52.416668","16.716667","PLBAT"
"unlcd:PLBAW","Baranow",,"unlcdf:3","unlcds:PL06","unlcdc:PL","51.566666","22.15","PLBAW"
"unlcd:PLBBO","Baboszewo",,"unlcdf:3","unlcds:PL14","unlcdc:PL","52.683334","20.266666","PLBBO"
"unlcd:PLBBW","Baborow",,"unlcdf:3","unlcds:PL16","unlcdc:PL","50.166668","18.0","PLBBW"
"unlcd:PLBCA","Bochnia",,"unlcdf:3",,"unlcdc:PL",,,"PLBCA"
"unlcd:PLBCN","Belecin",,"unlcdf:3","unlcds:PL30","unlcdc:PL","52.2","16.0","PLBCN"
"unlcd:PLBCO","Barczewo",,"unlcdf:2, unlcdf:3","unlcds:PL28","unlcdc:PL","53.833332","20.7","PLBCO"
"unlcd:PLBCW","Brochow",,"unlcdf:3","unlcds:PL14","unlcdc:PL","52.316666","20.283333","PLBCW"
"unlcd:PLBCZ","Lebcz",,"unlcdf:3","unlcds:PL22","unlcdc:PL","54.766666","18.333334","PLBCZ"
"unlcd:PLBDK","Biadki",,"unlcdf:3","unlcds:PL30","unlcdc:PL","51.683334","17.55","PLBDK"
"unlcd:PLBDU","Biala Druga",,"unlcdf:3","unlcds:PL10","unlcdc:PL","51.266666","18.45","PLBDU"
"unlcd:PLBDZ","Belsk Duzy",,"unlcdf:2, unlcdf:3","unlcds:PL14","unlcdc:PL","51.833332","20.816668","PLBDZ"
"unlcd:PLBEC","Belzec",,"unlcdf:3","unlcds:PL06","unlcdc:PL","50.383335","23.433332","PLBEC"
"unlcd:PLBED","Bedzino",,"unlcdf:3",,"unlcdc:PL","54.216667","15.983334","PLBED"
"unlcd:PLBEK","Bielinek",,"unlcdf:1","unlcds:PL32","unlcdc:PL","52.933334","14.15","PLBEK"
"unlcd:PLBEL","Belzyce",,"unlcdf:3",,"unlcdc:PL","51.183334","22.283333","PLBEL"
"unlcd:PLBEN","Bielany",,"unlcdf:2, unlcdf:3","unlcds:PL24","unlcdc:PL","49.95","19.2","PLBEN"
"unlcd:PLBET","Bestwina",,"unlcdf:3","unlcds:PLSL","unlcdc:PL","49.883335","19.05","PLBET"
"unlcd:PLBEW","Braszewice",,"unlcdf:6","unlcds:PL10","unlcdc:PL","51.5","18.45","PLBEW"
"unlcd:PLBEZ","Bezledy",,"unlcdf:3","unlcds:PLWN","unlcdc:PL","-54.316666","20.716667","PLBEZ"
"unlcd:PLBGA","Boguchwala",,"unlcdf:3, unlcdf:6",,"unlcdc:PL","49.966667","21.95","PLBGA"
"unlcd:PLBGL","Boglewice",,"unlcdf:3","unlcds:PL14","unlcdc:PL","51.816666","20.983334","PLBGL"
"unlcd:PLBGW","Boguchwala",,"unlcdf:3","unlcds:PL18","unlcdc:PL","49.983334","21.95","PLBGW"
"unlcd:PLBGY","Bogatynia",,"unlcdf:2, unlcdf:3","unlcds:PL02","unlcdc:PL","50.9","14.95","PLBGY"
"unlcd:PLBGZ","Bogaczewo",,"unlcdf:3, unlcdf:6","unlcds:PL28","unlcdc:PL","54.116665","19.583334","PLBGZ"
"unlcd:PLBHW","Blachownia",,"unlcdf:3","unlcds:PLSL","unlcdc:PL","50.783333","18.966667","PLBHW"
"unlcd:PLBIA","Bialystok",,"unlcdf:3",,"unlcdc:PL",,,"PLBIA"
"unlcd:PLBIB","Bielsko-Biala",,"unlcdf:3","unlcds:PL24","unlcdc:PL","49.816666","19.033333","PLBIB"
"unlcd:PLBIC","Bilcza",,"unlcdf:3","unlcds:PL26","unlcdc:PL","50.783333","20.616667","PLBIC"
"unlcd:PLBID","Biadoliny",,"unlcdf:3",,"unlcdc:PL","49.983334","20.75","PLBID"
"unlcd:PLBIE","Bierun",,"unlcdf:3","unlcds:PL24","unlcdc:PL","50.083332","19.083334","PLBIE"
"unlcd:PLBII","Bialosliwie",,"unlcdf:3","unlcds:PLWP","unlcdc:PL","53.166668","17.2","PLBII"
"unlcd:PLBIK","Biskupiec",,"unlcdf:3","unlcds:PLWN","unlcdc:PL",,,"PLBIK"
"unlcd:PLBIL","Bialy Lug",,"unlcdf:3","unlcds:PL14","unlcdc:PL","51.416668","21.65","PLBIL"
"unlcd:PLBIN","Biala Nizna",,"unlcdf:3","unlcds:PL12","unlcdc:PL","49.633335","20.983334","PLBIN"
