"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:PRA6U","Aguirre",,"unlcdf:3",,"unlcdc:PR","17.95","-66.21667","PRA6U"
"unlcd:PRABS","Aguas Buenas",,"unlcdf:3",,"unlcdc:PR","18.25","-66.1","PRABS"
"unlcd:PRADJ","Adjuntas",,"unlcdf:3",,"unlcdc:PR",,,"PRADJ"
"unlcd:PRAGU","Aguada",,"unlcdf:0",,"unlcdc:PR",,,"PRAGU"
"unlcd:PRAIB","Aibonito",,"unlcdf:3",,"unlcdc:PR","18.133333","-66.25","PRAIB"
"unlcd:PRANA","Anasco",,"unlcdf:3",,"unlcdc:PR",,,"PRANA"
"unlcd:PRARE","Arecibo",,"unlcdf:1, unlcdf:4",,"unlcdc:PR",,,"PRARE"
"unlcd:PRARR","Arroyo",,"unlcdf:1, unlcdf:3",,"unlcdc:PR","17.966667","-66.066666","PRARR"
"unlcd:PRBAR","Barceloneta",,"unlcdf:3",,"unlcdc:PR",,,"PRBAR"
"unlcd:PRBAS","Barranquitas",,"unlcdf:0",,"unlcdc:PR",,,"PRBAS"
"unlcd:PRBAY","Bayamon",,"unlcdf:3",,"unlcdc:PR",,,"PRBAY"
"unlcd:PRBOQ","Boquerón","Boqueron","unlcdf:3",,"unlcdc:PR","18.016666","-67.166664","PRBOQ"
"unlcd:PRBQN","Aguadilla",,"unlcdf:1, unlcdf:4",,"unlcdc:PR",,,"PRBQN"
"unlcd:PRCAG","Caguas",,"unlcdf:3",,"unlcdc:PR","18.233334","-66.05","PRCAG"
"unlcd:PRCAH","Caparra Hills",,"unlcdf:3",,"unlcdc:PR","18.4","-66.1","PRCAH"
"unlcd:PRCAM","Camuy",,"unlcdf:3",,"unlcdc:PR",,,"PRCAM"
"unlcd:PRCAN","Canovanas",,"unlcdf:3",,"unlcdc:PR","18.383333","-65.9","PRCAN"
"unlcd:PRCAR","Carolina",,"unlcdf:3",,"unlcdc:PR",,,"PRCAR"
"unlcd:PRCAT","Catano",,"unlcdf:3",,"unlcdc:PR",,,"PRCAT"
"unlcd:PRCAY","Cayey",,"unlcdf:3",,"unlcdc:PR",,,"PRCAY"
"unlcd:PRCBJ","Cabo Rojo",,"unlcdf:2, unlcdf:3",,"unlcdc:PR","18.083334","-67.13333","PRCBJ"
"unlcd:PRCEI","Ceiba",,"unlcdf:3",,"unlcdc:PR","18.233334","-65.61667","PRCEI"
"unlcd:PRCID","Cidra",,"unlcdf:3",,"unlcdc:PR","18.183332","-66.166664","PRCID"
"unlcd:PRCLE","Ciales",,"unlcdf:3",,"unlcdc:PR","18.333334","-66.46667","PRCLE"
"unlcd:PRCLL","Coto Laurel",,"unlcdf:3",,"unlcdc:PR","18.033333","-66.55","PRCLL"
"unlcd:PRCOA","Coamo",,"unlcdf:3",,"unlcdc:PR",,,"PRCOA"
"unlcd:PRCOE","Comerio",,"unlcdf:3",,"unlcdc:PR","18.216667","-66.23333","PRCOE"
"unlcd:PRCOR","Corozal",,"unlcdf:3",,"unlcdc:PR","18.333334","-66.316666","PRCOR"
"unlcd:PRCPX","Culebra",,"unlcdf:4",,"unlcdc:PR",,,"PRCPX"
"unlcd:PRCUP","Cupey, San Juan",,"unlcdf:0",,"unlcdc:PR",,,"PRCUP"
"unlcd:PRDDP","Dorado",,"unlcdf:3, unlcdf:4",,"unlcdc:PR",,,"PRDDP"
"unlcd:PRFAJ","Fajardo",,"unlcdf:4",,"unlcdc:PR",,,"PRFAJ"
"unlcd:PRFLO","Florida",,"unlcdf:3",,"unlcdc:PR","18.35","-66.55","PRFLO"
"unlcd:PRFTB","Fort Buchanan",,"unlcdf:3",,"unlcdc:PR","18.4","-66.11667","PRFTB"
"unlcd:PRGMA","Guayama",,"unlcdf:0",,"unlcdc:PR",,,"PRGMA"
"unlcd:PRGUA","Guabano",,"unlcdf:0",,"unlcdc:PR",,,"PRGUA"
"unlcd:PRGUO","Guaynabo",,"unlcdf:0",,"unlcdc:PR",,,"PRGUO"
"unlcd:PRGUR","Gurabo",,"unlcdf:0",,"unlcdc:PR",,,"PRGUR"
"unlcd:PRGUX","Guanica",,"unlcdf:1",,"unlcdc:PR","17.966667","-66.916664","PRGUX"
"unlcd:PRGUY","Guayanilla",,"unlcdf:1, unlcdf:3",,"unlcdc:PR","17.966667","-66.816666","PRGUY"
"unlcd:PRHDE","Hato Tejas",,"unlcdf:3",,"unlcdc:PR","18.4","-66.183334","PRHDE"
"unlcd:PRHRE","Hato Rey",,"unlcdf:0",,"unlcdc:PR",,,"PRHRE"
"unlcd:PRHTL","Hatillo",,"unlcdf:3",,"unlcdc:PR",,,"PRHTL"
"unlcd:PRHUC","Humacao",,"unlcdf:3, unlcdf:4",,"unlcdc:PR",,,"PRHUC"
"unlcd:PRHUM","Hormigueros",,"unlcdf:3",,"unlcdc:PR","18.133333","-67.11667","PRHUM"
"unlcd:PRISB","Isabela",,"unlcdf:3",,"unlcdc:PR",,,"PRISB"
"unlcd:PRJAY","Jayuya",,"unlcdf:3",,"unlcdc:PR",,,"PRJAY"
"unlcd:PRJDI","Juana Diaz",,"unlcdf:0",,"unlcdc:PR",,,"PRJDI"
"unlcd:PRJIC","Jicome",,"unlcdf:0",,"unlcdc:PR",,,"PRJIC"
"unlcd:PRJUN","Juncos",,"unlcdf:3",,"unlcdc:PR",,,"PRJUN"
"unlcd:PRLAM","Las Mareas (Guayama)",,"unlcdf:1",,"unlcdc:PR",,,"PRLAM"
"unlcd:PRLAR","Lares",,"unlcdf:3",,"unlcdc:PR","18.283333","-66.86667","PRLAR"
"unlcd:PRLJS","Lajas",,"unlcdf:0",,"unlcdc:PR",,,"PRLJS"
"unlcd:PRLMA","Las Marias",,"unlcdf:3",,"unlcdc:PR","18.25","-66.98333","PRLMA"
"unlcd:PRLOI","Loíza","Loiza","unlcdf:3",,"unlcdc:PR","18.416666","-65.86667","PRLOI"
"unlcd:PRLPN","Las Pinas",,"unlcdf:3, unlcdf:6",,"unlcdc:PR","18.25","-65.916664","PRLPN"
"unlcd:PRLPS","Las Piedras",,"unlcdf:3",,"unlcdc:PR","18.183332","-65.86667","PRLPS"
"unlcd:PRLUQ","Luquillo",,"unlcdf:3",,"unlcdc:PR",,,"PRLUQ"
"unlcd:PRMAN","Manati",,"unlcdf:3",,"unlcdc:PR","18.433332","-66.48333","PRMAN"
"unlcd:PRMAR","Maricao",,"unlcdf:0",,"unlcdc:PR",,,"PRMAR"
"unlcd:PRMAU","Maunabo",,"unlcdf:3",,"unlcdc:PR","18.0","-65.88333","PRMAU"
"unlcd:PRMAZ","Mayagüez","Mayaguez","unlcdf:1, unlcdf:4",,"unlcdc:PR",,,"PRMAZ"
"unlcd:PRMIR","Miramar",,"unlcdf:0",,"unlcdc:PR",,,"PRMIR"
