"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:PT8DA","Odiáxere","Odiaxere","unlcdf:3","unlcds:PT08","unlcdc:PT","37.15","-8.65","PT8DA"
"unlcd:PT8PS","Lanhezes",,"unlcdf:3","unlcds:PT16","unlcdc:PT","41.733334","-8.666667","PT8PS"
"unlcd:PTAA4","Abraã","Abraa","unlcdf:3","unlcds:PT14","unlcdc:PT","39.416668","-8.783334","PTAA4"
"unlcd:PTAAR","Arada",,"unlcdf:3","unlcds:PT01","unlcdc:PT","40.916668","-8.6","PTAAR"
"unlcd:PTABA","Azambujeira",,"unlcdf:3","unlcds:PT14","unlcdc:PT","39.266666","-8.783334","PTABA"
"unlcd:PTABF","Albufeira",,"unlcdf:1, unlcdf:2, unlcdf:3","unlcds:PT08","unlcdc:PT","37.083332","-8.25","PTABF"
"unlcd:PTABG","Abrigada",,"unlcdf:3","unlcds:PT11","unlcdc:PT","39.15","-9.016666","PTABG"
"unlcd:PTABO","Aboboda",,"unlcdf:2, unlcdf:3, unlcdf:6","unlcds:PT11","unlcdc:PT","38.716667","-9.333333","PTABO"
"unlcd:PTABQ","Albarraque",,"unlcdf:3","unlcds:PT11","unlcdc:PT","38.766666","-9.35","PTABQ"
"unlcd:PTABR","Abrunheira",,"unlcdf:3","unlcds:PT06","unlcdc:PT","40.116665","-8.716666","PTABR"
"unlcd:PTABS","Abraveses",,"unlcdf:6","unlcds:PT18","unlcdc:PT","40.666668","-7.9166665","PTABS"
"unlcd:PTABT","Abrantes",,"unlcdf:2, unlcdf:3","unlcds:PT14","unlcdc:PT","39.466667","-8.2","PTABT"
"unlcd:PTABV","Albergaria-a-Velha",,"unlcdf:2, unlcdf:3","unlcds:PT01","unlcdc:PT","40.7","-8.483334","PTABV"
"unlcd:PTAC6","Ançã","Anca","unlcdf:3","unlcds:PT06","unlcdc:PT","40.266666","-8.516666","PTAC6"
"unlcd:PTACB","Alcabideche",,"unlcdf:3","unlcds:PT11","unlcdc:PT","38.733334","-9.416667","PTACB"
"unlcd:PTACD","Alcanede",,"unlcdf:3","unlcds:PT14","unlcdc:PT","39.416668","-8.816667","PTACD"
"unlcd:PTACH","Avelãs de Caminho","Avelas de Caminho","unlcdf:3","unlcds:PT01","unlcdc:PT","40.483334","-8.45","PTACH"
"unlcd:PTACR","Alcoentre",,"unlcdf:3","unlcds:PT11","unlcdc:PT","39.2","-8.95","PTACR"
"unlcd:PTACS","Arcos",,"unlcdf:3","unlcds:PT16","unlcdc:PT","41.75","-8.666667","PTACS"
"unlcd:PTACT","Alcoutim",,"unlcdf:3","unlcds:PT08","unlcdc:PT","37.466667","-7.4666667","PTACT"
"unlcd:PTACZ","Arcozelo",,"unlcdf:3","unlcds:PT18","unlcdc:PT","40.75","-8.033334","PTACZ"
"unlcd:PTADA","Almendra",,"unlcdf:6",,"unlcdc:PT","41.0","-7.05","PTADA"
"unlcd:PTADB","Aguada de Baixo",,"unlcdf:2",,"unlcdc:PT","40.5","-8.45","PTADB"
"unlcd:PTADC","Aveiras de Cima",,"unlcdf:3","unlcds:PT11","unlcdc:PT","39.133335","-8.9","PTADC"
"unlcd:PTADF","Adaúfe","Adaufe","unlcdf:3","unlcds:PT03","unlcdc:PT","41.583332","-8.4","PTADF"
"unlcd:PTADG","Amoreira da Gândara","Amoreira da Gandara","unlcdf:1, unlcdf:6","unlcds:PT01","unlcdc:PT","40.483334","-8.533334","PTADG"
"unlcd:PTADH","Angra do Heroísmo","Angra do Heroismo","unlcdf:1, unlcdf:3","unlcds:PT20","unlcdc:PT","38.65","-27.216667","PTADH"
"unlcd:PTADO","Alvaredo",,"unlcdf:6","unlcds:PT16","unlcdc:PT","42.1","-8.3","PTADO"
"unlcd:PTADS","Alcácer do Sal","Alcacer do Sal","unlcdf:2, unlcdf:3","unlcds:PT15","unlcdc:PT","38.366665","-8.5","PTADS"
"unlcd:PTADV","Almodôvar","Almodovar","unlcdf:3","unlcds:PT02","unlcdc:PT","37.516666","-8.066667","PTADV"
"unlcd:PTAEM","Alpendurada e Matos",,"unlcdf:3","unlcds:PT13","unlcdc:PT","41.233334","-8.516666","PTAEM"
"unlcd:PTAER","Além da Ribeira","Alem da Ribeira","unlcdf:3","unlcds:PT16","unlcdc:PT","41.616665","-8.75","PTAER"
"unlcd:PTAES","Aves",,"unlcdf:3","unlcds:PT13","unlcdc:PT","41.366665","-8.4","PTAES"
"unlcd:PTAFA","Alfena",,"unlcdf:3","unlcds:PT13","unlcdc:PT","41.233334","-8.533334","PTAFA"
"unlcd:PTAFE","Alfândega da Fé","Alfandega da Fe","unlcdf:3","unlcds:PT04","unlcdc:PT","41.333332","-6.9666667","PTAFE"
"unlcd:PTAFN","Arrifana",,"unlcdf:3","unlcds:PT01","unlcdc:PT","40.916668","-8.5","PTAFN"
"unlcd:PTAFR","São Pedro da Afurada","Sao Pedro da Afurada","unlcdf:1","unlcds:PT13","unlcdc:PT","41.133335","-8.633333","PTAFR"
"unlcd:PTAFZ","Alfeizerão","Alfeizerao","unlcdf:3","unlcds:PT10","unlcdc:PT","39.5","-9.1","PTAFZ"
"unlcd:PTAGA","Aguada de Cima",,"unlcdf:3","unlcds:PT01","unlcdc:PT",,,"PTAGA"
"unlcd:PTAGB","Aguiar da Beira",,"unlcdf:3","unlcds:PT09","unlcdc:PT","40.816666","-7.55","PTAGB"
"unlcd:PTAGC","Aguçadoura","Agucadoura","unlcdf:3","unlcds:PT13","unlcdc:PT","41.433334","-8.783334","PTAGC"
"unlcd:PTAGD","Aguda",,"unlcdf:1","unlcds:PT13","unlcdc:PT","41.05","-8.65","PTAGD"
"unlcd:PTAGE","Agrela",,"unlcdf:3","unlcds:PT03","unlcdc:PT","41.533333","-8.2","PTAGE"
"unlcd:PTAGL","Argoncilhe",,"unlcdf:3","unlcds:PT01","unlcdc:PT","41.016666","-8.533334","PTAGL"
"unlcd:PTAGM","Águas de Moura","Aguas de Moura","unlcdf:2, unlcdf:3","unlcds:PT15","unlcdc:PT","38.583332","-8.7","PTAGM"
