"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:PYAGT","Ciudad del Este",,"unlcdf:1, unlcdf:4",,"unlcdc:PY",,,"PYAGT"
"unlcd:PYARE","Aregua",,"unlcdf:3","unlcds:PY11","unlcdc:PY","-25.283333","-57.4","PYARE"
"unlcd:PYASU","Asunción","Asuncion","unlcdf:1, unlcdf:4, unlcdf:5","unlcds:PYASU","unlcdc:PY","-25.266666","-57.666668","PYASU"
"unlcd:PYAYE","Arroyos y Esteros",,"unlcdf:6","unlcds:PY3","unlcdc:PY","-25.066668","-57.1","PYAYE"
"unlcd:PYAYO","Ayolas",,"unlcdf:4",,"unlcdc:PY",,,"PYAYO"
"unlcd:PYBAL","Benjamin Aceval",,"unlcdf:3","unlcds:PY15","unlcdc:PY","-24.966667","-57.566666","PYBAL"
"unlcd:PYBCM","Barrio Caacupé Mí","Barrio Caacupe Mi","unlcdf:1, unlcdf:3, unlcdf:6","unlcds:PY11","unlcdc:PY","-25.216667","-57.55","PYBCM"
"unlcd:PYBFA","Bahia Negra",,"unlcdf:4","unlcds:PY16","unlcdc:PY","-20.25","-58.2","PYBFA"
"unlcd:PYBVT","Bella Vista",,"unlcdf:3","unlcds:PY7","unlcdc:PY","-22.116667","-56.516666","PYBVT"
"unlcd:PYCAA","Caacupé","Caacupe","unlcdf:1, unlcdf:3","unlcds:PY3","unlcdc:PY","-25.383333","-57.133335","PYCAA"
"unlcd:PYCAC","Calera Cue",,"unlcdf:1","unlcds:PY1","unlcdc:PY","-22.533333","-57.816666","PYCAC"
"unlcd:PYCAL","Carlos Antonio Lopez",,"unlcdf:3","unlcds:PY7","unlcdc:PY","-26.383333","-54.75","PYCAL"
"unlcd:PYCAN","Salto del Guairá","Salto del Guaira","unlcdf:3","unlcds:PY14","unlcdc:PY","-24.05","-54.35","PYCAN"
"unlcd:PYCCP","Capiata",,"unlcdf:6","unlcds:PY11","unlcdc:PY","-25.35","-57.416668","PYCCP"
"unlcd:PYCDP","Carmen del Paraná","Carmen del Parana","unlcdf:6","unlcds:PY7","unlcdc:PY","-27.233334","-56.216667","PYCDP"
"unlcd:PYCIG","Itaugua",,"unlcdf:6","unlcds:PY11","unlcdc:PY","-25.383333","-57.333332","PYCIG"
"unlcd:PYCND","Colonia Neuland",,"unlcdf:3","unlcds:PY19","unlcdc:PY","-22.666666","-60.116665","PYCND"
"unlcd:PYCNP","Concepción","Concepcion","unlcdf:1","unlcds:PY1","unlcdc:PY","-23.4","-57.433334","PYCNP"
"unlcd:PYCOO","Coronel Oviedo",,"unlcdf:6","unlcds:PY5","unlcdc:PY","-25.416666","-56.45","PYCOO"
"unlcd:PYCRG","Caraguatay",,"unlcdf:6","unlcds:PY3","unlcdc:PY","-25.233334","-56.816666","PYCRG"
"unlcd:PYCTT","Colonia Catuete",,"unlcdf:3","unlcds:PY14","unlcdc:PY","-24.133333","-54.616665","PYCTT"
"unlcd:PYELP","Estancia Loma Pyta",,"unlcdf:3","unlcds:PY15","unlcdc:PY","-23.566668","-59.566666","PYELP"
"unlcd:PYENO","Encarnación","Encarnacion","unlcdf:1, unlcdf:4, unlcdf:5","unlcds:PY7","unlcdc:PY","-27.333334","-55.9","PYENO"
"unlcd:PYESG","Mariscal Estigarribia",,"unlcdf:4",,"unlcdc:PY",,,"PYESG"
"unlcd:PYFLM","Filadelfia",,"unlcdf:4",,"unlcdc:PY",,,"PYFLM"
"unlcd:PYFNX","Fenix",,"unlcdf:1","unlcds:PYASU","unlcdc:PY",,,"PYFNX"
"unlcd:PYFRM","Fram",,"unlcdf:6","unlcds:PY7","unlcdc:PY","-26.983334","-55.883335","PYFRM"
"unlcd:PYFUO","Fuerte Olimpo",,"unlcdf:1, unlcdf:3",,"unlcdc:PY","-21.05","-57.866665","PYFUO"
