"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:QAABH","Abu Hamur",,"unlcdf:3","unlcds:QARA","unlcdc:QA","25.233334","51.483334","QAABH"
"unlcd:QAABS","Abu Samra",,"unlcdf:3","unlcds:QARA","unlcdc:QA","24.733334","50.816666","QAABS"
"unlcd:QAALK","Al Karaana",,"unlcdf:3","unlcds:QARA","unlcdc:QA","25.0","51.033333","QAALK"
"unlcd:QAALS","Al Shamal City",,"unlcdf:3","unlcds:QAMS","unlcdc:QA","26.116667","51.216667","QAALS"
"unlcd:QAALU","Al Udeid",,"unlcdf:3, unlcdf:4",,"unlcdc:QA","25.1","51.3","QAALU"
"unlcd:QAALW","Al Wa'b",,"unlcdf:3","unlcds:QAKH","unlcdc:QA","25.833334","51.45","QAALW"
"unlcd:QAALZ","Al Zubarah",,"unlcdf:3","unlcds:QADA","unlcdc:QA","25.966667","51.016666","QAALZ"
"unlcd:QAASH","Al Shahaniya",,"unlcdf:3","unlcds:QARA","unlcdc:QA","25.366667","51.2","QAASH"
"unlcd:QAASL","As Sayliyah",,"unlcdf:3","unlcds:QADA","unlcdc:QA","25.2","51.366665","QAASL"
"unlcd:QAASN","Al Shaheen",,"unlcdf:1, unlcdf:7",,"unlcdc:QA","26.55","52.066666","QAASN"
"unlcd:QADHN","Dukhan",,"unlcdf:3",,"unlcdc:QA","25.416666","50.783333","QADHN"
"unlcd:QADOH","Doha",,"unlcdf:1, unlcdf:4, unlcdf:5","unlcds:QADA","unlcdc:QA",,,"QADOH"
"unlcd:QAHAL","Halul",,"unlcdf:1, unlcdf:7",,"unlcdc:QA",,,"QAHAL"
"unlcd:QAHMD","BGN/PCGN1956 - HAMAD",,"unlcdf:1","unlcds:QAWA","unlcdc:QA","25.0","51.616665","QAHMD"
"unlcd:QAHNA","Hanna",,"unlcdf:1",,"unlcdc:QA",,,"QAHNA"
"unlcd:QAKHR","Al Khor",,"unlcdf:3","unlcds:QAKH","unlcdc:QA","25.683332","51.5","QAKHR"
"unlcd:QALSL","Lusail",,"unlcdf:3","unlcds:QADA","unlcdc:QA","25.5","51.483334","QALSL"
"unlcd:QAMBB","Umm Bab",,"unlcdf:3","unlcds:QARA","unlcdc:QA","25.216667","50.8","QAMBB"
"unlcd:QAQAP","Qapco",,"unlcdf:1","unlcds:QAUS","unlcdc:QA","24.916666","51.566666","QAQAP"
"unlcd:QAQCH","Qchem",,"unlcdf:1","unlcds:QAUS","unlcdc:QA","24.85","51.533333","QAQCH"
"unlcd:QARLF","Ras Laffan",,"unlcdf:1","unlcds:QAKH","unlcdc:QA","25.933332","51.533333","QARLF"
"unlcd:QARUS","Al Ruwais Qatar",,"unlcdf:1","unlcds:QAMS","unlcdc:QA","26.233334","51.333332","QARUS"
"unlcd:QARYN","Al Rayyan",,"unlcdf:3","unlcds:QARA","unlcdc:QA","25.316668","51.366665","QARYN"
"unlcd:QASIM","Simaisma",,"unlcdf:3","unlcds:QADA","unlcdc:QA","25.583334","51.483334","QASIM"
"unlcd:QASLW","As Salwa",,"unlcdf:1","unlcds:QARA","unlcdc:QA","24.733334","50.75","QASLW"
"unlcd:QATPQ","The Pearl-Qatar",,"unlcdf:3","unlcds:QADA","unlcdc:QA","25.366667","51.55","QATPQ"
"unlcd:QAUMQ","Umm Qarn",,"unlcdf:6","unlcds:QAZA","unlcdc:QA","25.533333","51.416668","QAUMQ"
"unlcd:QAUMS","Umm Sa'id (Mesaieed)",,"unlcdf:1, unlcdf:3","unlcds:QAWA","unlcdc:QA","24.983334","51.533333","QAUMS"
"unlcd:QAWAK","Al Wakrah",,"unlcdf:3","unlcds:QAWA","unlcdc:QA","25.166666","51.6","QAWAK"
