"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:REANN","Sainte-Anne",,"unlcdf:3",,"unlcdc:RE","-21.083334","55.75","REANN"
"unlcd:REBRP","Bras Panon",,"unlcdf:3",,"unlcdc:RE","-21.0","55.683334","REBRP"
"unlcd:RECAF","la Plaine des Cafres",,"unlcdf:3",,"unlcdc:RE","-21.166666","55.583332","RECAF"
"unlcd:RECLO","Sainte Clotilde",,"unlcdf:3",,"unlcdc:RE","-20.9","55.483334","RECLO"
"unlcd:REGUL","Saint-Gilles-Les Hauts",,"unlcdf:3",,"unlcdc:RE","-21.033333","55.25","REGUL"
"unlcd:RELAV","Les Avirons",,"unlcdf:3",,"unlcdc:RE","-21.233334","55.333332","RELAV"
"unlcd:RELES","L'Étang-Salé","L'Etang-Sale","unlcdf:3",,"unlcdc:RE","-21.266666","55.366665","RELES"
"unlcd:RELEU","Saint-Leu",,"unlcdf:1",,"unlcdc:RE",,,"RELEU"
"unlcd:RELPT","Le Port",,"unlcdf:1, unlcdf:3, unlcdf:5",,"unlcdc:RE","-20.933332","55.316666","RELPT"
"unlcd:RELTM","Le Tampon",,"unlcdf:3",,"unlcdc:RE","-21.266666","55.516666","RELTM"
"unlcd:REPAL","Plaine des Palmistes",,"unlcdf:3",,"unlcdc:RE","-21.133333","55.633335","REPAL"
"unlcd:REPD2","Pointe des Galets",,"unlcdf:3",,"unlcdc:RE","-20.916666","55.283333","REPD2"
"unlcd:REPOS","Possession",,"unlcdf:1",,"unlcdc:RE","-20.933332","55.333332","REPOS"
"unlcd:RERSE","Sainte-Rose",,"unlcdf:1, unlcdf:3",,"unlcdc:RE","-16.333334","61.7","RERSE"
"unlcd:RERUN","Saint-Denis",,"unlcdf:1, unlcdf:3, unlcdf:4",,"unlcdc:RE","-20.9","55.516666","RERUN"
"unlcd:RESDR","Saint-André","Saint-Andre","unlcdf:3, unlcdf:5",,"unlcdc:RE","-20.933332","55.65","RESDR"
"unlcd:RESGL","Saint-Gilles",,"unlcdf:3",,"unlcdc:RE","-21.033333","55.233334","RESGL"
"unlcd:RESJH","Saint-Joseph",,"unlcdf:3",,"unlcdc:RE","-21.366667","55.616665","RESJH"
"unlcd:RESLH","La Saline les Hauts",,"unlcdf:3",,"unlcdc:RE","-21.083334","55.266666","RESLH"
"unlcd:RESLO","Saint-Louis",,"unlcdf:3",,"unlcdc:RE",,,"RESLO"
"unlcd:RESMA","Sainte-Marie",,"unlcdf:3",,"unlcdc:RE","-20.883333","55.55","RESMA"
"unlcd:RESPH","Saint-Philippe",,"unlcdf:3",,"unlcdc:RE","-21.366667","55.766666","RESPH"
"unlcd:RESPL","Saint-Paul",,"unlcdf:1, unlcdf:2, unlcdf:3, unlcdf:5",,"unlcdc:RE","-20.983334","55.266666","RESPL"
"unlcd:RESSZ","Sainte-Suzanne",,"unlcdf:1",,"unlcdc:RE","-20.9","55.6","RESSZ"
"unlcd:RESVB","Saint-Benoît","Saint-Benoit","unlcdf:6",,"unlcdc:RE","-21.033333","55.716667","RESVB"
"unlcd:REX3R","les Trois Bassins",,"unlcdf:3",,"unlcdc:RE","-21.1","55.3","REX3R"
"unlcd:REZSE","Saint-Pierre",,"unlcdf:4",,"unlcdc:RE","-21.333334","55.466667","REZSE"
