"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:RO4SB","Sinpetru",,"unlcdf:3","unlcds:ROBV","unlcdc:RO","45.716667","25.633333","RO4SB"
"unlcd:RO4ZM","Fintesti",,"unlcdf:3","unlcds:ROBZ","unlcdc:RO","45.1","26.466667","RO4ZM"
"unlcd:RO5LI","Livezeni",,"unlcdf:1, unlcdf:6","unlcds:ROMS","unlcdc:RO","46.55","24.633333","RO5LI"
"unlcd:RO6BT","Tincabesti",,"unlcdf:3","unlcds:ROB","unlcdc:RO","44.683334","26.083334","RO6BT"
"unlcd:ROABM","Abram",,"unlcdf:2, unlcdf:3",,"unlcdc:RO","47.316666","22.383333","ROABM"
"unlcd:ROABR","Abrud",,"unlcdf:3","unlcds:ROAB","unlcdc:RO","46.266666","23.05","ROABR"
"unlcd:ROACB","Alexandru cel Bun",,"unlcdf:3",,"unlcdc:RO","47.45","27.3","ROACB"
"unlcd:ROADC","Adunatii-Copaceni",,"unlcdf:3","unlcds:ROGR","unlcdc:RO","44.25","26.033333","ROADC"
"unlcd:ROADJ","Adjud",,"unlcdf:3, unlcdf:5","unlcds:ROVN","unlcdc:RO","46.1","27.166666","ROADJ"
"unlcd:ROAGH","Anghelesti",,"unlcdf:3","unlcds:ROVN","unlcdc:RO","46.083332","27.05","ROAGH"
"unlcd:ROAGI","Agigea",,"unlcdf:1","unlcds:ROCT","unlcdc:RO","44.083332","28.616667","ROAGI"
"unlcd:ROAID","Aiud",,"unlcdf:3","unlcds:ROAB","unlcdc:RO","46.3","23.716667","ROAID"
"unlcd:ROALB","Albesti",,"unlcdf:2, unlcdf:3","unlcds:ROMS","unlcdc:RO","46.216667","24.85","ROALB"
"unlcd:ROALD","Alesd",,"unlcdf:3","unlcds:ROBH","unlcdc:RO","47.05","22.4","ROALD"
"unlcd:ROALI","Alba Iulia",,"unlcdf:3","unlcds:ROAB","unlcdc:RO","46.066666","23.566668","ROALI"
"unlcd:ROALX","Alexandria",,"unlcdf:2, unlcdf:3","unlcds:ROTR","unlcdc:RO","43.983334","25.333334","ROALX"
"unlcd:ROAMA","Almasu Mare",,"unlcdf:3","unlcds:ROAB","unlcdc:RO","46.1","23.133333","ROAMA"
"unlcd:ROAMI","Afumati",,"unlcdf:3",,"unlcdc:RO","44.533333","26.25","ROAMI"
"unlcd:ROAMR","Amara",,"unlcdf:3","unlcds:ROIL","unlcdc:RO","44.616665","27.2","ROAMR"
"unlcd:ROAPA","Apahida",,"unlcdf:3","unlcds:ROB","unlcdc:RO",,,"ROAPA"
"unlcd:ROARI","Aricestii-Rahtivani",,"unlcdf:3","unlcds:ROPH","unlcdc:RO","44.95","25.833334","ROARI"
"unlcd:ROARW","Arad",,"unlcdf:2, unlcdf:4",,"unlcdc:RO",,,"ROARW"
"unlcd:ROATI","Acatari",,"unlcdf:2, unlcdf:3","unlcds:ROMS","unlcdc:RO","46.483334","24.633333","ROATI"
"unlcd:ROATM","Aita Mare",,"unlcdf:3","unlcds:ROCV","unlcdc:RO","45.966667","25.55","ROATM"
"unlcd:ROAVR","Avrig",,"unlcdf:2, unlcdf:3, unlcdf:6","unlcds:ROSB","unlcdc:RO","45.733334","24.383333","ROAVR"
"unlcd:ROBAA","Barla",,"unlcdf:6","unlcds:ROAG","unlcdc:RO","47.016666","24.55","ROBAA"
"unlcd:ROBAB","Basarabi",,"unlcdf:1",,"unlcdc:RO","44.166668","28.366667","ROBAB"
"unlcd:ROBAC","Bacia",,"unlcdf:3","unlcds:ROHD","unlcdc:RO","45.8","23.016666","ROBAC"
"unlcd:ROBAE","Baleni",,"unlcdf:3","unlcds:ROBH","unlcdc:RO","46.6","22.383333","ROBAE"
"unlcd:ROBAI","Balesti",,"unlcdf:3",,"unlcdc:RO",,,"ROBAI"
"unlcd:ROBAL","Bals",,"unlcdf:3","unlcds:ROOT","unlcdc:RO","44.35","24.1","ROBAL"
"unlcd:ROBAQ","Baia",,"unlcdf:3","unlcds:ROTL","unlcdc:RO","44.716667","28.666666","ROBAQ"
"unlcd:ROBAR","Barticesti",,"unlcdf:3",,"unlcdc:RO","47.05","26.766666","ROBAR"
"unlcd:ROBAS","Bascov",,"unlcdf:3","unlcds:ROAG","unlcdc:RO","44.883335","24.816668","ROBAS"
"unlcd:ROBAY","Baia Mare",,"unlcdf:2, unlcdf:4",,"unlcdc:RO",,,"ROBAY"
"unlcd:ROBBG","Babadag",,"unlcdf:6","unlcds:ROTL","unlcdc:RO","44.9","28.716667","ROBBG"
"unlcd:ROBBI","Boboiesti",,"unlcdf:3","unlcds:ROGJ","unlcdc:RO","44.933334","22.95","ROBBI"
"unlcd:ROBBT","Butimanu",,"unlcdf:3","unlcds:RODB","unlcdc:RO","44.683334","25.9","ROBBT"
"unlcd:ROBBU","Bucuresti-Baneasa Apt",,"unlcdf:4",,"unlcdc:RO",,,"ROBBU"
"unlcd:ROBCA","Borca",,"unlcdf:3","unlcds:RONT","unlcdc:RO","47.183334","25.766666","ROBCA"
"unlcd:ROBCD","Bicsad",,"unlcdf:3","unlcds:ROCV","unlcdc:RO","46.1","25.866667","ROBCD"
"unlcd:ROBCE","Borcea",,"unlcdf:3","unlcds:ROCL","unlcdc:RO","44.333332","27.75","ROBCE"
"unlcd:ROBCM","Bacau",,"unlcdf:2, unlcdf:4",,"unlcdc:RO",,,"ROBCM"
"unlcd:ROBCN","Beclean",,"unlcdf:1, unlcdf:2, unlcdf:3","unlcds:ROHR","unlcdc:RO","46.316666","25.3","ROBCN"
"unlcd:ROBCO","Bacova",,"unlcdf:2, unlcdf:3","unlcds:ROTM","unlcdc:RO","45.65","21.55","ROBCO"
"unlcd:ROBCT","Bechet",,"unlcdf:1, unlcdf:3","unlcds:RODJ","unlcdc:RO","43.766666","23.933332","ROBCT"
"unlcd:ROBCU","Baciu, Cluj",,"unlcdf:2, unlcdf:3","unlcds:ROCJ","unlcdc:RO","46.8","23.516666","ROBCU"
"unlcd:ROBCV","Bucov",,"unlcdf:3","unlcds:ROPH","unlcdc:RO",,,"ROBCV"
"unlcd:ROBDC","Baia de Cris",,"unlcdf:3","unlcds:ROHD","unlcdc:RO","46.166668","22.716667","ROBDC"
"unlcd:ROBDF","Baia de Fier",,"unlcdf:3","unlcds:ROGJ","unlcdc:RO","45.166668","23.766666","ROBDF"
"unlcd:ROBDH","Buduhala",,"unlcdf:3","unlcds:ROGJ","unlcdc:RO","44.983334","23.133333","ROBDH"
"unlcd:ROBDI","Bodesti",,"unlcdf:3",,"unlcdc:RO","47.033333","26.416666","ROBDI"
"unlcd:ROBDM","Domnesti",,"unlcdf:3","unlcds:ROIF","unlcdc:RO","44.4","25.916666","ROBDM"
"unlcd:ROBDO","Dobroesti",,"unlcdf:3","unlcds:ROB","unlcdc:RO","44.45","26.183332","ROBDO"
"unlcd:ROBDU","Bragadiru, Ilfov",,"unlcdf:3",,"unlcdc:RO","44.366665","25.966667","ROBDU"
"unlcd:ROBEI","Beius",,"unlcdf:3","unlcds:ROBH","unlcdc:RO","46.666668","22.35","ROBEI"
"unlcd:ROBEZ","Bezdead",,"unlcdf:1, unlcdf:6","unlcds:RODB","unlcdc:RO","45.15","25.516666","ROBEZ"
"unlcd:ROBH3","Madaras",,"unlcdf:3","unlcds:ROBH","unlcdc:RO","46.833332","21.683332","ROBH3"
"unlcd:ROBHR","Salard",,"unlcdf:6","unlcds:ROBH","unlcdc:RO","47.216667","22.05","ROBHR"
