"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:RWBGA","Bugarama",,"unlcdf:3","unlcds:RW04","unlcdc:RW","-2.7","29.0","RWBGA"
"unlcd:RWBTQ","Butare",,"unlcdf:4",,"unlcdc:RW",,,"RWBTQ"
"unlcd:RWCYU","Cyangugu",,"unlcdf:3","unlcds:RW04","unlcdc:RW","-2.4833333","28.883333","RWCYU"
"unlcd:RWGSO","Gishoma",,"unlcdf:3","unlcds:RW04","unlcdc:RW","-2.6","28.933332","RWGSO"
"unlcd:RWGTA","Gatuna",,"unlcdf:3","unlcds:RW03","unlcdc:RW","-1.4333334","30.016666","RWGTA"
"unlcd:RWGYI","Gisenyi",,"unlcdf:4",,"unlcdc:RW",,,"RWGYI"
"unlcd:RWHUY","Huye",,"unlcdf:3","unlcds:RW05","unlcdc:RW","-2.5666666","29.7","RWHUY"
"unlcd:RWKGL","Kigali",,"unlcdf:3, unlcdf:4, unlcdf:5",,"unlcdc:RW",,,"RWKGL"
"unlcd:RWKME","Kamembe",,"unlcdf:4",,"unlcdc:RW",,,"RWKME"
"unlcd:RWKYZ","Kayonza",,"unlcdf:3","unlcds:RW02","unlcdc:RW","-1.9333334","30.516666","RWKYZ"
"unlcd:RWMTA","Mutara",,"unlcdf:6","unlcds:RW03","unlcdc:RW","-1.6333333","29.95","RWMTA"
"unlcd:RWNSA","Nyagatare",,"unlcdf:1, unlcdf:3","unlcds:RW02","unlcdc:RW","-1.2833333","30.316668","RWNSA"
"unlcd:RWNYA","Nyamata",,"unlcdf:3","unlcds:RW02","unlcdc:RW","-2.2","30.15","RWNYA"
"unlcd:RWNYZ","Nyanza",,"unlcdf:3","unlcds:RW05","unlcdc:RW","-2.35","29.75","RWNYZ"
"unlcd:RWRHG","Ruhengeri",,"unlcdf:4",,"unlcdc:RW",,,"RWRHG"
"unlcd:RWRIL","Rilima",,"unlcdf:3",,"unlcdc:RW","-2.15","30.216667","RWRIL"
"unlcd:RWRUB","Rubengera",,"unlcdf:1, unlcdf:6",,"unlcdc:RW",,,"RWRUB"
"unlcd:RWRUO","Rusumo",,"unlcdf:3","unlcds:RW02","unlcdc:RW","-2.2666667","30.7","RWRUO"
"unlcd:RWRW4","Rwamagana",,"unlcdf:1, unlcdf:6","unlcds:RW02","unlcdc:RW","1.95","30.433332","RWRW4"
