"uri","label","labelWithDiacritics","unlcdv:functions","unlcdv:countrySubdivision","unlcdv:countryCode","geo:lat","geo:long","value"
"unlcd:SAABQ","Abqaiq",,"unlcdf:3",,"unlcdc:SA","25.933332","49.666668","SAABQ"
"unlcd:SAABT","Al Baha",,"unlcdf:4",,"unlcdc:SA",,,"SAABT"
"unlcd:SAAHA","Al Hada",,"unlcdf:1",,"unlcdc:SA",,,"SAAHA"
"unlcd:SAAHB","Abha",,"unlcdf:4",,"unlcdc:SA",,,"SAAHB"
"unlcd:SAAJF","Jouf",,"unlcdf:4",,"unlcdc:SA",,,"SAAJF"
"unlcd:SAAKH","Al Kharj",,"unlcdf:3, unlcdf:4","unlcds:SA01","unlcdc:SA","24.133333","47.3","SAAKH"
"unlcd:SAALH","Al Hasa",,"unlcdf:3","unlcds:SA04","unlcdc:SA","25.416666","49.616665","SAALH"
"unlcd:SAALK","Al Khobar",,"unlcdf:1",,"unlcdc:SA",,,"SAALK"
"unlcd:SAAMU","Al Muajjiz",,"unlcdf:1",,"unlcdc:SA","23.466667","38.383335","SAAMU"
"unlcd:SAAQI","Qaisumah",,"unlcdf:4",,"unlcdc:SA",,,"SAAQI"
"unlcd:SAAQK","Al Khobar",,"unlcdf:1","unlcds:SA04","unlcdc:SA","26.283333","50.2","SAAQK"
"unlcd:SAARR","Ar Rass",,"unlcdf:3",,"unlcdc:SA",,,"SAARR"
"unlcd:SAASF","Asfan",,"unlcdf:3","unlcds:SA02","unlcdc:SA","21.916666","39.366665","SAASF"
"unlcd:SAASQ","Al Shuqaiq",,"unlcdf:3","unlcds:SA04","unlcdc:SA","25.483334","49.6","SAASQ"
"unlcd:SAAUT","Al 'Uthmaniyah",,"unlcdf:3","unlcds:SA04","unlcdc:SA","25.183332","49.3","SAAUT"
"unlcd:SAAWI","Waisumah",,"unlcdf:4",,"unlcdc:SA",,,"SAAWI"
"unlcd:SABAH","Al Bahah",,"unlcdf:3","unlcds:SA11","unlcdc:SA","20.016666","41.466667","SABAH"
"unlcd:SABDN","Badanah",,"unlcdf:3",,"unlcdc:SA","30.966667","41.016666","SABDN"
"unlcd:SABHH","Bisha",,"unlcdf:4",,"unlcdc:SA",,,"SABHH"
"unlcd:SABRU","Buraydah",,"unlcdf:3","unlcds:SA05","unlcdc:SA","26.316668","43.966667","SABRU"
"unlcd:SABUR","Buraydah",,"unlcdf:1, unlcdf:6",,"unlcdc:SA","26.316668","43.966667","SABUR"
"unlcd:SADAW","Ad Dawadami",,"unlcdf:3",,"unlcdc:SA","24.5","44.383335","SADAW"
"unlcd:SADHA","Dhahran",,"unlcdf:1, unlcdf:4",,"unlcdc:SA",,,"SADHA"
"unlcd:SADHU","Port of NEOM",,"unlcdf:1",,"unlcdc:SA","27.566668","34.55","SADHU"
"unlcd:SADMM","Ad Dammam",,"unlcdf:1, unlcdf:2, unlcdf:3, unlcdf:4, unlcdf:5","unlcds:SA04","unlcdc:SA","26.5","50.2","SADMM"
"unlcd:SAEAM","Nejran",,"unlcdf:4",,"unlcdc:SA",,,"SAEAM"
"unlcd:SAEJH","Wedjh",,"unlcdf:1, unlcdf:4",,"unlcdc:SA",,,"SAEJH"
"unlcd:SAELQ","Gassim",,"unlcdf:4",,"unlcdc:SA",,,"SAELQ"
"unlcd:SAFJJ","Fiji",,"unlcdf:6","unlcds:SA02","unlcdc:SA","24.266666","38.566666","SAFJJ"
"unlcd:SAGIZ","Jizan",,"unlcdf:1, unlcdf:4",,"unlcdc:SA","16.9","42.5","SAGIZ"
"unlcd:SAHAD","Al Hadithah",,"unlcdf:3","unlcds:SA12","unlcdc:SA","31.45","37.15","SAHAD"
"unlcd:SAHAS","Hail",,"unlcdf:4",,"unlcdc:SA",,,"SAHAS"
"unlcd:SAHBT","Hafar al Batin",,"unlcdf:3, unlcdf:4",,"unlcdc:SA",,,"SAHBT"
"unlcd:SAHOF","Hofuf",,"unlcdf:4",,"unlcdc:SA",,,"SAHOF"
"unlcd:SAHZM","Hazm Al Jalamid",,"unlcdf:3",,"unlcdc:SA","31.266666","40.1","SAHZM"
"unlcd:SAJBI","Al Jubayl Industrial City",,"unlcdf:1, unlcdf:3",,"unlcdc:SA","27.083334","49.7","SAJBI"
"unlcd:SAJEC","Jazan Economic City",,"unlcdf:1, unlcdf:3","unlcds:SA09","unlcdc:SA","17.283333","42.333332","SAJEC"
"unlcd:SAJED","Jeddah",,"unlcdf:1, unlcdf:4, unlcdf:5","unlcds:SA02","unlcdc:SA","21.466667","39.166668","SAJED"
"unlcd:SAJIC","Jeddah Industrial City 2 & 3",,"unlcdf:3","unlcds:SA02","unlcdc:SA","21.116667","39.283333","SAJIC"
"unlcd:SAJUB","Jubail",,"unlcdf:1",,"unlcdc:SA","27.016666","49.666668","SAJUB"
"unlcd:SAJUT","Juaymah Terminal",,"unlcdf:1",,"unlcdc:SA","26.916666","50.016666","SAJUT"
"unlcd:SAJYC","Jeddah Yachts Club Port",,"unlcdf:1","unlcds:SA02","unlcdc:SA","21.65","39.1","SAJYC"
"unlcd:SAKAC","King Abdullah City",,"unlcdf:1, unlcdf:3","unlcds:SA02","unlcdc:SA","22.4","39.083332","SAKAC"
"unlcd:SAKFH","King Fhad",,"unlcdf:0",,"unlcdc:SA",,,"SAKFH"
"unlcd:SAKHU","Al Khuraibah",,"unlcdf:1","unlcds:SA07","unlcdc:SA","28.05","35.166668","SAKHU"
"unlcd:SAKKH","King Khalid",,"unlcdf:0",,"unlcdc:SA",,,"SAKKH"
"unlcd:SAKMX","Khamis Mushayt",,"unlcdf:3, unlcdf:4",,"unlcdc:SA",,,"SAKMX"
"unlcd:SALIT","Lith",,"unlcdf:1",,"unlcdc:SA",,,"SALIT"
"unlcd:SALJW","Al Jawf",,"unlcdf:3","unlcds:SA14","unlcdc:SA","18.216667","43.183334","SALJW"
"unlcd:SAMAK","Makkah",,"unlcdf:1",,"unlcdc:SA",,,"SAMAK"
"unlcd:SAMAN","Manailih",,"unlcdf:1",,"unlcdc:SA",,,"SAMAN"
"unlcd:SAMED","Madinah",,"unlcdf:4",,"unlcdc:SA",,,"SAMED"
"unlcd:SAMHY","Muhayil",,"unlcdf:6","unlcds:SA14","unlcdc:SA","18.533333","42.033333","SAMHY"
"unlcd:SAMJH","Majma",,"unlcdf:4",,"unlcdc:SA",,,"SAMJH"
"unlcd:SAMUF","Manfouha",,"unlcdf:1",,"unlcdc:SA",,,"SAMUF"
"unlcd:SANEO","Neom",,"unlcdf:1, unlcdf:2, unlcdf:3, unlcdf:4, unlcdf:6, unlcdf:7","unlcds:SA14","unlcdc:SA","27.566668","35.55","SANEO"
"unlcd:SANJN","Najran",,"unlcdf:3","unlcds:SA10","unlcdc:SA","17.5","44.183334","SANJN"
"unlcd:SAQAH","Al Qahmah",,"unlcdf:1","unlcds:SA09","unlcdc:SA","18.016666","41.666668","SAQAH"
"unlcd:SAQAL","Qalsn",,"unlcdf:1",,"unlcdc:SA",,,"SAQAL"
"unlcd:SAQRN","Al Qurainah",,"unlcdf:3","unlcds:SA01","unlcdc:SA","25.1","46.2","SAQRN"
"unlcd:SAQTF","Qatif",,"unlcdf:4",,"unlcdc:SA",,,"SAQTF"
"unlcd:SAQUN","Al Qunfudah",,"unlcdf:1","unlcds:SA09","unlcdc:SA","19.116667","41.066666","SAQUN"
"unlcd:SAQUR","Qurayyah",,"unlcdf:1",,"unlcdc:SA",,,"SAQUR"
"unlcd:SARAB","Rabigh",,"unlcdf:1",,"unlcdc:SA",,,"SARAB"
"unlcd:SARAD","Harad",,"unlcdf:2, unlcdf:3",,"unlcdc:SA","24.133333","49.05","SARAD"
"unlcd:SARAE","Arar",,"unlcdf:4",,"unlcdc:SA",,,"SARAE"
"unlcd:SARAH","Rafha",,"unlcdf:4",,"unlcdc:SA",,,"SARAH"
"unlcd:SARAM","Ras al Mishab",,"unlcdf:1",,"unlcdc:SA",,,"SARAM"
"unlcd:SARAR","Ras al Khafji",,"unlcdf:1",,"unlcdc:SA",,,"SARAR"
"unlcd:SARAZ","Ras Al-Khair",,"unlcdf:1, unlcdf:3","unlcds:SA04","unlcdc:SA","27.55","49.2","SARAZ"
"unlcd:SARTA","Ras Tanura",,"unlcdf:1",,"unlcdc:SA","26.633333","50.15","SARTA"
"unlcd:SARUH","Riyadh",,"unlcdf:4, unlcdf:5","unlcds:SA01","unlcdc:SA","24.633333","46.766666","SARUH"
"unlcd:SARYP","Riyadh Dry Port",,"unlcdf:2, unlcdf:3",,"unlcdc:SA","24.633333","46.733334","SARYP"
"unlcd:SASAF","Safaniya",,"unlcdf:3",,"unlcdc:SA",,,"SASAF"
"unlcd:SASAL","Salwá","Salwa","unlcdf:3","unlcds:SA04","unlcdc:SA","24.733334","50.75","SASAL"
"unlcd:SASAY","Sayhat",,"unlcdf:3",,"unlcdc:SA","26.466667","50.033333","SASAY"
"unlcd:SASHD","Shadqam",,"unlcdf:3, unlcdf:7","unlcds:SA04","unlcdc:SA","25.716667","49.416668","SASHD"
"unlcd:SASHU","Shuaibah",,"unlcdf:1",,"unlcdc:SA","20.683332","39.516666","SASHU"
"unlcd:SASHW","Sharurah",,"unlcdf:4",,"unlcdc:SA",,,"SASHW"
"unlcd:SASLF","Sulayel",,"unlcdf:4",,"unlcdc:SA","20.466667","45.616665","SASLF"
"unlcd:SASUH","Salboukh",,"unlcdf:1",,"unlcdc:SA",,,"SASUH"
"unlcd:SATFZ","Tusdeer Free Zone",,"unlcdf:6",,"unlcdc:SA","21.483334","39.15","SATFZ"
"unlcd:SATIF","Taif",,"unlcdf:4",,"unlcdc:SA",,,"SATIF"
"unlcd:SATUI","Turaif",,"unlcdf:4",,"unlcdc:SA",,,"SATUI"
"unlcd:SATUU","Tabuk",,"unlcdf:4",,"unlcdc:SA",,,"SATUU"
"unlcd:SAUDH","Udhailiyah",,"unlcdf:3",,"unlcdc:SA","25.133333","49.3","SAUDH"
"unlcd:SAURY","Gurayat",,"unlcdf:4",,"unlcdc:SA",,,"SAURY"
